ITEM_20150317_000001	$Elmo_vazio 
ITEM_20150317_001494	Traje de Cronomante 
ITEM_20150317_001495	Os Cronomantes afirmam que seu traje era o estilo favorito de Agailla Flurry. 
ITEM_20150317_001496	Traje de Necromante 
ITEM_20150317_001497	Embora os próprios Necromantes não queiram ter uma aparência sombria, seu traje é escuro o bastante para realizar um funeral. 
ITEM_20150317_001498	Traje de Taumaturgo 
ITEM_20150317_001499	Na verdade, seu traje não tem nada a ver com a magia que pratica, mas a tradição é um fator que não pode ser ignorado. 
ITEM_20150317_001500	Traje de Elementalista 
ITEM_20150317_001501	Foi confeccionado cuidadosamente para não ser identificado com qualquer outro ramo da magia. 
ITEM_20150317_001502	Traje de Mímico 
ITEM_20150317_001503	Traje de Taoísta 
ITEM_20150317_001504	Traje de Caçador 
ITEM_20150317_001505	Um traje otimizado e desenvolvido para sobreviver por um longo tempo na floresta. 
ITEM_20150317_001506	Traje de Besteiro 
ITEM_20150317_001507	Já foi usado como uniforme dos guardas de uma grande cidade. Porém, o traje permaneceu igual mesmo após os Besteiros terem sido desvinculados dessa função. 
ITEM_20150317_001508	Traje de Patrulheiro 
ITEM_20150317_001509	O traje de patrulheiro é uma evolução do traje do Besteiro. 
ITEM_20150317_001510	Traje de Sapador 
ITEM_20150317_001511	Embora os Sapadores sejam associados ao Exército, seu traje é diferente devido à sua função de especialista. 
ITEM_20150317_001512	Traje de Wugushi 
ITEM_20150317_001513	Um traje bastante tradicional de sua cidade natal, que reflete sua história. 
ITEM_20150317_001514	Traje de Hackapell 
ITEM_20150317_001515	Esse traje, confeccionado para ser confortável, permite a quem o estiver usando girar o torso durante uma montaria. 
ITEM_20150317_001516	Traje de Batedor 
ITEM_20150317_001517	Um traje confeccionado levando em consideração o tempo de atividade em vez do ambiente.
ITEM_20150317_001518	Traje de Ladino 
ITEM_20150317_001519	Parecido com o traje de Patrulheiro, mas com uma melhor mobilidade. Totalmente inadequado para eventos formais. 
ITEM_20150317_001520	Traje de Schwarzer Reiter 
ITEM_20150317_001521	Um traje solene e audaz que passa uma sensação de tranquilidade e confiança. 
ITEM_20150317_001522	Traje de Flecheiro 
ITEM_20150317_001523	Oferece uma surpreendente capacidade de defesa devido aos tecidos densos usados na confecção. Considerando a função de quem o usa, a mobilidade pode ser sacrificada sem problemas. 
ITEM_20150317_001524	Traje de Falcoeiro 
ITEM_20150317_001525	Traje de Avaliador 
ITEM_20150317_001526	{memo X}Traje de Flautista 
ITEM_20150317_001527	Traje de Mosqueteiro 
ITEM_20150317_001528	Traje de Sacerdote 
ITEM_20150317_001529	Os Sacerdotes são os mais neutros e tradicionalistas dos clérigos e seu traje reflete isso. 
ITEM_20150317_001530	Traje de Krivis 
ITEM_20150317_001531	Os Krivis afirmam orgulhosamente que são os guardiões da crença tradicional mais antiga. Seu traje remonta aos tempo em que o Grande Rei Zachariel governava. 
ITEM_20150317_001532	Traje de Bokor 
ITEM_20150317_001533	{memo X}Um traje apropriado para qualquer atividade, seja para predizer o futuro, confeccionar uma malha ou empunhar uma arma. 
ITEM_20150317_001534	Traje de Druida 
ITEM_20150317_001535	Dizem que a cortina longa usada nesse traje é para ser útil nas atividades externas. 
ITEM_20150317_001536	Traje de Sadhu 
ITEM_20150317_001537	Esse traje é totalmente inspirado no local de origem de quem o usa. 
ITEM_20150317_001538	Traje de Escultor 
ITEM_20150317_001539	É obvio que um escultor não deve usar roupas desconfortáveis.
ITEM_20150317_001540	Traje de Oráculo 
ITEM_20150317_001541	Macio e leve, dizem que esse traje conforta seu corpo e acalma sua alma. 
ITEM_20150317_001542	Traje de Monge 
ITEM_20150317_001543	Traje que enfatiza a solenidade de um clérigo, além de ser confortável para exercícios físicos. 
ITEM_20150317_001544	Traje de Indulgente 
ITEM_20150317_001545	Como suas outras vestimentas, este traje passa a sensação de fé aos outros. 
ITEM_20150317_001546	Traje de Paladino 
ITEM_20150317_001547	Os Paladinos têm dois trajes diferentes, um adequado para locais de oração e outro para combates externos. Este é para a segunda opção. 
ITEM_20150317_001548	Traje de Pegureiro 
ITEM_20150317_001549	Traje de Capelão 
ITEM_20150317_001550	Chapéu_Vazio 
ITEM_20150317_001551	Traje de Pelo 
ITEM_20150317_001552	Um Traje para o espaço de cabelo. Clique no item para usá-lo. 
ITEM_20150317_001553	Orelhas de Gato 
ITEM_20150317_001554	Isso vai fazer com que um determinado animal se afeiçoe a você. 
ITEM_20150317_001555	Tiara de Cristal 
ITEM_20150317_001556	Rabo de Cavalo 
ITEM_20150317_001557	Óculos para proteger seus olhos. 
ITEM_20150317_001558	Viseira de Aço 
ITEM_20150317_001559	Viseira de Asas 
ITEM_20150317_001560	Fedora 
ITEM_20150317_001561	Óculos 
ITEM_20150317_001562	Ajuda você a ficar de olhos abertos em qualquer condição. Provavelmente, inúteis na névoa. 
ITEM_20150317_001563	Tiara de Coelepus 
ITEM_20150317_001564	Acessório de cabeça inspirado nas orelhas do Coelepus. Sua audição não vai melhorar por usar esse item. 
ITEM_20150317_001565	Folha de Ginkgo 
ITEM_20150317_001566	Fácil de achar no outono. Tem o mesmo cheiro da fruta dessa árvore. 
ITEM_20150317_001567	Borboleta-tigre 
ITEM_20150317_001568	Experimente a sensação de uma Borboleta-tigre pousando em sua cabeça. 
ITEM_20150317_001569	Pena de Águia 
ITEM_20150317_001570	Se necessário, pode ser usada para escrever. 
ITEM_20150317_001571	Chapéu de Cogucaria 
ITEM_20150317_001572	Um cogumelo pode crescer em seu chapéu. 
ITEM_20150317_001573	Coroa 
ITEM_20150317_001574	Com grande poder surgem grandes responsabilidades. 
ITEM_20150317_001575	Grampo de Flor Branca 
ITEM_20150317_001576	$Podem confundir você com uma criança-flor.
ITEM_20150317_001577	Máscara de Tigre 
ITEM_20150317_001578	Uma máscara com cara de tigre. 
ITEM_20150317_001579	Boneco de Tiquinho 
ITEM_20150317_001580	Se você enfrentar o verdadeiro Tiquinho, verá que é bem diferente de um brinquedo. 
ITEM_20150317_001581	Elmo de Asas 
ITEM_20150317_001582	Elmo enfeitado com asas. 
ITEM_20150317_001583	Enfeite de Asa 
ITEM_20150317_001584	Inspirado em uma asa de deusa. 
ITEM_20150317_001585	Ovo Aninhado 
ITEM_20150317_001586	Ninguém sabe por que o ovo foi aninhado na cabeça de alguém. 
ITEM_20150317_001587	Pintinho Aninhado 
ITEM_20150317_001588	Se você não alimentar direito o pintinho faminto, poderá ficar careca. 
ITEM_20150317_001589	Galinha Aninhada 
ITEM_20150317_001590	Agora você sempre terá ovos no café da manhã. 
ITEM_20150317_001591	Chapéu de Campanha 
ITEM_20150317_001592	Um chapéu usado para um evento especial ou desfile. 
ITEM_20150317_001593	Dignidade do Cavalheiro 
ITEM_20150317_001594	Um chapéu elegante e pomposo. 
ITEM_20150317_001595	Óculos Sofisticados 
ITEM_20150317_001596	A tendência mais recente em óculos. Tem lentes coloridas. 
ITEM_20150317_001597	Bolsa de Gelo 
ITEM_20150317_001598	Muito bom quando você tem febre ou para esfriar sua cabeça. 
ITEM_20150317_001599	Rosa Rugosa 
ITEM_20150317_001600	Tem um cheiro agradável. 
ITEM_20150317_001601	Chapéu de Pena 
ITEM_20150317_001602	Não faz mal que a pena seja maior do que o chapéu. 
ITEM_20150317_001603	Folha de Boldo 
ITEM_20150317_001604	Enfeite de cabeça feito para ficar parecendo uma folha de boldo. Fique longe do fogo. 
ITEM_20150317_001605	Chapéu de Franja Vermelha 
ITEM_20150317_001606	Um chapéu enfeitado com franjas. Às vezes, usado por oficiais de alta patente ou pessoas renomadas. 
ITEM_20150317_001607	Tiara de Enfermeira 
ITEM_20150317_001608	Você não vai adquirir poderes de cura ao usá-la. 
ITEM_20150317_001609	Enfeite de Flor de Kateen 
ITEM_20150317_001610	Tiara feita com flores da Floresta Kateen. Irradia uma luz azul suave. 
ITEM_20150317_001611	Orelhas de Cachorro 
ITEM_20150317_001612	Fique mais engraçadinho com isso. 
ITEM_20150317_001613	Tiara de Vaca 
ITEM_20150317_001614	Muuuu muuuuu muuu muuu. 
ITEM_20150317_001615	Máscara de Leãozinho 
ITEM_20150317_001616	Em algumas regiões, as pessoas dançam usando essa máscara para espantar os maus espíritos. 
ITEM_20150317_001617	Máscara de Leão 
ITEM_20150317_001618	Máscara de Tengu 
ITEM_20150317_001619	Inspirada em um criatura folclórica de uma terra distante. 
ITEM_20150317_001620	Máscara de Raposa 
ITEM_20150317_001621	Feita para ter a aparência de uma raposa. Dizem que essa máscara costumava ser usada por alguns assassinos. 
ITEM_20150317_001622	Óculos de Outra Dimensão 
ITEM_20150317_001623	Quem usa, pode aproveitar melhor uma percepção de profundidade. 
ITEM_20150317_001624	Chifre de Cabra 
ITEM_20150317_001625	Se usar esse item, a força de sua cabeçada pode aumentar. 
ITEM_20150317_001626	Asas de Demônio 
ITEM_20150317_001627	O uso desse item não proporciona poderes especiais contra demônios ou vice-versa. 
ITEM_20150317_001628	Tiara de Prata 
ITEM_20150317_001629	Às vezes, a noiva usará esse item no casamento. 
ITEM_20150317_001630	Máscara de Olhos de Urso 
ITEM_20150317_001631	Bloqueia a luz para poder dormir melhor. 
ITEM_20150317_001632	Símbolo de Riqueza 
ITEM_20150317_001633	Mostre a eles o sentido da 'riqueza'. 
ITEM_20150317_001634	Grampo de Coelho Dourado 
ITEM_20150317_001635	Não perca, é feito de ouro puro. 
ITEM_20150317_001636	Tiara de Chifres  
ITEM_20150317_001637	Rebocar um trenó ao vestir isso pode não ser uma má ideia. 
ITEM_20150317_001638	Elmo de Oficial 
ITEM_20150317_001639	Os enfeites desse elmo são para impor respeito. 
ITEM_20150317_001640	Elmo Dourado 
ITEM_20150317_001641	O metal desse elmo foi fundido com ouro. 
ITEM_20150317_001642	Elmo de Aço 
ITEM_20150317_001643	Um elmo feito de uma placa de metal resistente. Frequentemente usado por cavaleiros. 
ITEM_20150317_001644	Orelhas de Coelho Pretas 
ITEM_20150317_001645	Frequentemente, os especialistas discutem sobre a fofura de uma orelha reta contra uma dobrada. 
ITEM_20150317_001646	Boneco de Kepa 
ITEM_20150317_001647	Um chapéu que representa um Kepa 
ITEM_20150317_001648	Coelho Rosa 
ITEM_20150317_001649	Exiba sua beleza e fofura cor-de-rosa ao mesmo tempo. 
ITEM_20150317_001650	Risco 
ITEM_20150317_001651	Dizem que é uma máscara usada em uma terra distante. 
ITEM_20150317_001652	Máscara de Tigre Branco 
ITEM_20150317_001653	Inspirada no tigre branco, um animal muito raro. 
ITEM_20150317_001654	Óculos 
ITEM_20150317_001655	Úteis para sua visão. 
ITEM_20150317_001656	Chifre de Unicórnio 
ITEM_20150317_001657	O chifre de um unicórnio. É considerado um item místico. 
ITEM_20150317_001658	Chifre Vermelho 
ITEM_20150317_001659	Embora você não se torne um demônio, pode usá-lo na cabeça. 
ITEM_20150317_001660	Orelhas de Chupacabra do Deserto 
ITEM_20150317_001661	Se olhar atentamente, vai ver pelinhos macios nessas orelhas. 
ITEM_20150317_001662	Elmo de Mirtis 
ITEM_20150317_001663	Elmo usado anteriormente pelos Mirtis. 
ITEM_20150317_001664	Asas de Demônio Vermelhas 
ITEM_20150317_001665	Por que as pessoas querem usar asas na cabeça? 
ITEM_20150317_001666	Asas de Anjo 
ITEM_20150317_001667	Agora eu sei o que é a sensação de solidão. Isso foi um engano. 
ITEM_20150317_001668	Asas de Anjo Caído 
ITEM_20150317_001669	Dizem que as asas dos anjos pecadores ficam pretas por causa dos seus pecados. 
ITEM_20150317_001670	Tiara de Empregada 
ITEM_20150317_001671	Em que posso ser útil, mestre? 
ITEM_20150317_001672	{memo X}Elmo de Wugushi 
ITEM_20150317_001673	{memo X}Um elmo simbólico para os Wugushis. 
ITEM_20150317_001674	Tampões de Ouvido 
ITEM_20150317_001675	Bloqueiam o barulho. 
ITEM_20150317_001676	Abafa completamente o som externo, incluindo os gritos das Mandrágoras. 
ITEM_20150317_001677	Grampo de Luxúria 
ITEM_20150317_001678	Elmo de Penas 
ITEM_20150317_001679	Máscara de Xamã 
ITEM_20150317_001680	Broto 
ITEM_20150317_001681	Ovo Frito 
ITEM_20150317_001682	Chapéu de Festa 
ITEM_20150317_001683	Grampo de Gato 
ITEM_20150317_001684	Elmo Imperial 
ITEM_20150317_001685	Bola de Outro Mundo 
ITEM_20150317_001686	Laço Oneroso 
ITEM_20150317_001687	Origami 
ITEM_20150317_001688	Tiara de Fantasma 
ITEM_20150317_001689	Máscara de Carnaval 
ITEM_20150317_001690	Pena de Pavão 
ITEM_20150317_001691	Cocar 
ITEM_20150317_001692	Abacaxi 
ITEM_20150317_001693	Bandido do Deserto 
ITEM_20150317_001694	Chapéu de Palhaço 
ITEM_20150317_001695	Coruja 
ITEM_20150317_001696	Tiara de Coroa 
ITEM_20150317_001697	Pudim 
ITEM_20150317_001698	Grinalda de Noiva 
ITEM_20150317_001699	Laço de Bolinhas 
ITEM_20150317_001700	Laço Azul 
ITEM_20150317_001701	Cupcake de Menta com Chocolate 
ITEM_20150317_001702	Cupcake de Morango 
ITEM_20150317_001703	Chapéu de Mergen 
ITEM_20150317_001704	Ponto 
ITEM_20150317_001705	Restaura seu valor de ameaça. 
ITEM_20150317_001706	Guarda-chuva Sombrio 
ITEM_20150317_001707	Monstros do tipo animal não podem atacar você. 
ITEM_20150317_001708	Cabeça de Medusa 
ITEM_20150317_001709	Petrifica o inimigo. 
ITEM_20150317_001710	Bandeira de Confusão 
ITEM_20150317_001711	Confunde o inimigo. 
ITEM_20150317_001712	Leque Imperial 
ITEM_20150317_001713	Sopra o inimigo para longe. 
ITEM_20150317_001714	Amuleto de Ruína Demoníaca 
ITEM_20150317_001715	Reduz a defesa de monstros do tipo demônio. 
ITEM_20150317_001716	Bússola de Bronze 
ITEM_20150317_001717	Concede resistência contra o atributo Confusão. 
ITEM_20150317_001718	Vara de Bolhas 
ITEM_20150317_001719	Cajado de Bolhas 
ITEM_20150317_001720	Adaga Secundária 
ITEM_20150317_001721	Poção de HPSP 
ITEM_20150317_001722	Poção de SP 
ITEM_20150317_001723	Poção de Velocidade 
ITEM_20150317_001724	Poção de VIG 
ITEM_20150317_001725	Poção de Irritação 
ITEM_20150317_001726	Bolsa de Dinheiro 
ITEM_20150317_001727	Medalha 
ITEM_20150317_001728	Trevo de Quatro folhas 
ITEM_20150317_001729	Encanto 
ITEM_20150317_001730	Aumenta sua Taxa de Crítico
ITEM_20150317_001731	Alquimia 1 
ITEM_20150317_001732	Alquimia 2 
ITEM_20150317_001733	Alquimia 3 
ITEM_20150317_001734	Alquimia 4 
ITEM_20150317_001735	Alquimia 5 
ITEM_20150317_001736	Alquimia 6 
ITEM_20150317_001737	Alquimia 7 
ITEM_20150317_001738	Alquimia 8 
ITEM_20150317_001739	Alquimia 9 
ITEM_20150317_001740	Alquimia 10 
ITEM_20150317_001741	Alquimia 11 
ITEM_20150317_001742	Alquimia 12 
ITEM_20150317_001743	Alquimia 13 
ITEM_20150317_001744	Alquimia 14 
ITEM_20150317_001745	Alquimia 15 
ITEM_20150317_001746	Provador 
ITEM_20150317_001747	Focinheiras 
ITEM_20150317_001748	Frigideira 
ITEM_20150317_001749	Bandeira de Pirata 
ITEM_20150317_001750	Pá 
ITEM_20150317_001751	Pinças 
ITEM_20150317_001752	Habilidades da Claymore 
ITEM_20150317_001753	Alquimia 16 
ITEM_20150317_001754	Martelo 
ITEM_20150317_001755	Lanterna 
ITEM_20150317_001756	Filtro 
ITEM_20150317_001757	Conjunto de Bigornas 
ITEM_20150317_001758	Martelo 2 
ITEM_20150317_001759	Bolsa de Material 
ITEM_20150317_001760	Conjunto de Ostentórios 
ITEM_20150317_001761	Ampliador 
ITEM_20150317_001762	Habilidades do Ampliador 
ITEM_20150317_001763	Outro_Vazio 
ITEM_20150317_001764	Calças_Vazio 
ITEM_20150317_001765	Luvas_Vazio 
ITEM_20150317_001766	Botas_Vazio 
ITEM_20150317_001767	Parte de Cima 
ITEM_20150317_001768	Poção de Aumento de +5 de Vigor 
ITEM_20150317_001769	Clique com o botão direito para usar. 
ITEM_20150317_001770	Poção de HP Pequena 
ITEM_20150317_001771	$Restaura 192 de HP. {nl}Restaura HP a cada 2 segundos, por 15 segundos. {nl}Clique com o botão direito para usar.{memo Cooldown of 30 seconds.}
ITEM_20150317_001772	Poção de HP 
ITEM_20150317_001773	$Restaura 320 de HP. {nl}Restaura HP a cada 2 segundos, por 15 segundos. {nl}Clique com o botão direito para usar. Recarga de 45 segundos.
ITEM_20150317_001774	Poção de HP Grande 
ITEM_20150317_001775	$Restaura 640 de HP. {nl}Restaura HP a cada 2 segundos, por 15 segundos. {nl}Clique com o botão direito para usar. Recarga de 60 segundos. 
ITEM_20150317_001776	Poção de SP Pequena  
ITEM_20150317_001777	$Restaura 144 de SP. {nl}Restaura SP a cada 2 segundos, por 15 segundos. {nl}Clique com o botão direito para usar.{memo Cooldown of 30 seconds.}
ITEM_20150317_001778	Restaura 240 de SP. {nl}Restaura SP a cada 2 segundos, por 15 segundos. {nl}Clique com o botão direito para usar. Recarga de 45 segundos. 
ITEM_20150317_001779	Poção de SP Grande 
ITEM_20150317_001780	Restaura 480 de SP. {nl}Restaura SP a cada 2 segundos, por 15 segundos. {nl}Clique com o botão direito para usar. Recarga de 60 segundos. 
ITEM_20150317_001781	Pílula de Vigor 
ITEM_20150317_001782	${memo the cooldown is already stated in item popup, thus removed here}Restaura 15 de Vigor. Clique com o botão direito para usar. {memo Cooldown of 30 seconds.}
ITEM_20150317_001783	{memo X}Pílula de VIG (Média) 
ITEM_20150317_001784	Restaura 30 de Vigor. {nl}Clique com o botão direito para usar. Recarga de 45 segundos. 
ITEM_20150317_001785	{memo X}Pílula de VIG (Grande) 
ITEM_20150317_001786	Restaura 40 de Vigor. {nl}Clique com o botão direito para usar. Recarga de 60 segundos. 
ITEM_20150317_001787	Poção de Recuperação Pequena 
ITEM_20150317_001788	Restaura 244 HP e SP. {nl}Restaura HP e SP a cada 2 segundos, por 15 segundos. {nl}Clique com o botão direito para usar. Recarga de 30 segundos. 
ITEM_20150317_001789	Poção de Recuperação 
ITEM_20150317_001790	Restaura 373 HP e SP. {nl}Restaura HP e SP a cada 2 segundos, por 15 segundos. {nl}Clique com o botão direito para usar. Recarga de 30 segundos. 
ITEM_20150317_001791	Poção de Recuperação Grande  
ITEM_20150317_001792	Restaura 744 HP e SP. {nl}Restaura HP e SP a cada 2 segundos, por 15 segundos. {nl}Clique com o botão direito para usar. Recarga de 30 segundos. 
ITEM_20150317_001793	Poção de Aumento de +5 de VIG 
ITEM_20150317_001794	Aumenta 5 de Vigor.
ITEM_20150317_001795	Fragmento de Kepa Vermelho 
ITEM_20150317_001796	Quando usado, causa Dano de Veneno periódico (Nv 1) ao monstro. 
ITEM_20150317_001797	Pode ser usado apenas em monstros do tipo Fera. 
ITEM_20150317_001798	Poção de Recuperação de HP (Pequena) 
ITEM_20150317_001799	Poção de Recuperação de SP (Pequena) 
ITEM_20150317_001800	Poção de Aumento de +5 de HP 
ITEM_20150317_001801	Poção de Aumento de +10 de HP 
ITEM_20150317_001802	Poção de Aumento da Velocidade de Movimento 
ITEM_20150317_001803	{memo X}Aumenta em 5, por 180 segundos, a velocidade de movimento. {nl}Clique com o botão direito para usar. Recarga de 30 segundos. 
ITEM_20150317_001804	Pergaminho de Teleporte 
ITEM_20150317_001805	Permite se teleportar para qualquer Estátua da Deusa ativada. Sua localização atual será salva na Estátua da Deusa. 
ITEM_20150317_001806	Comida de Companheiro 
ITEM_20150317_001807	Restaura em 30 o Vigor de Velheider. 
ITEM_20150317_001808	Varnalesa 
ITEM_20150317_001809	Restaura de 32 a 35 de SP. Clique com o botão direito para usar. 
ITEM_20150317_001810	Valerijonas 
ITEM_20150317_001811	Uma flor que pode ser usada como erva. 
ITEM_20150317_001812	Ciobrelis 
ITEM_20150317_001813	Uma flor de cor púrpura que tem efeitos regenerativos quando fervida. Restaura 8 de Vigor. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001814	Uosis 
ITEM_20150317_001815	Uma erva que cresce em campos ensolarados. 
ITEM_20150317_001816	Amalas 
ITEM_20150317_001817	Aviete 
ITEM_20150317_001818	Gyslotis 
ITEM_20150317_001819	Uma erva usada por um sacerdote durante uma cerimônia para os mortos. 
ITEM_20150317_001820	Jonazole 
ITEM_20150317_001821	Mairunas 
ITEM_20150317_001822	Ramunele 
ITEM_20150317_001823	Raudonelis 
ITEM_20150317_001824	Erva de gosto doce. Às vezes, é usada para tratar ferimentos. Restaura HP. 
ITEM_20150317_001825	Cebola 
ITEM_20150317_001826	Apenas quem já descascou uma sabe como é. 
ITEM_20150317_001827	Salavijas 
ITEM_20150317_001828	Dilgele 
ITEM_20150317_001829	Tem gosto ruim, mas restaura seu SP. 
ITEM_20150317_001830	Medus 
ITEM_20150317_001831	Líquido pegajoso de gosto agradável. 
ITEM_20150317_001832	Nukela 
ITEM_20150317_001833	Bolota 
ITEM_20150317_001834	Trufa 
ITEM_20150317_001835	Restaura de 350 a 400 de SP. Uma iguaria famosa entre gastrônomos. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001836	Rolinho de Flor 
ITEM_20150317_001837	Cogumelo de Pinheiro 
ITEM_20150317_001838	Bezoar 
ITEM_20150317_001839	Você pode obter isso na Missão Toupeira de Cristal e Missão Espírito da Floresta de uma Missão Nv 50. 
ITEM_20150317_001840	Red Ox 
ITEM_20150317_001841	Dá a você a bravura de um touro. Seu vigor não vai esgotar por 10 minutos. 
ITEM_20150317_001842	Bolacha 
ITEM_20150317_001843	Fruta da Criação 
ITEM_20150317_001844	Mangostim 
ITEM_20150317_001845	Pêssego 
ITEM_20150317_001846	Surstromming 
ITEM_20150317_001847	Durião 
ITEM_20150317_001848	Morango 
ITEM_20150317_001849	Frubedoria 
ITEM_20150317_001850	Limão 
ITEM_20150317_001851	Poção de Irritação 
ITEM_20150317_001852	Requer Paróquia de Klaipeda Nv 120 
ITEM_20150317_001853	Um pergaminho que abrirá um portal de missão. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001854	Pedra de Teleporte da Missão Mina de Cristal 
ITEM_20150317_001855	Requer Observadores Nv 140 
ITEM_20150317_001856	Requer Discípulos de Paladino Nv 160 
ITEM_20150317_001857	Pedra de Teleporte da Missão Sétimo Vale 
ITEM_20150317_001858	Pedra de Teleporte da Missão Floresta Espinhosa 
ITEM_20150317_001859	Pedra de Teleporte da Missão Área do Cânion 
ITEM_20150317_001860	Pedra de Teleporte da Missão Mausoléu Real 
ITEM_20150317_001861	Pedra de Teleporte da Missão Área das Ruínas 
ITEM_20150317_001862	Pedra de Teleporte da Missão Torre dos Magos 
ITEM_20150317_001863	Água Benta 
ITEM_20150317_001864	Água abençoada com um espírito sagrado. Usada por sacerdotes. 
ITEM_20150317_001865	Pó Sagrado 
ITEM_20150317_001866	Um pó branco consumido pelos sacerdotes ao conjurar um feitiço. Dizem que intensifica seu poder de magia. 
ITEM_20150317_001867	Pedra de Teleporte da Missão Catacumbas 
ITEM_20150317_001868	Alho 
ITEM_20150317_001869	Carne de Papouleão 
ITEM_20150317_001870	{memo X}Restaura de 40 a 50 de HP. Essa carne é fácil de obter e pode ser ingerida crua. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001871	Pergaminho de Teleporte de Klaipeda 
ITEM_20150317_001872	Teleporta você para Klaipeda. Clique com o botão direito para usar. 
ITEM_20150317_001873	Caixa de iCoin
ITEM_20150317_001874	Contém 1 iCoin. Clique com o botão direito para usar. 
ITEM_20150317_001875	Cura a condição incomum de [Veneno]. 
ITEM_20150317_001876	Comida do Velheider 
ITEM_20150317_001877	{memo X}Comida favorita do Velhider. Restaura 100% de HP e 30 de vigor do seu companheiro. 
ITEM_20150317_001878	Comida do Infra Hoglan 
ITEM_20150317_001879	{memo X}Comida favorita do Infra Hoglan. Restaura 100% de HP e 30 de vigor do seu companheiro. 
ITEM_20150317_001880	Comida do Arma 
ITEM_20150317_001881	Comida favorita do Arma. Restaura 100% de HP e 30 de vigor do seu companheiro. 
ITEM_20150317_001882	Pergaminho de Teleporte Básico 
ITEM_20150317_001883	Cartão de EXP Nv 1
ITEM_20150317_001884	{memo X}Adiciona 30 de EXP. {nl}50% de chance de receber EXP adicional. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001885	Cartão de EXP Nv 2
ITEM_20150317_001886	{memo X}Adiciona 120 de EXP. {nl}50% de chance de receber EXP adicional. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001887	Cartão de EXP Nv 3
ITEM_20150317_001888	{memo X}Adiciona 500 de EXP. {nl}50% de chance de receber EXP adicional. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001889	Cartão de EXP Nv 4
ITEM_20150317_001890	{memo X}Adiciona 2.000 de EXP. {nl}50% de chance de receber EXP adicional. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001891	Cartão de EXP Nv 5
ITEM_20150317_001892	{memo X}Adiciona 6.000 de EXP. {nl}50% de chance de receber EXP adicional. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001893	Cartão de EXP Nv 6
ITEM_20150317_001894	{memo X}Adiciona 12.000 de EXP. {nl}50% de chance de receber EXP adicional. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001895	Cartão de EXP Nv 7
ITEM_20150317_001896	{memo X}Adiciona 24.000 de EXP. {nl}50% de chance de receber EXP adicional. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001897	Poção de Aumento de HP 
ITEM_20150317_001898	{memo X}Aumenta permanentemente em 30 o HP máximo. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001899	Poção de Aumento de SP 
ITEM_20150317_001900	Aumenta permanentemente em 20 o SP máximo. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001901	Poção de Aumento de Vigor 
ITEM_20150317_001902	Aumenta permanentemente em 5 o Vigor máximo. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001903	Poção de Aumento de Peso 
ITEM_20150317_001904	Aumenta permanentemente em 100 o Peso máximo. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001905	Poção de HP Pequena
ITEM_20150317_001906	Provisão de Poção de HP Básica
ITEM_20150317_001907	Poção de HP Grande Básica
ITEM_20150317_001908	Poção de SP Pequena Básica
ITEM_20150317_001909	Poção de SP Básica
ITEM_20150317_001910	Poção de SP Grande Básica
ITEM_20150317_001911	Pílula de Vigor Básica 
ITEM_20150317_001912	{memo X}Poção de VIG Básica (Média) 
ITEM_20150317_001913	{memo X}Poção de VIG Básica (Grande) 
ITEM_20150317_001914	Poção de Recuperação Pequena Básica
ITEM_20150317_001915	Poção de Recuperação Básica
ITEM_20150317_001916	Poção de Recuperação Grande Básica
ITEM_20150317_001917	Poção de Aumento de Movimento Básica
ITEM_20150317_001918	Poção de Aumento de FOR 
ITEM_20150317_001919	Aumenta permanentemente em 1 a Força. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001920	Poção de Aumento de DES 
ITEM_20150317_001921	Aumenta permanentemente em 1 a Destreza. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001922	Poção de Aumento de CON 
ITEM_20150317_001923	Aumenta permanentemente em 1 a Constituição. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001924	Poção de Aumento de INT 
ITEM_20150317_001925	Aumenta permanentemente em 1 a Inteligência. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001926	Poção de Aumento de ESP 
ITEM_20150317_001927	Aumenta permanentemente em 1 o Espírito. {nl}Clique com o botão direito para usar. 
ITEM_20150317_001928	Poção de Aumento de Atributo 
ITEM_20150317_001929	Concede 1 Ponto de Atributo. Clique com o botão direito para usar. 
ITEM_20150317_001930	Aumenta permanentemente em 50 o peso máximo que você pode aguentar. Clique com o botão direito para usar. 
ITEM_20150317_001931	Poção de Recarga (para teste de TBF) 
