QUEST_20150317_000001	Por favor, selecione o usuario que precisa de uma atualizacao de quest.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150317_001201	A essa altura, Modestas ja perdera mais ouro do que devia a estranha senhora idosa. {nl} E agora so lhe restava uma vitoria e uma derrota incondicionais. {nl} Enquanto Modestas seguia pelo caminho da montanha com sua carroca, ele murmurava sobre seus planos para vencer a proxima grande aposta. {nl}	 아무튼, 모데스타스씨는 금괴를 벌기는커녕 노파에게 받은 금괴를 잃고 거기다 하나를 빚진 상태가 되었습니다.  {nl}그리고 이제 남은 기회는 이기고 지는 것이 각각 한 번인데 마지막에 질 것을 생각하면 다음 번은 무조건 크게 이겨야만 하는 상황이 되었습니다. {nl}그런 생각을 하며 말과 수레를 끌고 산길을 가던 모데스타스씨는 자기도 모르게 이렇게 중얼거렸습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001202	'Dessa vez, nao importa o que aconteca, preciso apostar contra o mais rico, bem, talvez nao o mais rico, mas um homem com muito dinheiro, pelo menos.'{nl}Assim que ele falou essas palavras, seus arredores tremeram e uma voz alta e profunda declarou.{nl}'Sou a mais rica dessa regiao.'{nl}	 “이번에는 무슨 일이 있어도 세상에서 아니 세상은 아니더라도 이 근처에서 가장 큰 부자와 겨뤄야 해.”{nl}그 말이 끝나자 지진이 난 듯 사방이 흔들리더니 묵직한 저음의 목소리가 들렸습니다.{nl}“이 근처에서 가장 큰 부자는 나인데.”{nl}	QUEST_20150317_001197	Como ele sabia que ia perder, Modestas acreditava ser melhor apostar e perder contra uma pepita de chumbo agora, do que encontrar pessoas que fariam uma aposta maior e perder depois. {nl}Modestas primeiro se certificou de que poderia aceitar a aposta, apesar de nao ter dinheiro no momento, e poderia trazer algum depois, e aceitou a aposta. Nao e preciso dizer qual foi o resultado. {nl}	 이번에는 무조건 질 차례이니 납덩이 하나를 빚진다면 다른 곳에서 다른 사람에게 더 큰 금액을 손해 볼 가능성에 비하면 괜찮은 선택이 아닐까 하는 생각이 들었습니다. {nl}모데스타스씨는 질 경우 당장 돈이 없으니 나중에 가져다주어도 되는지 확인하고 그 내기에 응했고 결과는 말할 필요도 없이 졌습니다.{nl}	
QUEST_20150317_001203	Modestas olhou para os lados nao encontrou ninguem. Entao ele perguntou,{nl}'Quem e voce?'{nl}A voz profunda respondeu a pergunta.{nl}'Eu estou onde voce esta pisando. Na sua lingua, me chamo montanha.'{nl}Modestas, incredulo, nao conseguiu resistir e respondeu.{nl}	 모데스타스씨는 주위를 둘러보았으나 자신에게 말을 걸만한 사람을 찾을 수 없었습니다. 그래서 물었습니다.{nl}“누구요?”{nl}묵직한 저음의 목소리가 그 질문에 대답했습니다.{nl}“나는 네가 지금 있는 이곳이야. 너희 말로는 산이지.”{nl}모데스타스씨는 당혹감을 느끼면서 되묻지 않을 수 없었습니다.{nl}				
QUEST_20150317_001204	'Voce e... a montanha?'{nl}'E isso mesmo. Eu sou a montanha, e assim como voce procura, sou a mais rica por aqui.'{nl}'Voce e a montanha? Bem, nao, mesmo que voce seja a montanha, como pode clamar ser a mais rica?'{nl}'Eu sou dona de muita terra, ja que minha serra vai longe. Sem dizer que, em mim, estao grande veios valiosos.'{nl}	 “당신이 산이라고요.”{nl}“그렇지. 나는 산이고 네가 말한 이 근처에서 가장 부자지.”{nl}“당신이 산이라고요. 아니 산이라고 쳐도 어째서 가장 부자라는 것이죠?”{nl}“나는 넓은 땅을 가지고 있지. 더해서 내 안에는 큰 광맥도 있으니까.”{nl}				
QUEST_20150317_001205	Ouvir sobre os veios valiosos da montanha reviveu o habito de Modestas. Ele ate sabia, desta vez, que ganharia com certeza. Modestas comecou a persuadir a autoproclamada montanha a fazer uma aposta que ganharia. A montanha, sem preocupacao em ganhar ou perder, concordou. {nl}	 산이 큰 광맥을 가졌다는 말을 듣자 모데스타스씨의 내기벽이 다시 꿈틀거렸습니다. 더구나 이번에는 무조건 이길 차례이니 더욱 그러했습니다. {nl}모데스타스씨는 자칭 산을 설득해 자신과 내기를 하도록 만들었습니다. 산은 심드렁하게 내기에 응했고, 승부에 별로 집착하지도 않았습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001206	Por ter um encontro assim com um ser misterioso, ate Modestas duvidou de sua propria sanidade. {nl} Mas Modestas apostou contra os minerios da montanha, e venceu.{nl}	 그저 어쩌다 한 인간에게 이상한 우연과 운명으로 얽혀서 모데스타스씨와 내기를 하게 되었지만, 본심은 다시 무신경한 본연의 의식으로 돌아가고 싶어하는 눈치였습니다.{nl}여하튼 모데스타스씨는 산이 지녔다는 광맥을 걸고 내기를 했고 당연히 승리했습니다. 				클라페다의 내기꾼
QUEST_20150317_001207	No fim da aposta, a montanha se abriu, e uma enorme pedra caiu na frente de Modestas. Era algo, mas a rocha nao parecia ser o que Modestas esperava. Para a montanha, esse era o pagamento da divida do jogo. {nl} Para os olhos de Modestas, entretanto, deveria ter sido um veio de ouro, ou pelo menos algo util como cobre ou carvao. {nl}	 내기가 끝나자 산은 모데스타스씨의 바로 앞에 큰 암석을 솟아나게 하였습니다. 내기에 진 대가를 낸 것이지만, 그것은 모데스타스씨가 기대했던 물건이 아니었습니다.{nl}산이 내기의 대가로 지불한 것은 그냥 큰 암석이었던 것입니다. {nl}모데스타스씨가 기대한 것은 금은의 광맥이었고, 적어도 구리든 석탄이든 쓸만한 무엇이지 절대 큰 바위가 아니었습니다. {nl}				클라페다의 내기꾼
QUEST_20150317_001208	Mesmo que os veios da montanha tivessem nada alem de pedra, ele poderia terminar como dono de uma pedreira e cavar as pedras valiosas. Em vez disso, a montanha pagou uma recompensa inadequada.{nl}Quando Modestas ressaltou isso, a montanha discordou. {nl}'Tudo que voce tem sao dois cavalos e uma carroca.'	 또한 설령 산이 말한 광맥이 그냥 암석이었다고 하더라도 최소한 석재를 캘 수 있는 큰 채석장 의 주인 정도는 하게 될 것이라 생각했는데 산은 엉뚱한 대가를 내놓았습니다.{nl}모데스타스씨가 그 점을 따지자 산이 답했습니다.{nl}“네가 지닌 전 재산은 말 두 필과 수레 하나다. 				
QUEST_20150317_001209	Certamente voce deve apostar coisas de igual valor. Essa rocha vale tanto quanto suas possessoes.'{nl}Dito isso, a montanha voltou ao seu estado natural, para nunca mais falar com Modestas ou qualquer outra pessoa. {nl}Modestas, na sua situacao desesperada, gastara sua chance mais importante para ganhar uma rocha enorme.{nl}Apesar de sua ma sorte, ele se consolou no fato que pelo menos tinha cavalos e uma carroca para transportar a rocha.{nl}	 당연히 내기는 자신이 지닌 것의 가치와 동등해야 한다. 이 암석은 그 정도의 가치가 있다.”{nl}그 말과 함께 산은 다시는 모데스타스씨도 다른 어떤 사람도 상대하지 않는 자신의 본 상태로 돌아갔습니다. {nl}모데스타스씨 처지에서는 중요한 기회를 큰 돌덩어리 하나를 얻는 일에 날린 셈입니다.{nl}불행중 다행히 마침 자신이 얻은 큰 암석을 실을 수레와 말을 가졌다는 점은 그나마 위안이 되었습니다.{nl}				
QUEST_20150317_001210	E de repente se viu tomado por ansiedade, quando notou que so tinha uma perda incondicional chegando, e dados aos fatos estranhos que decorreram ate entao, ele nao teria muito controle sobre o resultado da aposta final. {nl} De qualquer forma, Modestas sabia que nao poderia ficar onde estava agora, e decidiu partir. {nl}	 그리고 갑자기 불안한 생각이 들었는데 이제는 무조건 지는 일만 남았고, 이제까지 연속해서 일어난 이상한 일을 생각하면, 마지막 질 차례도 간단히 수습되지 않으리란 예감이 들었기 때문입니다.{nl}아무튼, 그 자리에 계속 머무를 수 없었기에 모데스타스씨는 그곳을 떠나려 했습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001211	Modestas se levantou e tentou mover a rocha, mas sem sucesso. Era simplesmente grande demais para ele carregar sozinho. {nl} Ele pensou em deixa-la para tras, mas depois de se lembrar da montanha dizendo que valia mais que seus dois cavalos e carroca juntos, ele acreditava que seria um desperdicio. {nl} Acreditando ser capaz de vender a rocha para uma pedreira proxima por uma quantia consideravel, ele ficou irritado e nao conseguiu partir. {nl}	 그런데 솟아오른 바위는 땅에 묻히거나 박혀 있어 움직일 수 없는 상태는 아니었지만, 그럼에도 모데스타스씨 혼자서는 움직일 수 없을 정도로 컸습니다. {nl}이까짓 돌덩이 그냥 두고 가려는 생각도 들었지만, 이 바위가 말 두 필과 수레 정도의 가치를 지녔다는 산의 말이 생각나서 그러기도 아까웠습니다. {nl}어디 채석장이나 석공에게 잘 팔면 어느 정도 돈이 될 것이란 생각이 들자 모데스타스씨는 싣지도 버리지도 못하는 처지가 되어 그 자리에서 고민하였습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001212	Na frente de Modestas, que estava preocupado, surgiu uma figura familiar. Era ninguem menos que a pessoa que comecou com essa aposta, a suspeita senhora idosa.{nl}Ele perguntou a Modestas.{nl}'Como esta? Esta tudo indo bem?'{nl}	 그런 고민을 하던 모데스타스씨의 앞에 낯익은 사람이 나타났습니다. 나타난 사람은 처음 모데스타스씨와 내기를 시작한 수상한 노파였습니다.{nl}나타난 노파가 모데스타스씨에게 물었습니다.{nl}“어떤가? 잘 돼가고 있나?”{nl}	QUEST_20150317_001207	No fim da aposta, a montanha se abriu, e uma enorme pedra caiu na frente de Modestas. Era algo, mas a rocha nao parecia ser o que Modestas esperava. Para a montanha, esse era o pagamento da divida do jogo. {nl} Para os olhos de Modestas, entretanto, deveria ter sido um veio de ouro, ou pelo menos algo util como cobre ou carvao. {nl}	 내기가 끝나자 산은 모데스타스씨의 바로 앞에 큰 암석을 솟아나게 하였습니다. 내기에 진 대가를 낸 것이지만, 그것은 모데스타스씨가 기대했던 물건이 아니었습니다.{nl}산이 내기의 대가로 지불한 것은 그냥 큰 암석이었던 것입니다. {nl}모데스타스씨가 기대한 것은 금은의 광맥이었고, 적어도 구리든 석탄이든 쓸만한 무엇이지 절대 큰 바위가 아니었습니다. {nl}	
QUEST_20150317_001213	Modestas confessou que estava longe de ter lucro, pelo contrario, estava endividado, e gastara todas as suas chances de vencer e so lhe restava uma ultima aposta sobrando, {nl}'Ja que voce so tem uma sobrando, va em frente e faca sua ultima aposta perdedora. Entao tudo que lhe resta e pagar sua parte da barganha por perder a aposta contra mim.'{nl}Modestas era um homem que amava apostar, mas ele nao era do tipo que fazia escandalo nem era um mau perdedor.	 모데스타스씨는 솔직하게 벌기는커녕 밑지고 있고, 그나마 이길 차례는 다 날리고 질 차례만 한 번 남은 처지가 되기까지 모든 상황을 설명했습니다.{nl}모든 이야기를 다 듣고 노파가 말했습니다.{nl}“그럼 이제 질 차례만 남았으니 마지막 지는 내기를 하고 내게 진 내기 빚을 물어내면 되겠군.”{nl}모데스타스씨는 내기를 좋아하는 사람이었지 내기에 졌다고 억지를 부리거나 결과에 승복하지 않는 사람은 아니었습니다.				
QUEST_20150317_001214	Modestas sabia que essas apostas eram mais do que so dinheiro. {nl} Modestas, um apostador dedicado, acenou com a cabeca ao ouvir o que a senhora tinha a dizer. Ele claramente parecia um homem com um fardo pesado, seu rosto pesaroso. {nl} A senhora idosa sentia os pensamentos de Modestas, entao ela ofereceu uma proposta. {nl}	 다만 이 내기에 걸린 것이 그저 돈만이 아니라는 점이 마음에 걸렸을 뿐입니다.{nl}그래서 모데스타스씨는 성실한 내기꾼으로서 고개를 끄덕였고, 마음에 부담을 지닌 사람으로서 끄덕이는 표정은 어두웠습니다. {nl}그런 모데스타스씨의 심리를 읽었는지 어쨌는지 노파는 이런 제안을 했습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001215	'Ja que voce nao sabe como transportar essa rocha que ganhou repentinamente, que tal fazer o seguinte? Normalmente, eu nao mudaria as condicoes iniciais, mas para me divertir, darei uma sugestao. Por que voce nao usa sua ultima aposta para ver se consegue ou nao levantar essa rocha e coloca-la no sua carroca? Mesmo que perca, pelo menos voce pode ter esse rochedo carregado na sua carroca.'{nl}	 “자네가 뜻하지 않게 얻은 이 바위를 어찌 운반할지 고민한다니, 이렇게 하면 어떤가? 나는 보통이미 정한 조건을 바꾸지 않지만, 이번에는 재미를 위해 특별히 추가 제안을 하지. 마지막 남은 질 차례 내기로 내가 이 바위를 자네 수레에 올릴 수 있을지 없을지 보는 것이 어떤가? 설령 진다 해도 자네는 이 무거운 바위를 수레에 싣는 도움을 받을 수 있지.”{nl}	QUEST_20150317_001210	E de repente se viu tomado por ansiedade, quando notou que so tinha uma perda incondicional chegando, e dados aos fatos estranhos que decorreram ate entao, ele nao teria muito controle sobre o resultado da aposta final. {nl} De qualquer forma, Modestas sabia que nao poderia ficar onde estava agora, e decidiu partir. {nl}	 그리고 갑자기 불안한 생각이 들었는데 이제는 무조건 지는 일만 남았고, 이제까지 연속해서 일어난 이상한 일을 생각하면, 마지막 질 차례도 간단히 수습되지 않으리란 예감이 들었기 때문입니다.{nl}아무튼, 그 자리에 계속 머무를 수 없었기에 모데스타스씨는 그곳을 떠나려 했습니다.{nl}	
QUEST_20150317_001216	Modestas, sem mais nada a perder, assentiu com a cabeca e aceitou a proposta. Mas antes de concordar com a aposta, a mulher continuou. {nl}'Mas nao posso simplesmente dar uma ideia tao favoravel de graca. Portanto, adiciono mais uma condicao.'{nl}	 모데스타스씨는 어차피 질 내기에 그 정도 조건이면 마다할 이유가 없었기에 고개를 끄덕여 승낙을 표시했습니다. 그러나 그 승낙의 몸짓이 끝나기 전에 노파의 말이 이어졌습니다. {nl}“그렇지만 그런 유리한 제안을 그냥 던질 수는 없지. 그러니 한 가지 조건을 추가함세.”{nl}	QUEST_20150317_001211	Modestas se levantou e tentou mover a rocha, mas sem sucesso. Era simplesmente grande demais para ele carregar sozinho. {nl} Ele pensou em deixa-la para tras, mas depois de se lembrar da montanha dizendo que valia mais que seus dois cavalos e carroca juntos, ele acreditava que seria um desperdicio. {nl} Acreditando ser capaz de vender a rocha para uma pedreira proxima por uma quantia consideravel, ele ficou irritado e nao conseguiu partir. {nl}	 그런데 솟아오른 바위는 땅에 묻히거나 박혀 있어 움직일 수 없는 상태는 아니었지만, 그럼에도 모데스타스씨 혼자서는 움직일 수 없을 정도로 컸습니다. {nl}이까짓 돌덩이 그냥 두고 가려는 생각도 들었지만, 이 바위가 말 두 필과 수레 정도의 가치를 지녔다는 산의 말이 생각나서 그러기도 아까웠습니다. {nl}어디 채석장이나 석공에게 잘 팔면 어느 정도 돈이 될 것이란 생각이 들자 모데스타스씨는 싣지도 버리지도 못하는 처지가 되어 그 자리에서 고민하였습니다.{nl}	
QUEST_20150317_001217	Quando Modestas perguntou sobre a condicao, a senhora idosa respondeu.{nl}'Voce levara o rochedo que eu carregarei na carroca ate Klaipeda. Entao, transforme-a em um objeto de valor que todos reconhecerao e prezarao. Se voce for bem-sucedido, entao a punicao por perder a aposta contra mim sera cancelada. Seus amigos nao desaparecerao. Ja que voce ja perdeu a aposta contra mim, apesar de ser dificil, eu lhe darei mais uma oportunidade. O que acha?'{nl}Como antes, Modestas nao tinha escolha.	 모데스타스씨가 그것이 무엇인지 묻자 노파가 말했습니다.{nl}“자네는 내가 올릴 바위를 수레에 싣고 클라페다에 가게. 그리고 클라페다의 모든 사람들이 인정할 가치가 있는 물건으로 바꾸게. 그런 바꿈에 성공한다면 애초의 내기의 전제 조건이었던 자네 주변 사람들도 아무 일이 없을 걸세. 자네는 어차피 내기에 졌으니 이것은 어렵다고는 하지만, 그래도 한 번 더 자네에게 기회를 주는 일이지. 어떤가?”{nl}이번에도 모데스타스씨에게는 선택의 여지가 없었습니다.				
QUEST_20150317_001218	Assim que Modestas aceitou a proposta, a senhora idosa apontou o dedo para tras dele. {nl} Modestas se virou e, para sua surpresa, o rochedo que ele nao conseguia levantar foi facilmente colocado na carroca. Quando Modestas se virou novamente, a senhora ja havia desaparecido. {nl}	 모데스타스씨가 승낙하자마자 노파는 손가락으로 모데스타스씨의 뒤를 가리켰습니다. {nl}모데스타스씨가 고개를 돌리자 놀랍게도 어느 사이에 바위는 수레 위에 기척도 없이 올려져 있었습니다. 그리고 모데스타스씨가 고개를 다시 돌려 노파를 보자 노파마저 사라진 사실을 알게 되었습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001219	Como Modestas nao tinha cordas ou equipamento para prender o rochedo na carroca, ele teve de inclinar a carroca e dirigir cuidadosamente ate Klaipeda. {nl} Em seu caminho ate Klaipeda, ele novamente encontrou os soldados com quem apostara anteriormente. O comandante deles, tendo descoberto o que acontecera, queria pedir desculpas a Modestas por envolve-lo na bagunca de seus subordinados. {nl}	 모데스타스씨는 바위를 고정시킬 밧줄이나 다른 장비가 없었기에 바위가 수레에서 기울거나 떨어지지 않도록 조심하며 수레를 클라페다로 몰았습니다. {nl}그렇게 클라페다로 가던 모데스타스씨는 자신과 내기를 했던 병사들을 도중에 다시 만났습니다.병사들을 인솔하던 장교는 그간의 사정을 들었다며 부하들의 내기에 휘말려 모데스타스씨가 손해를 본 일이 미안하다고 했습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001220	O oficial devolveu a pepita de Modestas, e ordenou que seus soldados o ajudassem a transportar o rochedo de volta a Klaipeda. {nl}	 장교는 모데스타스씨의 금괴를 돌려주면서 모데스타스시가 바위를 클라페다로 운반한다고 하자 그 일을 돕겠다고 말했습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001221	O oficial e os soldados tinham cordas resistentes, entao foram capazes de transportar a pedra sem medo de deixa-la cair e deposita-la em Klaipeda. Ele decidiram acompanhar Modestas ate la. {nl} Modestas estava grato pela ajuda que obteve dos soldados. {nl} Junto com os soldados, Modestas encontrou novamente o Alquimista para quem tinha perdido anteriormente.	 장교와 병사들은 튼튼한 밧줄로 바위가 흔들리거나 떨어지지 않도록 수레에 묶은 후 클라페다에서 바위를 내릴 수 있도록 도시까지 동행해 도움을 주겠다고 나섰습니다. {nl}모데스타스씨는 그런 도움에 감사하면서 병사들의 도움을 고맙게 받아들였습니다.{nl}그렇게 병사들과 클라페다로 가던 모데스타스씨는 내기 상대이던 알케미스트와도 마주쳤습니다.				클라페다의 내기꾼
QUEST_20150317_001222	Para Modestas, uma promessa era uma promessa, entao ele entregou o ouro devolvido pelos soldados ao Alquimista imediatamente. {nl} O Alquimista, surpreso que Modestas o fizera sem reclamar ou ficar insatisfeito, tomou o ouro e conversou com ele.	 모데스타스씨는 어쨌거나 약속은 약속이었기에 노상에서 알케미스트를 마주치자마자 병사들에게 돌려 받은 금괴를 주었습니다. {nl}알케미스트는 모데스타스씨가 별다른 불만이나 항의 없이 선선히 금괴를 주자 놀랐는지 당황스러웠는지 모데스타스씨와 대화를 나눴습니다.				클라페다의 내기꾼
QUEST_20150317_001223	Nao querendo ficar de fora da conversa entre Modestas e o Alquimista, os soldados nao conseguiram continuar a trabalhar, se juntaram, e ficaram sabendo do ocorrido entre o Alquimista e Modestas. {nl} O Alquimista pediu desculpas a Modestas por transformar o chumbo em ouro, e prometeu obter todo o apoio que pudesse para Modestas em Klaipeda. Ele entao partiu. {nl}	 설령 그렇지 않으려 해도 주변의 병사들이 모데스타스씨와 알케미스트 사이의 일을 궁금해했기 때문에 모두에게 그간의 이야기를 하지 않을 수 없었지요. {nl}그래서 병사들과 알케미스트는 각자 모데스타스씨와 얽힌 사연을 나누었습니다. 알케미스트는 납을 금으로 바꿔서 모데스타스씨에게 수작을 부린 일이 미안해졌습니다. 그래서 모데스타스씨가 클라페다에 도착하면 도울 수 있도록 조치를 하겠다고 말하고 사라졌습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001224	Logo depois disso, Modestas e os soldados chegaram a Klaipeda. Ele depositaram a pedra no grande espaco livre no centro da cidade. {nl}	 그후에 모데스타스씨와 병사들은 클라페다에 도착했고 모데스타스씨는 병사들의 도움으로큰 바위를 클라페다 중앙의 공터에 내려놓을 수 있었습니다. {nl}				클라페다의 내기꾼
QUEST_20150317_001225	Quando o rochedo foi colocado em seu lugar com a ajuda dos soldados, o Alquimista apareceu acompanhado. O Alquimista trouxe com ele um famoso Escultor.{nl}Para o Escultor, o Alquimista sugeriu{nl}'Que tal esculpir uma estatua da deusa usando esse rochedo, no centro de Klaipeda? Se esse rochedo for transformado em uma estatua da deusa, entao ninguem em Klaipeda podera negar sua importancia. Acho que isso cumprira sua promessa para a senhora idosa.'{nl}	 그리고 바위가 병사들에 의해 막 제자리를 잡았을 때 떠났던 알케미스트가 한 사람을 데리고 도착했습니다. 알케미스트가 데려온 사람은 유명한 조각가이자 딥디르비였습니다. {nl}딥디르비를 데려온 알케미스트가 말했습니다.{nl}“이 바위로 클라페다의 중앙인 이곳에 여신상을 조각하지 않겠나? 이 바위가 여신상으로 바뀐다면 클라페다의 누구도 그 가치를 인정하지 않을 수 없을 것일세. 그렇게 하면 자네가 노파와 세운 조건은 충족된다고 생각하네.”{nl}	QUEST_20150317_001220	O oficial devolveu a pepita de Modestas, e ordenou que seus soldados o ajudassem a transportar o rochedo de volta a Klaipeda. {nl}	 장교는 모데스타스씨의 금괴를 돌려주면서 모데스타스시가 바위를 클라페다로 운반한다고 하자 그 일을 돕겠다고 말했습니다.{nl}	
QUEST_20150317_001226	Todos la estavam de acordo com essa ideia. {nl} O Alquimista tomou o ouro que obteve de Modestas e pagou ao Escultor sua comissao, e ele obteve permissao do Cavaleiro-Chefe e do Bispo de Klaipeda.{nl}	 그 자리에 있던 모든 사람이 그 생각에 찬성했습니다. {nl}알케미스트는 자신이 모데스타스씨에게 얻은 금괴를 딥디르비에게 수고비로 미리 지급했고, 장교는 클라페다의 기사단장과 주교 등을 만나서 허락을 얻기로 했으며,				클라페다의 내기꾼
QUEST_20150317_001227	Quando as noticias se espalharam, todos em Klaipeda ficaram felizes em saber que uma Estatua da Deusa fora planejada para a cidade. {nl} Entretanto, um ultimo problema restava, alem de obter o favorecimento deles. E essa questao era, qual deusa a estatua deveria celebrar? {nl} Os soldados que ajudaram a transportar o rochedo estavam especialmente investidos nessa questao, e comecaram a brigar mais uma vez. {nl}	 이 일이 알려진 후에는 클라페다의 시민들도 도시 중앙에 여신상을 세우는 일에 모두 기뻐했습니다. {nl}다만 모두의 찬성을 얻을 수 없는 딱 한 가지 문제가 남게 되었습니다. 그것은 과연 어느 여신을 기념하는 여신상을 세울 것인가 하는 문제였습니다. {nl}특히 이 석재를 운반하는 일에 도움을 줬던 병사들은 이 문제로 또 다시 크게 싸울 뻔 하기도 하였습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001228	Quem respondeu a pergunta foi ninguem menos que Modestas. {nl} Sem nenhuma malicia, Modestas argumentou que a deusa poderosa o guiou com providencia divina para construir uma estatua em Klaipeda naquele dia. {nl}	 이 문제를 해결한 사람은 다름 아닌 모데스타스씨였습니다. {nl}모데스타스씨는 의도한 바는 아니지만 결국, 자신이 클라페다 여신상을 세우는 일에 주도자가 된 일에 여신께서 그를 인도하신 섭리가 있다고 생각했습니다. {nl}				클라페다의 내기꾼
QUEST_20150317_001229	A aparicao da senhora idosa perante ele, as muitas apostas que ocorreram, a montanha que se abriu com o material - era tudo providencia divina das deusas, argumentava Modestas, persuadindo a todos. {nl} E assim as pessoas decidiram seguir as palavras de Modestas, e Modestas comunicou ao Escultor a ordem de criar a estatua. {nl} Quando a estatua finalmente ficou pronta, os cidadaos de Klaipeda se reuniram, curiosos para ver a identidade da deusa que fora erguida no centro de sua amada cidade.{nl}	 늙은 모습으로 나타나 내기를 거시고, 산을 움직여 석재를 내주신 일이 모두 여신의 섭리임을 깨닫고 다른 사람들에게도 그 사실을 설명하고 설득하였습니다. {nl}그리하여 사람들은 모데스타스씨의 말을 따르기로 하였고, 모데스타스씨가 딥디르비를 통해 여신상을 완성하도록 허락했습니다. {nl}마침내 여신상이 완성되었을 때, 클라페다의 사람들은 과연 클파페다의 사람들은 그들이 사랑하는도시의 중심에 세워진 여신상이 과연 어떤 여신을 기리는 조각상인지 궁금해하며 모였습니다.{nl}	QUEST_20150317_001224	Logo depois disso, Modestas e os soldados chegaram a Klaipeda. Ele depositaram a pedra no grande espaco livre no centro da cidade. {nl}	 그후에 모데스타스씨와 병사들은 클라페다에 도착했고 모데스타스씨는 병사들의 도움으로큰 바위를 클라페다 중앙의 공터에 내려놓을 수 있었습니다. {nl}	
QUEST_20150317_001230	Entretanto, para a surpresa de todos, nem uma unica alma pode reconhecer a deusa cuja estatua eles comemoravam.{nl}	 그러나 당혹스럽게도 클라페다의 사람들은 완성된 여신상을 보고도 그것이 누구의 형상을 따른 여신상인지 알 수 없었습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001231	O Escultor que havia esculpido a estatua ja tinha desaparecido na Floresta Kateen, entao os cidadaos de Klaipeda repetidamente questionavam Modestas em busca de seu nome. {nl} Apesar das muitas perguntas, ninguem ouviu uma resposta de Modestas. {nl}O que importa e que essa e a historia de como a Estatua da Deusa de Klaipeda foi feita. Ate agora, a estatua se encontra no centro de Klaipeda.{nl}	 여신상을 조각한 딥디르비는 카틴의 깊은 숲 속으로 사라져서 행방을 알 수 없었기에 클라페다의주민들은 모데스타스씨에게 끊임없이 질문했습니다. {nl}그러나 무수한 질문에도 모데스타스씨로부터 답을 얻은 사람은 없었습니다. {nl}여하간 이것이 현재 클라페다의 여신상이 세워진 경위입니다. 지금도 그 여신상은 클라페다의 중앙에 놓여 있지요.{nl}	QUEST_20150317_001226	Todos la estavam de acordo com essa ideia. {nl} O Alquimista tomou o ouro que obteve de Modestas e pagou ao Escultor sua comissao, e ele obteve permissao do Cavaleiro-Chefe e do Bispo de Klaipeda.{nl}	 그 자리에 있던 모든 사람이 그 생각에 찬성했습니다. {nl}알케미스트는 자신이 모데스타스씨에게 얻은 금괴를 딥디르비에게 수고비로 미리 지급했고, 장교는 클라페다의 기사단장과 주교 등을 만나서 허락을 얻기로 했으며,	
QUEST_20150317_001232	E assim, algumas pessoas acreditam que Modestas, conduzido pela intervencao das deusas, tornou-se um homem honesto que nao apostava. Na verdade, Modestas nao parou de fazer apostas ate a sua morte. {nl}	 그리고 어떤 분들은 모데스타스씨가 이러한 여신의 간섭으로 인해 내기를 안 하는 성실한 사람이 되었는지 궁금하실 분들이 있을 것으로 생각합니다.{nl}사실을 말하면 모데스타스씨는 죽을 때까지 내기를 그만두지 않았습니다.{nl}				클라페다의 내기꾼
QUEST_20150317_001233	Desde aquele momento, toda vez que Modestas fazia uma aposta, ele sempre apostava a mesma coisa. A resposta para a pergunta de quem a Estatua de Klaipeda homenageava.{nl}Para descobrir o nome da deusa, diversas pessoas desafiavam Modestas a apostar.{nl} {nl} Mas nao importava quao baixas as probabilidades, Modestas nunca perdia uma aposta. E assim, ninguem foi capaz de obter a resposta de Modestas, e os anos foram se passando.{nl}	 다만 모데스타스씨는 내기의 대가로 오직 한 가지를 걸었는데 그것은 클라페다의 여신상이 과연 누구를 기리는 것이냐 하는 질문에 대한 해답이었습니다.{nl}그리고 많은 사람이 그 질문에 대한 해답을 얻기 위해 모데스타스씨에게 도전했습니다.{nl}그러나 그 어떤 불가능해 보이는 조건에서도 모데스타스씨는 내기에 지지 않았습니다. 따라서 아무도 모데스타스씨에게서 여신상의 의문을 풀지 못한 채 세월이 흘러갔습니다.{nl}	QUEST_20150317_001228	Quem respondeu a pergunta foi ninguem menos que Modestas. {nl} Sem nenhuma malicia, Modestas argumentou que a deusa poderosa o guiou com providencia divina para construir uma estatua em Klaipeda naquele dia. {nl}	 이 문제를 해결한 사람은 다름 아닌 모데스타스씨였습니다. {nl}모데스타스씨는 의도한 바는 아니지만 결국, 자신이 클라페다 여신상을 세우는 일에 주도자가 된 일에 여신께서 그를 인도하신 섭리가 있다고 생각했습니다. {nl}	
