SKILL_20150317_000001	Ataque
SKILL_20150317_001498	{memo X}{#993399}{ol}[Mágico]{/}{/}{nl}Explodir os zumbis na área designada, ferindo os inimigos por perto.
SKILL_20150317_001499	{memo X}Ataque: #{SkillAtkAdd}#{nl}Requer invocação de um zumbi{nl}Alvo: #{SkillSR}#
SKILL_20150317_001500	{memo X}Esculpir a Estátua de Vakarine. A estátua pode ser usada como teleporte para outras áreas.
SKILL_20150317_001501	{memo X}Teleportar: #{CaptionRatio}# vezes {nl}Duração da Estátua: 30 segundos{nl}Consome: 3 Carvalhos
SKILL_20150317_001502	$Estátua da Deusa Zemyna
SKILL_20150317_001503	{memo X}Esculpir a estátua Deusa Zemyna. O consumo de SP dos integrantes do grupo será reduzido ao se aproximar da estátua.
SKILL_20150317_001504	{memo X}SP: -#{CaptionRatio}# {nl} {nl}Duração da Estátua: 30 segundos{nl}Consome: 5 Pinheiros
SKILL_20150317_001505	$Estátua da Deusa Laima
SKILL_20150317_001506	{memo X}Esculpir a estátua da Deusa Laima. Aumenta a condição de Espalhar dos integrantes do grupo ao redor da estátua.
SKILL_20150317_001507	{memo X}Espalha: +#{CaptionRatio}# {nl}Duração da Estátua: 30 segundos {nl} Consome: 5 Cedros
SKILL_20150317_001508	$Entalhar
SKILL_20150317_001509	{#DD5500}{ol}[Físico] - [Perfurar]{/}{/}{nl}Atacar o alvo com uma faca de entalhe. Os monstros do tipo planta recebem dano de bônus adicional e podem descartar materiais de estátua.
SKILL_20150317_001510	{memo X}Ataque: #{SkillAtkAdd}#{nl}Dano Adicional: +#{CaptionRatio}#
SKILL_20150317_001511	$Esculpir Coruja
SKILL_20150317_001512	{memo X}{#993399}{ol}[Mágico] - [Fogo]{/}{/}{nl}Invocar a estátua de coruja para atacar alvos na frente dela.
SKILL_20150317_001513	{memo X}Ataque: #{SkillAtkAdd}#{nl}Defende: #{CaptionRatio}# vezes{nl}Dura: #{CaptionTime}# segundos{nl} Consome: 2 Carvalhos
SKILL_20150317_001514	$Esculpir Árvore da Vida
SKILL_20150317_001515	{memo X}Esculpir uma estátua da árvore sagrada para silenciar os inimigos por perto.
SKILL_20150317_001516	{memo X}Duração da Estátua: #{CaptionRatio} segundos#{nl}Consome: #{CaptionRatio2}# Freixo
SKILL_20150317_001517	$Projeção Astral
SKILL_20150317_001518	{memo X}Remover espírito do corpo. O espírito apenas pode se mover perto do corpo.
SKILL_20150317_001519	{memo X}Alcance de movimento do corpo 150
SKILL_20150317_001520	$Prakriti
SKILL_20150317_001521	{memo X}Mover-se para onde está o corpo.
SKILL_20150317_001522	$Tempo de viagem de 0,5 a 1 segundo
SKILL_20150317_001523	$Possessão
SKILL_20150317_001524	{memo X}{#993399}{ol}[Mágico] - [Sagrado]{/}{/}{nl}Vincular alvos e atacar.
SKILL_20150317_001525	{memo X}Ataque: #{SkillAtkAdd}#{nl}Dura: 5 segundos
SKILL_20150317_001526	$Vashita Siddhi
SKILL_20150317_001527	{memo X}Reduzir FOR, CON, INT, ESP, DES do alvo.
SKILL_20150317_001528	{memo X}FOR, CON, INT, ESP, DES +#{CaptionRatio}#{nl}Dura: 20 segundos
SKILL_20150317_001529	$Explosão Astral
SKILL_20150317_001530	{memo X}{#993399}{ol}[Mágico]{/}{/}{nl}Explodir fluido para ferir alvo.
SKILL_20150317_001531	$Transmitir Prana
SKILL_20150317_001532	{memo X}Dar INT ao alvo na frente.
SKILL_20150317_001533	{memo X}Inteligência cedida #{CaptionRatio}#
SKILL_20150317_001534	$Punição
SKILL_20150317_001535	{memo X}{#DD5500}{ol}[Físico] - [Golpe]{/}{/}{nl}Atacar o inimigo com um golpe poderoso.
SKILL_20150317_001536	$Restauração
SKILL_20150317_001537	{memo X}Invocar uma aura e aumentar a recuperação dos alvos por perto.
SKILL_20150317_001538	$Recuperação de HP : +#{CaptionRatio}#{nl}Duração da Aura: 60 segundos.
SKILL_20150317_001539	$Conversão
SKILL_20150317_001540	{memo X}Criar círculo mágico que tem a chance de converter inimigos em aliados quando são feridos dentro do círculo.
SKILL_20150317_001541	{memo X}Duração do Círculo Mágico: 10 segundos
SKILL_20150317_001542	$Resistência Elemental
SKILL_20150317_001543	{memo X}Aumentar a resistência a Fogo, Gelo e Sagrado do alvo.
SKILL_20150317_001544	{memo X}Resistência a Fogo +#{CaptionRatio}#{nl}Resistência a Gelo +#{CaptionRatio}#{nl}Resistência a Sagrado +#{CaptionRatio}#{nl}Duração do bônus #{CaptionTime}# segundos
SKILL_20150317_001545	$Exorcizar
SKILL_20150317_001546	{memo X}Chance de conseguir matar instantaneamente inimigos do tipo demônio e mutante.
SKILL_20150317_001547	$Extinção Máxima: #{CaptionRatio}#
SKILL_20150317_001548	$Barreira
SKILL_20150317_001549	{memo X}Criar uma barreira para repelir todos os inimigos e evitar seu avanço.
SKILL_20150317_001550	$Pele de Ferro
SKILL_20150317_001551	{memo X}Atributo de {#6644FF}{ol}[Sagrado]{/}{/}{nl}Recupera: #{CaptionRatio}#% {nl}Ataque: #{SkillFactor}#% + #{SkillAtkAdd}#{nl}Círculo Mágico Dura: 10 segundos {nl}Consome: #{SpendSP}# de SP
SKILL_20150317_001552	$Soco Duplo
SKILL_20150317_001553	{memo X}Atributo de {#CC3300}{ol}[Perfurar]{/}{/}{nl}Ataque: #{SkillFactor}#% +#{SkillAtkAdd}#{nl}Espalha: #{SkillSR}#{nl}Alcance: #{CaptionRatio}#{nl}Alcance de Repulsão: #{CaptionRatio}#{nl}Consome: #{SpendSP}# SP
SKILL_20150317_001554	$Palma Vigorosa
SKILL_20150317_001555	$Mão Cortante
SKILL_20150317_001556	$Soco Próximo
SKILL_20150317_001557	$Explosão de Energia
SKILL_20150317_001558	{memo X}Atributo de {#6644FF}{ol}[Sagrado]{/}{/}{nl}#{SkillFactor}#% + #{SkillAtkAdd}#{nl}Espalha: #{SkillSR}#{nl}Consome: #{SpendSP }# de SP
SKILL_20150317_001559	$Gerar Dissipador
SKILL_20150317_001560	$Simonia
SKILL_20150317_001561	$Intensificador de Confecção
SKILL_20150317_001562	$Loja de Feitiços
SKILL_20150317_001563	$Indulgência
SKILL_20150317_001564	$Oferenda
SKILL_20150317_001565	$Telepatia
SKILL_20150317_001566	$Planta Carnívora
SKILL_20150317_001567	$Metamorfose
SKILL_20150317_001568	$Transformação
SKILL_20150317_001569	$Sterea Trofh
SKILL_20150317_001570	$Chortasmata
SKILL_20150317_001571	$Converter em Planta
SKILL_20150317_001572	$Chamado Divino
SKILL_20150317_001573	$Energia Arcana
SKILL_20150317_001574	$Alterar
SKILL_20150317_001575	$Clarividência
SKILL_20150317_001576	$Contrafeitiço
SKILL_20150317_001577	$Previsão
SKILL_20150317_001578	{memo X}Mudar item de descarte.
SKILL_20150317_001579	{memo X}Ficar protegido e distribuir o bônus recebido para os aliados.
SKILL_20150317_001580	{memo X}Criar um círculo mágico para aumentar a DES dos aliados. Reduz a defesa do inimigo.
SKILL_20150317_001581	{memo X}Agilidade: Aumenta +#{CaptionRatio}#% {nl}Dura: #{CaptionTime}#{nl} segundos {nl}Defesa do Inimigo: -#{CaptionRatio2}#%{nl} {nl}Círculo Mágico Dura: 10 segundos {nl}Consome: #{SpendSP}# de SP
SKILL_20150317_001582	{memo X}Círculo mágico que aumenta a velocidade de movimento dos aliados.
SKILL_20150317_001583	{memo X}Velocidade de Movimento: +#{CaptionRatio}#% {nl}Velocidade: + 0,2% por nível de habilidade {nl}Dura: #{CaptionTime}# segundos{nl}Consome: #{SpendSP}# de SP
SKILL_20150317_001584	{memo X}Espalhar água benta para os aliados à frente, incluindo você. Aumenta o ataque.
SKILL_20150317_001585	{memo X}Ataque: +#{CaptionRatio}#% {nl}Aumenta em 0,4% o ataque adicional por nível de habilidade{nl}Dura: 120 segundos{nl}Consome: #{SpendSP}# de SP
SKILL_20150317_001586	{memo X}Ataque adicional poderoso contra os inimigos por perto.
SKILL_20150317_001587	{memo X}Criar HP mágico para aumentar o HP máx. dos aliados.
SKILL_20150317_001588	{memo X}Vigor Máximo:. + #{CaptionRatio}#% {nl}Dura: 90 segundos {nl}Consome: #{SpendSP}# de SP
SKILL_20150317_001589	{memo X}Os integrantes do grupo começam a ficar com febre
SKILL_20150317_001590	{memo X}Eliminar alvo espiritual
SKILL_20150317_001591	{memo X}Alcance de Repulsão: #{CaptionRatio}#, Espalha: #{SkillSR}#{nl} Consome: #{SpendSP}# SP
SKILL_20150317_001592	{memo X}Habilidade de Teste
SKILL_20150317_001593	{memo X}Usar oráculo para evitar que os monstros ataquem o jogador por alguns instantes.
SKILL_20150317_001594	{memo X}Restaurar constantemente o HP dos aliados por perto.
SKILL_20150317_001595	{memo X}Inimigos têm a chance de serem penalizados quando você é atacado.
SKILL_20150317_001596	{memo X}Reduzir a recarga de habilidade do integrante do grupo em n%
SKILL_20150317_001597	Atordoar
SKILL_20150317_001598	Não pode se mover
SKILL_20150317_001599	Medo
SKILL_20150317_001600	O ataque é inferior após falhar.
SKILL_20150317_001601	$Sangramento
SKILL_20150317_001602	$Causa dano de sangramento a cada 1,5 segundo.
SKILL_20150317_001603	Hemorragia
SKILL_20150317_001604	Causa dano de sangramento intenso.
SKILL_20150317_001605	Impulso
SKILL_20150317_001606	$Mover-se rápido por 15 segundos.
SKILL_20150317_001607	Recuperação
SKILL_20150317_001608	Recuperar 5% de HP e SP por segundo
SKILL_20150317_001609	Descoberta
SKILL_20150317_001610	Descobrir.
SKILL_20150317_001611	Descansar
SKILL_20150317_001612	$Aumenta a recuperação de HP, SP e VIG.
SKILL_20150317_001613	Segurança
SKILL_20150317_001614	Proteção.
SKILL_20150317_001615	Relaxado
SKILL_20150317_001616	Reduzir a velocidade de movimento.
SKILL_20150317_001617	Congelado
SKILL_20150317_001618	Cobrir de gelo.
SKILL_20150317_001619	Acender
SKILL_20150317_001620	Inflamação do fogo por causa do óleo.
SKILL_20150317_001621	Consequências da Ressureição
SKILL_20150317_001622	Efeito colateral por reviver. Reduz a maioria das habilidades de combate.
SKILL_20150317_001623	Aumentar Velocidade de Movimento
SKILL_20150317_001624	A velocidade de movimento é aumentada.
SKILL_20150317_001625	Onda de Choque
SKILL_20150317_001626	Fogo
SKILL_20150317_001627	Receber periodicamente dano de fogo.
SKILL_20150317_001628	Reter
SKILL_20150317_001629	Imobilizar.
SKILL_20150317_001630	Velocidade de Movimento Fixa
SKILL_20150317_001631	Escuridão
SKILL_20150317_001632	Campo de visão prejudicado.
SKILL_20150317_001633	{memo X}Bônus de OP
SKILL_20150317_001634	$Aumentar o ataque.
SKILL_20150317_001635	Veneno Mortal
SKILL_20150317_001636	Receber periodicamente dano de veneno.
SKILL_20150317_001637	Veneno Mortal Contagioso
SKILL_20150317_001638	Redução de dano. Recebe periodicamente dano de veneno. O efeito é transferido para os alvos por perto.
SKILL_20150317_001639	Evasão
SKILL_20150317_001640	Conseguir desviar.
SKILL_20150317_001641	Choque Defensivo
SKILL_20150317_001642	Ser bloqueado pelo inimigo e ficar em estado de choque. A chance do ataque inimigo ser crítico aumenta em 100%.
SKILL_20150317_001643	Petrificar
SKILL_20150317_001644	Petrificado.
SKILL_20150317_001645	Tolerância Melhorada
SKILL_20150317_001646	Reduz em 20% o dano recebido.
SKILL_20150317_001647	Chama Ardente
SKILL_20150317_001648	Persegue e explode o inimigo.
SKILL_20150317_001649	Nevasca
SKILL_20150317_001650	Resfriar
SKILL_20150317_001651	Aumenta o dano de ataque de ar frio.
SKILL_20150317_001652	Queimar
SKILL_20150317_001653	Sossegar
SKILL_20150317_001654	Se acalmar e ficar parado.
SKILL_20150317_001655	Veneno
SKILL_20150317_001656	Aumenta o ataque e reduz a defesa.
SKILL_20150317_001657	Transparente
SKILL_20150317_001658	$Efeito de Transparente.
SKILL_20150317_001659	Restaura HP a cada 3 segundos.
SKILL_20150317_001660	Reter de Monstro
SKILL_20150317_001661	Link de script de reter monstro
SKILL_20150317_001662	$Aumenta o ataque.
SKILL_20150317_001663	Reduz ataque e evasão
SKILL_20150317_001664	$SP e Vigor Aumentados
SKILL_20150317_001665	$Aumenta a quantidade de recuperação de SP e Vigor
SKILL_20150317_001666	$Reduz Defesa e Ataque.
SKILL_20150317_001667	$Fúria
SKILL_20150317_001668	$Enfurecer. Aumenta o VIG, Ataque Físico e a Velocidade de Movimento, mas reduz a INT e a Defesa Física e Mágica.
SKILL_20150317_001669	Enfeitiça o alvo.
SKILL_20150317_001670	Impossibilita a recuperação natural e reduz a defesa mágica.
SKILL_20150317_001671	Aurora da Dependência
SKILL_20150317_001672	Contamina os inimigos por perto com veneno. Limita a corrida e o uso de item.
SKILL_20150317_001673	Crescimento
SKILL_20150317_001674	Confusão
SKILL_20150317_001675	Impossível distinguir amigo de inimigo.
SKILL_20150317_001676	Perplexo
SKILL_20150317_001677	$ELEVAÇÃO de Jogador
SKILL_20150317_001678	Ao ser atacado por um inimigo, o ataque aumenta e a defesa diminui.
SKILL_20150317_001679	Congelado
SKILL_20150317_001680	Protagonista Congelado
SKILL_20150317_001681	Destruir Acampamento
SKILL_20150317_001682	Reduz a defesa.
SKILL_20150317_001683	Sucção
SKILL_20150317_001684	Reflexão
SKILL_20150317_001685	Adicionando habilidades
SKILL_20150317_001686	Sacrifício
SKILL_20150317_001687	Trocar vida
SKILL_20150317_001688	Troca HP por SP e cria um escudo de defesa de 50% MHP que dura 10 segundos.
SKILL_20150317_001689	Interromper
SKILL_20150317_001690	$Velocidade de Movimento Aumentada
SKILL_20150317_001691	$Aumenta significativamente a Velocidade de Movimento
SKILL_20150317_001692	Íon
SKILL_20150317_001693	Danifica as redondezas, menos o alvo
SKILL_20150317_001694	{memo X}Dano adicional conforme a quantidade de ataques por alvo enquanto estiver usando o bônus.
SKILL_20150317_001695	Destruir Armadura
SKILL_20150317_001696	$Reduz a defesa a 0.
SKILL_20150317_001697	${memo X}Penalidade de Dano
SKILL_20150317_001698	{memo X}Recebe dano quando o bônus termina.
SKILL_20150317_001699	Esconder personagem (para vídeo)
SKILL_20150317_001700	Capturar inimigos com Telecinese
SKILL_20150317_001701	$Capturado por Telecinese
SKILL_20150317_001702	Escudo Refletor
SKILL_20150317_001703	Refletir todos os ataques por algum tempo.
SKILL_20150317_001704	$Hora do Agito! Ataque aumentado por 5 combos
SKILL_20150317_001705	Causar Medo e Confusão
SKILL_20150317_001706	Efeito de Flecha Sibilante
SKILL_20150317_001707	Surto de Terror
SKILL_20150317_001708	Manchas de Óleo
SKILL_20150317_001709	As coisas vão se complicar se receber ataques de Fogo.
SKILL_20150317_001710	$Velocidade de Movimento aumentada.
SKILL_20150317_001711	Aura Sagrada
SKILL_20150317_001712	{memo X}Distribuir os bônus recentes aos aliados.
SKILL_20150317_001713	Névoa
SKILL_20150317_001714	Reduz a precisão.
SKILL_20150317_001715	Esconder na Caixa
SKILL_20150317_001716	Se esconder em uma caixa.
SKILL_20150317_001717	Sangramento.
SKILL_20150317_001718	Esquivar
SKILL_20150317_001719	$Reduz a velocidade de movimento.
SKILL_20150317_001720	Aumenta a FOR e INT ao matar o inimigo nessa condição
SKILL_20150317_001721	$Aumenta o ataque.
SKILL_20150317_001722	$Aumenta a defesa.
SKILL_20150317_001723	Acampamento Ursa Maior
SKILL_20150317_001724	Provocar
SKILL_20150317_001725	{memo X}O nível de ameaça aumenta durante cada ataque.
SKILL_20150317_001726	Caiu na provocação do inimigo!
SKILL_20150317_001727	Reduz a defesa.
SKILL_20150317_001728	Receber dano depois de um tempo
SKILL_20150317_001729	Receber dano de Fogo continuamente
SKILL_20150317_001730	{memo X}Aumenta os atributos dos integrantes do grupo por perto.
SKILL_20150317_001731	{memo X}Aumenta a velocidade de movimento e o HP máx. dos integrantes do grupo.
SKILL_20150317_001732	Pilar de Fogo
SKILL_20150317_001733	Ficar cego.
SKILL_20150317_001734	Infecção
SKILL_20150317_001735	Ficar contaminado.
SKILL_20150317_001736	Incapacitar Movimento
SKILL_20150317_001737	Não conseguir se mover.
SKILL_20150317_001738	Velocidade de Movimento Reduzida
SKILL_20150317_001739	Veneno de Sangramento
SKILL_20150317_001740	Receber dano físico adicional.
SKILL_20150317_001741	Neurotoxina
SKILL_20150317_001742	Receber dano mágico adicional.
SKILL_20150317_001743	Golpe Vital
SKILL_20150317_001744	Recuperar HP.
SKILL_20150317_001745	Receber dano sagrado.
SKILL_20150317_001746	Abençoar
SKILL_20150317_001747	Aumenta a condição de Ágil.
SKILL_20150317_001748	Vai reduzir a defesa.
SKILL_20150317_001749	Cura em sequência todas as condições irregulares.
SKILL_20150317_001750	Receber dano Sagrado continuamente.
SKILL_20150317_001751	Reduz a velocidade de recuperação de HP.
SKILL_20150317_001752	Batismo Sagrado
SKILL_20150317_001753	O dano causado tem atributo Sagrado.
SKILL_20150317_001754	Limitação
SKILL_20150317_001755	Aumenta temporariamente a força máxima.
SKILL_20150317_001756	Veneno
SKILL_20150317_001757	{memo X}Interrompe a duração do bônus dos aliados.
SKILL_20150317_001758	Fere os inimigos na condição de Maldição.
SKILL_20150317_001759	{memo X}Paralisado.
SKILL_20150317_001760	Luz da Vida
SKILL_20150317_001761	Condição de Dilatação.
SKILL_20150317_001762	{memo X}Reflete todos os ataques.
SKILL_20150317_001763	Velocidade de Movimento Reduzida
SKILL_20150317_001764	Aura Divina
SKILL_20150317_001765	{memo X}Aumenta as defesas física e mágica.
SKILL_20150317_001766	Seu braços cresceram...
SKILL_20150317_001767	Circular
SKILL_20150317_001768	Tudo em volta.
SKILL_20150317_001769	Ataque desativado
SKILL_20150317_001770	Recompensa
SKILL_20150317_001771	Aumenta o nível de ameaça.
SKILL_20150317_001772	Circulando
SKILL_20150317_001773	Levantar o escudo.
SKILL_20150317_001774	Aurora de HP
SKILL_20150317_001775	Melhora a recuperação de HP.
SKILL_20150317_001776	Encolher de tamanho.
SKILL_20150317_001777	Papagaio
SKILL_20150317_001778	{memo X}Ignora a evasão do inimigo, mas reduz a chance de crítico e a evasão de crítico.
SKILL_20150317_001779	Aumenta o poder de derrubar
SKILL_20150317_001780	Parar o tempo.
SKILL_20150317_001781	{memo X}Reduz a força máx. e aumenta o ataque
SKILL_20150317_001782	Aumenta o dano de ataque.
SKILL_20150317_001783	Resistência a derrubar e repulsão.
SKILL_20150317_001784	Você pode ver o inimigo escondido.
SKILL_20150317_001785	Arremessar Equipamento
SKILL_20150317_001786	O equipamento é arremessado.
SKILL_20150317_001787	Esconder equipamento de canhoto
SKILL_20150317_001788	Esconder equipamento de canhoto
SKILL_20150317_001789	Esconder equipamento de destro
SKILL_20150317_001790	Esconder equipamento de destro
SKILL_20150317_001791	O inimigo está espetado na lança.
SKILL_20150317_001792	Espetado na lança.
SKILL_20150317_001793	Reviver como zumbi se derrotado.
SKILL_20150317_001794	Reduz continuamente o HP.
SKILL_20150317_001795	Explodir os zumbis.
SKILL_20150317_001796	Aumenta o alcance e ataque.
SKILL_20150317_001797	Passo Veloz
SKILL_20150317_001798	Aumenta temporariamente a velocidade de movimento ao atacar.
SKILL_20150317_001799	Receber dano sagrado.
SKILL_20150317_001800	{memo X}Aumenta Espalhar
SKILL_20150317_001801	Reduz o consumo de HP.
SKILL_20150317_001802	Aumenta a taxa de crítico e reduz a evasão.
SKILL_20150317_001803	Ocorre uma distorção de perspectiva.
SKILL_20150317_001804	Força Divina
SKILL_20150317_001805	Aumenta temporariamente o Nível de Habilidade.
SKILL_20150317_001806	Reduz o dano de ataque da próxima habilidade usada.
SKILL_20150317_001807	Aumenta o dano de ataque da próxima habilidade usada.
SKILL_20150317_001808	Escondido.
SKILL_20150317_001809	Reduz a recarga de habilidade.
SKILL_20150317_001810	Aumenta a taxa de defesa e bloqueio.
SKILL_20150317_001811	{memo X}Cancela Sub-arma
SKILL_20150317_001812	Adormecido.
SKILL_20150317_001813	Melhora o ataque do atributo Estocada.
SKILL_20150317_001814	Reduz a defesa e evasão.
SKILL_20150317_001815	As habilidades de conjuração não serão canceladas ao invocar.
SKILL_20150317_001816	{memo X}Acelera a velocidade de invocação da próxima habilidade de conjuração.
SKILL_20150317_001817	Choque
SKILL_20150317_001818	Reduz INT e ESP.
SKILL_20150317_001819	Ataque Crítico Aumentado
SKILL_20150317_001820	Resistência Crítica Reduzida
SKILL_20150317_001821	{memo X}Bônus de Estigma Divino
SKILL_20150317_001822	Aumenta a condição.
SKILL_20150317_001823	Ao ativar restaura o HP.
SKILL_20150317_001824	Reviver ao ser derrotado.
SKILL_20150317_001825	Aumenta a velocidade de ataque.
SKILL_20150317_001826	Disparo em Movimento
SKILL_20150317_001827	Atacar enquanto se move.
SKILL_20150317_001828	Em silêncio.
SKILL_20150317_001829	Muda os atributos de INT e CON.
SKILL_20150317_001830	{memo X}Aumenta a quantidade de bônus recebidos.
SKILL_20150317_001831	Aumenta o ataque e reduz a velocidade de ataque
SKILL_20150317_001832	Explosão Gélida
SKILL_20150317_001833	Recebe dano de Propriedade.
SKILL_20150317_001834	{memo X}Aumentar a resistência a Fogo, Gelo e Elétrico.
SKILL_20150317_001835	Convertido.
SKILL_20150317_001836	Monstro do tipo demônio morre instantaneamente.
SKILL_20150317_001837	Ataque Avançado
SKILL_20150317_001838	Aumenta temporariamente o ataque
SKILL_20150317_001839	Aumento Único de Crítico
SKILL_20150317_001840	Aumenta a taxa de crítico do próximo ataque.
SKILL_20150317_001841	Aumenta a defesa
SKILL_20150317_001842	Redução de FOR 
SKILL_20150317_001843	Reduz a força
SKILL_20150317_001844	Santidade
SKILL_20150317_001845	Adiciona ataque Sagrado
SKILL_20150317_001846	Redução de defesa
SKILL_20150317_001847	Aumenta significativamente a agilidade por algum tempo
SKILL_20150317_001848	{memo X}Ataque de Espírito: Redução de Defesa
SKILL_20150317_001849	Aumenta o ataque de chama.
SKILL_20150317_001850	Aumento do ano de Perfurar
SKILL_20150317_001851	Encantar Fogo
SKILL_20150317_001852	Reduz a Resistência a Fogo.
SKILL_20150317_001853	Aumenta o dano do ataque de Fogo.
SKILL_20150317_001854	Fúria
SKILL_20150317_001855	$Aumenta o dano e custo de SP
SKILL_20150317_001856	$Nó de Forca: Espalhar
SKILL_20150317_001857	$Carregar - Evasão
SKILL_20150317_001858	$Polo de Gravidade: Redução de Defesa
SKILL_20150317_001859	Liberar da condição de envenenado.
SKILL_20150317_001860	Veneno de Dardo Venenoso
SKILL_20150317_001861	Receber dano de Veneno continuamente.
SKILL_20150317_001862	$Confunde o inimigo envenenado.
SKILL_20150317_001863	{memo X}Veneno de Gohan
SKILL_20150317_001864	{memo X}Derrubar objeto voador
SKILL_20150317_001865	Derrubar monstros voadores.
SKILL_20150317_001866	$Desequilibrado
SKILL_20150317_001867	O inimigo fica indefeso e vulnerável aos ataques de nocautear.
SKILL_20150317_001868	{memo X}O Companheiro do inimigo morde e segura. Vulnerável aos ataques de flechas.
SKILL_20150317_001869	Aumenta a defesa e reduz o ataque.
SKILL_20150317_001870	Vulnerável aos ataques de perfuração.
SKILL_20150317_001871	Tocar flauta.
SKILL_20150317_001872	Assobio... De qualquer forma, quero ir atrás
SKILL_20150317_001873	$Mirmilão 
SKILL_20150317_001874	$Trocar Postura.
SKILL_20150317_001875	$Ganhar Nível
SKILL_20150317_001876	O inimigo do companheiro está encarando. É perturbador.
SKILL_20150317_001877	$Clone Sombrio
SKILL_20150317_001878	Cabeção
SKILL_20150317_001879	{memo X}A cabeça cresceu.
SKILL_20150317_001880	Receber atributos.
SKILL_20150317_001881	Situação da transferência de condição.
SKILL_20150317_001882	$Reduz FOR, CON, INT, ESP e DES.
SKILL_20150317_001883	Armadilha
SKILL_20150317_001884	Não pode se mexer e recebe dano continuamente.
SKILL_20150317_001885	A bomba explode e causa dano ao redor.
SKILL_20150317_001886	Ataque básico contínuo.
SKILL_20150317_001887	Aumenta SP e VIG máximos
SKILL_20150317_001888	{memo X}Invalida a magia e remove a penalidade
SKILL_20150317_001889	O companheiro persegue e perturba o inimigo.
SKILL_20150317_001890	Defesa do ataque inimigo.
SKILL_20150317_001891	O companheiro procura o inimigo escondido.
SKILL_20150317_001892	Aumentar Força
SKILL_20150317_001893	Aumenta a força
SKILL_20150317_001894	Aumentar HP
SKILL_20150317_001895	Aumentar CON
SKILL_20150317_001896	Aumentar INT
SKILL_20150317_001897	Aumentar Inteligência
SKILL_20150317_001898	Aumentar DES
SKILL_20150317_001899	Aumenta a agilidade
SKILL_20150317_001900	Poder de destruição
SKILL_20150317_001901	Poder do guardião
SKILL_20150317_001902	Aumentar defesa
SKILL_20150317_001903	$Super Mario
SKILL_20150317_001904	${memo X}Bônus Super Mario
SKILL_20150317_001905	$Purificação da Deusa
SKILL_20150317_001906	Perde a habilidade de atacar
SKILL_20150317_001907	Recuperação de SP
SKILL_20150317_001908	Recuperação de SP
SKILL_20150317_001909	Recuperação de HP 
SKILL_20150317_001910	Recuperação de HP 
SKILL_20150317_001911	$Medusa
SKILL_20150317_001912	VIG não será consumido por algum tempo.
SKILL_20150317_001913	$Poder de Cafrisun
SKILL_20150317_001914	$Adiciona +12 de dano de Terra.
SKILL_20150317_001915	Aumenta a quantidade e a taxa de recuperação de HP, SP e VIG.
SKILL_20150317_001916	Recuperar HP por segundo. HP total de 500 por 5 segundos
SKILL_20150317_001917	Recuperação de HP e SP
SKILL_20150317_001918	Recuperação de HP e SP
SKILL_20150317_001919	Diminui em 50% a recarga
SKILL_20150317_001920	$Cartão de Gaigalas ativado
SKILL_20150317_001921	Receber dano continuamente.
SKILL_20150317_001922	$Cartão de Poata ativado
SKILL_20150317_001923	$Cartão de Sequoia de Melinas ativado
SKILL_20150317_001924	$Cartão de Espírito da Floresta de Zalias
SKILL_20150317_001925	$Aumenta a resistência a Terra.
SKILL_20150317_001926	$Cartão de Chafer ativado
SKILL_20150317_001927	$Cartão de Abominação ativado
SKILL_20150317_001928	$Aumenta o ataque contra monstros mutantes.
SKILL_20150317_001929	$Cartão de Espírito da Floresta ativado
SKILL_20150317_001930	$Recupera HP continuamente.
SKILL_20150317_001931	$Cartão de Magburk ativado
SKILL_20150317_001932	$Aumenta a resistência a Fogo.
SKILL_20150317_001933	$Cartão de Natimorto ativado
SKILL_20150317_001934	$Cartão de Denótico ativado
SKILL_20150317_001935	$Cartão de Mofocórnio ativado
SKILL_20150317_001936	$Cartão de Senhor dos Túmulos ativado
SKILL_20150317_001937	$Aumenta toda a Resistência.
SKILL_20150317_001938	$Cartão de Cogucaria ativado
SKILL_20150317_001939	$Cartão de Ginklas ativado
SKILL_20150317_001940	Condição de estar recebendo dano continuamente.
SKILL_20150317_001941	$Cartão de Voorta ativado
SKILL_20150317_001942	$Aumenta a Evasão.
SKILL_20150317_001943	$Cartão de Abóbora Incandescente ativado
SKILL_20150317_001944	$Aumenta o ataque contra monstros demônios.
SKILL_20150317_001945	$Cartão de Sparnas ativado
SKILL_20150317_001946	$Aumenta o dano crítico.
SKILL_20150317_001947	$Cartão de Rikaus ativado
SKILL_20150317_001948	$Recupera SP continuamente.
SKILL_20150317_001949	$Cartão de Cérbero ativado
SKILL_20150317_001950	$Aumenta o ataque de Fogo.
SKILL_20150317_001951	$Cartão de Carapaça ativado
SKILL_20150317_001952	$Cartão de Yonazolem ativado
SKILL_20150317_001953	$Aumenta o ataque de Trevas.
SKILL_20150317_001954	$Cartão de Chefe Kepa ativado
SKILL_20150317_001955	$Cartão de Ellaganos ativado
SKILL_20150317_001956	$Aumenta o ataque de Pancada, Impacto.
SKILL_20150317_001957	Resistir
SKILL_20150317_001958	Aguentar os ataques do inimigo sem cair.
SKILL_20150317_001959	$Veneno de Hidra
SKILL_20150317_001960	Pés Congelados
SKILL_20150317_001961	$Velocidade de Movimento Reduzida.
SKILL_20150317_001962	Corrupção
SKILL_20150317_001963	Rejeitar Magia
SKILL_20150317_001964	$Montar Companheiro.
