QUEST_LV_0100_20150317_000001	$Sentinela
QUEST_LV_0100_20150317_002352	{memo X}Os demônios estavam atrás dessa revelação antes mesmo que eu a fizesse. {nl} Gesti, o líder dos demônios que você conheceu, é um deles. {nl}
QUEST_LV_0100_20150317_002353	$Há dois Reis Demônios e uma Rainha Demônio com muitos Lordes Demônios para servi-los.{nl}Giltine é quem rege todos eles.{nl}
QUEST_LV_0100_20150317_002354	Todas essas catástrofes são parte do plano dela. {nl} Os desastres continuarão e o fim será a extinção da raça humana. {nl}
QUEST_LV_0100_20150317_002355	Sou uma existência fatal para eles, como posso observar. {nl}É por isso que Giltine tentará me devolver às águas do mundo. {nl}
QUEST_LV_0100_20150317_002356	Além disso, eles estenderão seus poderes malignos às deusas que forem contra a sua vontade. {nl}
QUEST_LV_0100_20150317_002357	Mas desastres estão acontecendo, exatamente como esperava. {nl}E isso quer dizer que a esperança que vi mais ao longe também virá, certamente. {nl}
QUEST_LV_0100_20150317_002358	Caro Salvador, nossa irmão Saule está perdendo sua luz. {nl} Encontre-a no fim da luz do vale colorido e você será guiado à nossa próxima revelação.
QUEST_LV_0100_20150317_002359	$Revelação da Mina de Cristal
QUEST_LV_0100_20150317_002360	Caro Salvador, {nl} para que eu possa recuperar minha aparência plena e impedir os demônios, {nl} você deve encontrar todas as revelações ocultas nos eixos de todos os tempos. {nl}
QUEST_LV_0100_20150317_002361	{memo X}$Mas só eu e você podemos salvar o mundo. {nl} Vou esperar por você nos jardins elevados.
QUEST_LV_0100_20150317_002362	$Revelação da Igreja Tenet
QUEST_LV_0100_20150317_002363	$Revelação da Floresta Kvailas
QUEST_LV_0100_20150317_002364	$Revelação do Mausoléu Real
QUEST_LV_0100_20150317_002365	$[Tutorial] Fale com Cavaleiro Titas (1)
QUEST_LV_0100_20150317_002366	$Voltar ao Cavaleiro Titas
QUEST_LV_0100_20150317_002367	{memo X}$[Tutorial] Fale com Cavaleiro Titas (2)
QUEST_LV_0100_20150317_002368	{memo X}$Oferecer ajuda para reunir soldados
QUEST_LV_0100_20150317_002369	$Recusar
QUEST_LV_0100_20150317_002370	$Falar com Batedor (1)
QUEST_LV_0100_20150317_002371	$Só estou aqui para avisar as tropas para se reunirem
QUEST_LV_0100_20150317_002372	$Fugir às pressas
QUEST_LV_0100_20150317_002373	$Falar com Batedor (2)
QUEST_LV_0100_20150317_002374	$Vou encontrar seus pertences desaparecidos
QUEST_LV_0100_20150317_002375	$Vou aguardar até você encontrar
QUEST_LV_0100_20150317_002376	{memo X}$Tecla para chegar o mapa #7
QUEST_LV_0100_20150317_002377	$Fale com Cavaleiro Titas (3)
QUEST_LV_0100_20150317_002378	$Certo
QUEST_LV_0100_20150317_002379	$Cancelar
QUEST_LV_0100_20150317_002380	$Falar com Batedor de Busca
QUEST_LV_0100_20150317_002381	$Há uma ordem para se reunir
QUEST_LV_0100_20150317_002382	$Nada. Esquece
QUEST_LV_0100_20150317_002383	{memo X}$Aviso/!/Usar pulo para desviar dos ataques do Kepa Grande!
QUEST_LV_0100_20150317_002384	$Favor de Laimonas
QUEST_LV_0100_20150317_002385	$O que acontecerá agora?
QUEST_LV_0100_20150317_002386	$Não tenho interesse
QUEST_LV_0100_20150317_002387	$Sobre as Estátuas das Deusas
QUEST_LV_0100_20150317_002388	$A Estrada para Klaipeda (1)
QUEST_LV_0100_20150317_002389	$Claro, posso fazer isso
QUEST_LV_0100_20150317_002390	$A Estrada para Klaipeda (2)
QUEST_LV_0100_20150317_002391	$Vou emprestar a você minha força
QUEST_LV_0100_20150317_002392	$Entrar em Klaipeda
QUEST_LV_0100_20150317_002393	$Falar com Comandante de Batalha (1)
QUEST_LV_0100_20150317_002394	$Vou ajudar em suas missões
QUEST_LV_0100_20150317_002395	$Vou esperar, então
QUEST_LV_0100_20150317_002396	$Sobre os monstros
QUEST_LV_0100_20150317_002397	Falar com Comandante de Batalha (2)
QUEST_LV_0100_20150317_002398	$Aceitar
QUEST_LV_0100_20150317_002399	$O Começo da Encrenca
QUEST_LV_0100_20150317_002400	$Vou tentar procurar por eles
QUEST_LV_0100_20150317_002401	$Eles devem voltar logo
QUEST_LV_0100_20150317_002402	$Algo Estranho
QUEST_LV_0100_20150317_002403	$Eu vou olhar para você
QUEST_LV_0100_20150317_002404	$O Sonho de Revelação do Bispo
QUEST_LV_0100_20150317_002405	$Cheguei com a revelação
QUEST_LV_0100_20150317_002406	$Crise no Acampamento
QUEST_LV_0100_20150317_002407	$Não vi nada assim
QUEST_LV_0100_20150317_002408	$Não é meu problema, na verdade
QUEST_LV_0100_20150317_002409	$Ameaças da Floresta Oriental
QUEST_LV_0100_20150317_002410	{memo X}$Enfatizar que é importante
QUEST_LV_0100_20150317_002411	$Vou esperar até o problema ser resolvido
QUEST_LV_0100_20150317_002412	{memo X}$Sobre a Vila dos Mineradores
QUEST_LV_0100_20150317_002413	$Favor do Sentinela (1)
QUEST_LV_0100_20150317_002414	$Vou derrotar o Chupacabra
QUEST_LV_0100_20150317_002415	$Você deveria cuidar disso
QUEST_LV_0100_20150317_002416	$O papel das Tropas de Aras
QUEST_LV_0100_20150317_002417	$Favor do Sentinela (2)
QUEST_LV_0100_20150317_002418	$Eu vou recuperar o acampamento de suprimentos
QUEST_LV_0100_20150317_002419	$Não como esperado (3)
QUEST_LV_0100_20150317_002420	$Vou derrotar o Chupacabra Cinza Gigante
QUEST_LV_0100_20150317_002421	$Não como esperado (4)
QUEST_LV_0100_20150317_002422	$Vou derrotar as Tecelãs
QUEST_LV_0100_20150317_002423	$Comissão de Aras (1)
QUEST_LV_0100_20150317_002424	$Vou encontrar algo que talvez seja uma pista dos Papouleões
QUEST_LV_0100_20150317_002425	$Vou fazer isso mais tarde
QUEST_LV_0100_20150317_002426	$Comissão de Aras (2)
QUEST_LV_0100_20150317_002427	$Vou dar uma olhada
QUEST_LV_0100_20150317_002428	$Acho que você deveria cuidar disso pessoalmente
QUEST_LV_0100_20150317_002429	$Sobre os Vubbes
QUEST_LV_0100_20150317_002430	$Comissão de Aras (3)
QUEST_LV_0100_20150317_002431	$Vou encontrar rastros do Lutador Vubbe
QUEST_LV_0100_20150317_002432	$Favor do Soldado de Suprimentos (1)
QUEST_LV_0100_20150317_002433	$Vou ajudar você a coletar Garras de Tecelãs
QUEST_LV_0100_20150317_002434	$Favor do Soldado de Suprimentos (2)
QUEST_LV_0100_20150317_002435	$Vou cuidar dos Pokubus
QUEST_LV_0100_20150317_002436	$Deixe-me derrotar o Lutador Vubbe em vez de esperar
QUEST_LV_0100_20150317_002437	$Vou esperar pelos reforços
QUEST_LV_0100_20150317_002438	$Entrar na Vila dos Mineradores
QUEST_LV_0100_20150317_002439	{memo X}$Pedir acesso à Vila dos Mineradores como prometido
QUEST_LV_0100_20150317_002440	$Dê algum tempo para eu me preparar
QUEST_LV_0100_20150317_002441	$Resgatar os Habitantes
QUEST_LV_0100_20150317_002442	{memo X}$Vou encontrar os habitantes primeiro
QUEST_LV_0100_20150317_002443	$Sair
QUEST_LV_0100_20150317_002444	{memo X}$Sobre a Área Fechada
QUEST_LV_0100_20150317_002445	Ataque do Bovino das Trevas
QUEST_LV_0100_20150317_002446	{memo X}De olhar para/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002447	Demônios da Área Fechada
QUEST_LV_0100_20150317_002448	{memo X}Buscando ao redor/ LOOK/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002449	Amigo do Maçom Pipoti
QUEST_LV_0100_20150317_002450	Vou encontrar seu colega
QUEST_LV_0100_20150317_002451	Vou voltar em breve
QUEST_LV_0100_20150317_002452	{memo X}Aviso/clique com o botão direito no mapa do tesouro, encontre o local do tesouro!
QUEST_LV_0100_20150317_002453	Mapa do Tesouro da Família do Maçom (1)
QUEST_LV_0100_20150317_002454	{memo X}Verificando/SITGROPE/2.5/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0100_20150317_002455	{memo X}Aviso/!/Jonna Jolem apareceu com a caixa de tesouro quando você verificou o local marcado.{nl}Derrote Jonna Jolem e encontre a pista para abrir a caixa!#7
QUEST_LV_0100_20150317_002456	{memo X}Aviso/A caixa de tesouro acaba de desaparecer!{nl}Clique com o botão direito do mouse no mapa para encontrar o próximo local!
QUEST_LV_0100_20150317_002457	Mapa do Tesouro da Família do Maçom (2)
QUEST_LV_0100_20150317_002458	{memo X}Verificando/SITGROPE/2/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0100_20150317_002459	{memo X}Aviso/!/Baú do tesouro apareceu novamente! {nl} Evite interferência dos monstros, verifique o interior do baú do tesouro! #7
QUEST_LV_0100_20150317_002460	{memo X}Aviso/O baú do tesouro está vazio! {nl} Clique com o botão direito no mapa e encontre a próxima área! #5
QUEST_LV_0100_20150317_002461	Mapa do Tesouro da Família do Maçom (3)
QUEST_LV_0100_20150317_002462	{memo X}Aviso/!/A caixa apareceu de novo!{nl}Por favor, verifique dentro da caixa enquanto evita ataques dos monstros!#7
QUEST_LV_0100_20150317_002463	{memo X}Aviso/A caixa está vazia!{nl}Clique com o botão direito do mouse no mapa para verificar o próximo local!
QUEST_LV_0100_20150317_002464	Mapa do Tesouro da Família do Maçom (4)
QUEST_LV_0100_20150317_002465	{memo X}Verificando/SITGROPE/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0100_20150317_002466	{memo X}Aviso/!/A caixa apareceu!{nl}Por favor, verifique dentro da caixa enquanto evita ataques dos monstros!#7
QUEST_LV_0100_20150317_002467	{memo X}Aviso/Você falhou em obter o tesouro da família dos maçons!{nl}Pipoti desapareceu, mas você o encontrará novamente no futuro!
QUEST_LV_0100_20150317_002468	Favor do Aventureiro (1)
QUEST_LV_0100_20150317_002469	Posso encontrar isso
QUEST_LV_0100_20150317_002470	{memo X}Verificando/#SITGROPESET2/3.5/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0100_20150317_002471	{memo X}Aviso/Obteve o diário de Varkis{nl}Vamos trazê-lo de volta a Varkis!
QUEST_LV_0100_20150317_002472	Favor do Aventureiro (2)
QUEST_LV_0100_20150317_002473	{memo X}Aviso/Resgate Varkis que está sendo atacado!#5
QUEST_LV_0100_20150317_002474	{memo X}Aviso/Varkis morreu. Vá ao acampamento de Varkis.#5
QUEST_LV_0100_20150317_002475	Incinere o diário do aventureiro(1)
QUEST_LV_0100_20150317_002476	{memo X}Incinerando/FIRE/2/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002477	{memo X}Copiando/SITREAD/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0100_20150317_002478	{memo X}Aviso/Está escrito que o próximo documento está escondido no meio do caminho até o Penhasco Pescoço da Cobra#5
QUEST_LV_0100_20150317_002479	Incinere o diário do aventureiro(2)
QUEST_LV_0100_20150317_002480	{memo X}Procurando pelo documento que Varkis escondeu.../#SITGROPESET2/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0100_20150317_002481	{memo X}
QUEST_LV_0100_20150317_002482	{memo X}Aviso/Está escrito que o próximo documento está escondido no Penhasco Apati#5
QUEST_LV_0100_20150317_002483	Incinere o diário do aventureiro(3)
QUEST_LV_0100_20150317_002484	{memo X}Aviso/Acalme Varkis queimando seu documento no acampamento dele.#3
QUEST_LV_0100_20150317_002485	Incinere o diário do aventureiro(4)
QUEST_LV_0100_20150317_002486	$Em sua Honra (1)
QUEST_LV_0100_20150317_002487	$Vou aceitar sua requisição
QUEST_LV_0100_20150317_002488	$Não posso agora
QUEST_LV_0100_20150317_002489	{memo X}Extraindo/#SITGROPESET2/3.5/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0100_20150317_002490	$Em sua Honra (2)
QUEST_LV_0100_20150317_002491	$Pagarei 10.000 em prata
QUEST_LV_0100_20150317_002492	$Diga a ele que é caro demais
QUEST_LV_0100_20150317_002493	$Em sua Honra (3)
QUEST_LV_0100_20150317_002494	$Eu vou lá
QUEST_LV_0100_20150317_002495	Acho melhor você fazer isso por conta própria
QUEST_LV_0100_20150317_002496	$As Chaves Dentro da Fenda Espacial
QUEST_LV_0100_20150317_002497	$Eu vou encontrar as chaves
QUEST_LV_0100_20150317_002498	Gostaria de parar
QUEST_LV_0100_20150317_002499	$Não como esperado (1)
QUEST_LV_0100_20150317_002500	Vou ajudar você a recuperar os suprimentos
QUEST_LV_0100_20150317_002501	$Parede de Cristal da Área Fechada
QUEST_LV_0100_20150317_002502	{memo X}De olhar para/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002503	{memo X}Aviso/A Parede de Cristal que bloqueia a Área Fechada está caindo! #5
QUEST_LV_0100_20150317_002504	{memo X}De volta à Floresta Siauliai
QUEST_LV_0100_20150317_002505	{memo X}Passe o relatório
QUEST_LV_0100_20150317_002506	{memo X}Diga a ele que você passará o relatório
QUEST_LV_0100_20150317_002507	{memo X}Apoie Soldado York
QUEST_LV_0100_20150317_002508	{memo X}Sugira que você vai derrotar o Siaulamb Lagoa
QUEST_LV_0100_20150317_002509	{memo X}Sobre o grande pássaro
QUEST_LV_0100_20150317_002510	{memo X}Pilhagem(1)
QUEST_LV_0100_20150317_002511	{memo X}Vou devolver os Suprimentos
QUEST_LV_0100_20150317_002512	{memo X}O medo que surgiu do céu(2)
QUEST_LV_0100_20150317_002513	{memo X}Vou derrotar o Sparnas
QUEST_LV_0100_20150317_002514	{memo X}Conjunto de folhetos/STANDSPINKLE/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0100_20150317_002515	$Arquivista Maluco (1)
QUEST_LV_0100_20150317_002516	$Vou trazer ele de volta se o encontrar
QUEST_LV_0100_20150317_002517	$Vou procurar por ele
QUEST_LV_0100_20150317_002518	$Olhos de Zachariel (2)
QUEST_LV_0100_20150317_002519	$Vou acender o farol
QUEST_LV_0100_20150317_002520	$Parece um fardo
QUEST_LV_0100_20150317_002521	$Historiador Kepeck (1)
QUEST_LV_0100_20150317_002522	$Claro, vou ajudar
QUEST_LV_0100_20150317_002523	$Truque do Historiador
QUEST_LV_0100_20150317_002524	$Agradeço o conselho, mas vou ficar bem
QUEST_LV_0100_20150317_002525	$Olhe ao redor
QUEST_LV_0100_20150317_002526	$Historiador Kepeck (3)
QUEST_LV_0100_20150317_002527	$Vou ajudar, mesmo sem saber o que é
QUEST_LV_0100_20150317_002528	$Não vim aqui pedir ajuda
QUEST_LV_0100_20150317_002529	$Uma Missão Sem Fim (1)
QUEST_LV_0100_20150317_002530	$Estranho, mas vou em seu lugar
QUEST_LV_0100_20150317_002531	$Não sou recruta iniciante
QUEST_LV_0100_20150317_002532	$Uma Missão Sem Fim (2)
QUEST_LV_0100_20150317_002533	$Se ofereça para entregar o relatório
QUEST_LV_0100_20150317_002534	$Uma Missão Sem Fim (3)
QUEST_LV_0100_20150317_002535	$Estranho, mas vou cuidar dessa tarefa
QUEST_LV_0100_20150317_002536	$Deixar claro que você não é recruta iniciante
QUEST_LV_0100_20150317_002537	$Honra Trivial (1)
QUEST_LV_0100_20150317_002538	$Vou coletar a Gordura de Patinho
QUEST_LV_0100_20150317_002539	$Não sou recruta iniciante, então vou me recusar
QUEST_LV_0100_20150317_002540	$Uma Missão Sem Fim (4)
QUEST_LV_0100_20150317_002541	$Colete couros de Lagartóxica
QUEST_LV_0100_20150317_002542	$Não sou recruta iniciante
QUEST_LV_0100_20150317_002543	$Honra Trivial (2)
QUEST_LV_0100_20150317_002544	$Vou queimar a Gordura de Patinho
QUEST_LV_0100_20150317_002545	{memo X}Preparando a lenha .../FIRE/3/TRACK_BEFORE
QUEST_LV_0100_20150317_002546	$Ajuda da Escultura de Coruja Antiga
QUEST_LV_0100_20150317_002547	$Pergunte o que fazer
QUEST_LV_0100_20150317_002548	$Ignorar Coruja
QUEST_LV_0100_20150317_002549	$Verdade e Espírito
QUEST_LV_0100_20150317_002550	$Encontrei os soldados
QUEST_LV_0100_20150317_002551	$Diga que ele não precisa saber
QUEST_LV_0100_20150317_002552	$Mais Uma Vez
QUEST_LV_0100_20150317_002553	$Ajude-o com sua preparação mental
QUEST_LV_0100_20150317_002554	$O Fim de Gaigalas
QUEST_LV_0100_20150317_002555	{memo X}Aviso/ajuda do cara azarado Gallas!/5
QUEST_LV_0100_20150317_002556	$Pesquisador Desaparecido (1)
QUEST_LV_0100_20150317_002557	Apenas vá
QUEST_LV_0100_20150317_002558	$Interferência de Negócios (1)
QUEST_LV_0100_20150317_002559	{memo X}Aceite a sugestão, já que você quer usar o bondinho
QUEST_LV_0100_20150317_002560	Apenas voltar
QUEST_LV_0100_20150317_002561	$Interferência de Negócios (2)
QUEST_LV_0100_20150317_002562	$Aceite a sugestão
QUEST_LV_0100_20150317_002563	$Sobre a barreira estranha
QUEST_LV_0100_20150317_002564	$Pesquisador Desaparecido (2)
QUEST_LV_0100_20150317_002565	$Eu vou salvar Airine
QUEST_LV_0100_20150317_002566	$Chame o mercenário
QUEST_LV_0100_20150317_002567	$Pesquisador Desaparecido (3)
QUEST_LV_0100_20150317_002568	$Avise a ela para aguentar até o dispositivo de barreira ser ativado
QUEST_LV_0100_20150317_002569	$Avise a ela que Dezic vai ajudar
QUEST_LV_0100_20150317_002570	{memo X}
QUEST_LV_0100_20150317_002571	$Desaparecimentos Preocupantes (1)
QUEST_LV_0100_20150317_002572	$Vou coletar pistas derrotando Sauga
QUEST_LV_0100_20150317_002573	$Sobre os desaparecimentos
QUEST_LV_0100_20150317_002574	$Desaparecimentos Preocupantes (2)
QUEST_LV_0100_20150317_002575	$Vou derrotar os monstros
QUEST_LV_0100_20150317_002576	$Estou indo agora
QUEST_LV_0100_20150317_002577	$Pesquisador Desaparecido (4)
QUEST_LV_0100_20150317_002578	$Prepare para proteger Airine
QUEST_LV_0100_20150317_002579	$Fuja
QUEST_LV_0100_20150317_002580	$Pesquisador Desaparecido (5)
QUEST_LV_0100_20150317_002581	$Diga adeus
QUEST_LV_0100_20150317_002582	{memo X}Diga a ele que será melhor descansar um pouco
QUEST_LV_0100_20150317_002583	$Favor do Novo Pesquisador (1)
QUEST_LV_0100_20150317_002584	$Vou encontrar isso para você
QUEST_LV_0100_20150317_002585	$Anime-se
QUEST_LV_0100_20150317_002586	$Sobre o Portão do Grande Rei
QUEST_LV_0100_20150317_002587	$Favor do Novo Pesquisador (2)
QUEST_LV_0100_20150317_002588	$Favor do Novo Pesquisador (3)
QUEST_LV_0100_20150317_002589	$Favor do Novo Pesquisador (4)
QUEST_LV_0100_20150317_002590	{memo X}Traços de Aviso/armazenamento não permanece estável #5
QUEST_LV_0100_20150317_002591	$Arquivista Maluco (2)
QUEST_LV_0100_20150317_002592	$Convença-o a voltar, já que esse lugar é perigoso demais
QUEST_LV_0100_20150317_002593	$Arquivista Maluco (3)
QUEST_LV_0100_20150317_002594	$Vou falar com Davio
QUEST_LV_0100_20150317_002595	$Diga a ele que o remédio não será útil
QUEST_LV_0100_20150317_002596	$Sobre o Arquivista Jonas
QUEST_LV_0100_20150317_002597	$Memórias Recuperadas
QUEST_LV_0100_20150317_002598	$Vou seguir você
QUEST_LV_0100_20150317_002599	$Meu trabalho terminou, então vou voltar agora
QUEST_LV_0100_20150317_002600	Preocupação de Gorath (2)
QUEST_LV_0100_20150317_002601	Diga a ele que Molich não estava lá
QUEST_LV_0100_20150317_002602	Ignore, já que você está com medo
QUEST_LV_0100_20150317_002603	$Olhos de Zachariel (1)
QUEST_LV_0100_20150317_002604	$Tenho as qualificações
QUEST_LV_0100_20150317_002605	$Não vou precisar
QUEST_LV_0100_20150317_002606	Sobre os tesouros secretos do Grande Rei
QUEST_LV_0100_20150317_002607	$Remédio de Jonas (2)
QUEST_LV_0100_20150317_002608	$Vou trazer o Meto do Cânion para você
QUEST_LV_0100_20150317_002609	$Vou pegar isso mais tarde
QUEST_LV_0100_20150317_002610	$Remédio de Jonas (1)
QUEST_LV_0100_20150317_002611	$Vou trazer o ouro
QUEST_LV_0100_20150317_002612	$Não tenho razão para dar isso a ele
QUEST_LV_0100_20150317_002613	Sobre a Condição de Jonas
QUEST_LV_0100_20150317_002614	$Remédio de Jonas (3)
QUEST_LV_0100_20150317_002615	$Vou falar com Jonas
QUEST_LV_0100_20150317_002616	$Vou trazer isso mais tarde
QUEST_LV_0100_20150317_002617	$Historiador Kepeck (2)
QUEST_LV_0100_20150317_002618	$Vou trazer os suprimentos de volta
QUEST_LV_0100_20150317_002619	$Diga a ela para descansar e procurar por eles com calma
QUEST_LV_0100_20150317_002620	$Purifique os Gases Tóxicos no 1o andar
QUEST_LV_0100_20150317_002621	$Pergunte como consertar o filtro
QUEST_LV_0100_20150317_002622	$Isso parece difícil
QUEST_LV_0100_20150317_002623	{memo X}$Sobre os monstros na mina
QUEST_LV_0100_20150317_002624	{memo X}Filtro incompleto (1)
QUEST_LV_0100_20150317_002625	{memo X}Verificando Filtro/HANDLING_LEFT/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002626	{memo X}Aviso/Algumas partes do filtro estão faltando. {nl} Procurar por partes no chão! #5
QUEST_LV_0100_20150317_002627	{memo X}Da montagem dos componentes/GROPE/2/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002628	{memo X}Aviso/Algumas partes ainda estão faltando. {nl} Encontre as partes que faltam nos Vubbes com interrogações sobre suas cabeças. #5
QUEST_LV_0100_20150317_002629	$Filtro Incompleto
QUEST_LV_0100_20150317_002630	{memo X}Aviso/!/Algumas partes do Filtro estão faltando. {nl} Encontre as partes no Vubbe com interrogação sobre sua cabeça. #5
QUEST_LV_0100_20150317_002631	{memo X}Consertando Filtro/HANDLING_LEFT/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002632	{memo X}Aviso/Reparo terminado. {nl}Filtro da Entrada foi ativado novamente. #5
QUEST_LV_0100_20150317_002633	{memo X}Pedaços de filtro espalhados no chão
QUEST_LV_0100_20150317_002634	$Purifique os Gases Tóxicos no 2o andar
QUEST_LV_0100_20150317_002635	{memo X}Aviso/Todos os filtros foram consertados. {nl}Vá à 3a Galeria e fale com Vaidotas. #5
QUEST_LV_0100_20150317_002636	$Conserte o Filtro Central (1)
QUEST_LV_0100_20150317_002637	{memo X}Abrindo a válvula/HANDLING_LEFT/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002638	{memo X}Aviso/Dispositivo vital parece estar quebrado ou perdido. {nl} Encontre as peças a serem consertadas usando a bússola da mina! #5
QUEST_LV_0100_20150317_002639	$Conserte o Filtro Central (2)
QUEST_LV_0100_20150317_002640	{memo X}Aviso/Bússola de Mineração está apontando para as quatro zonas. Vá para {nl} 4 zonas: Procurando peças de reserva. #5
QUEST_LV_0100_20150317_002641	{memo X}Aviso/Mate o Bearkaras que apareceu na frente do filtro reserva! #5
QUEST_LV_0100_20150317_002642	{memo X}Das peças de reposição/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002643	{memo X}Aviso/Consertou o Filtro Central com sucesso! {nl} O Filtro está funcionando agora. #5
QUEST_LV_0100_20150317_002644	$Ataque de Ciclope na Mina de Cristal
QUEST_LV_0100_20150317_002645	{memo X}De olhar para/MAKING/2/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002646	$Ative o Filtro de Passagem (1)
QUEST_LV_0100_20150317_002647	{memo X}Aviso/Peças importantes parecem ter desaparecido. {nl} Encontre as peças usando a bússola da mina! #5
QUEST_LV_0100_20150317_002648	{memo X}Aviso/Bússola da mina está apontando para a 6a zona.{nl}Vá para a 6a zona e procure as peças!#5
QUEST_LV_0100_20150317_002649	$Ative o Filtro de Passagem (2)
QUEST_LV_0100_20150317_002650	{memo X}Aviso/Bússola da mina está apontando para o Distrito 6. {nl} Vá ao Distrito 6 e encontre as peças! #5
QUEST_LV_0100_20150317_002651	{memo X}Aviso/!/Bússola está apontando para o Espectro Monarca. {nl} Mate o Espectro Monarca e recupere sua peça. #5
QUEST_LV_0100_20150317_002652	{memo X}Aviso/!/Encontrei as peças! {nl}Devolver o filtro de passagem e consertá-lo #5
QUEST_LV_0100_20150317_002653	$Ative o Filtro de Passagem (3)
QUEST_LV_0100_20150317_002654	{memo X}Aviso/Consertou o Filtro de Passagem com sucesso! {nl} O filtro está funcionando agora. #5
QUEST_LV_0100_20150317_002655	$Problemas com Filtro de Circulação (1)
QUEST_LV_0100_20150317_002656	{memo X}Verificando Filtro/LOOK/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002657	{memo X}Aviso/Parece haver um problema no Cano do Filtro. {nl} Verifique o Cano do Filtro no 3o Distrito! #5
QUEST_LV_0100_20150317_002658	{memo X}Verificando Cano do Filtro/LOOK/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002659	{memo X}Aviso/!/Abriu a válvula. {nl} Voltar ao filtro de circulação. #5
QUEST_LV_0100_20150317_002660	{memo X}Filtro funcionando/HANDLING_LEFT/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002661	{memo X}Aviso/!/Filtro de Circulação ainda não está funcionando! Verifique o Cano do Filtro no 2o Distrito #5
QUEST_LV_0100_20150317_002662	$Problemas com Filtro de Circulação (2)
QUEST_LV_0100_20150317_002663	{memo X}Aviso/Derrote Carapaça que bloqueia o caminho para o filtro! #5
QUEST_LV_0100_20150317_002664	$Problemas com Filtro de Circulação (3)
QUEST_LV_0100_20150317_002665	{memo X}Aviso/Você se livrou do Carapaça. {nl} Verifique o Cano do Filtro no 2o Distrito #5
QUEST_LV_0100_20150317_002666	{memo X}Verificando Cano do Filtro/TATEAR/3/TRILHA_ANTERIOR/Nenhuma
QUEST_LV_0100_20150317_002667	{memo X}Aviso/Abriu a válvula do filtro. {nl} Volte ao filtro de circulação e ative-o novamente. #5
QUEST_LV_0100_20150317_002668	{memo X}Operando o filtro/HANDLING_LEFT/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002669	{memo X}Aviso/filtro de circulação está começando a ser ativado.
QUEST_LV_0100_20150317_002670	$Filtro Auxiliar Inoperante (1)
QUEST_LV_0100_20150317_002671	{memo X}Verificando Filtro/LOOK/3/TRACK_BEFORE/Nonev
QUEST_LV_0100_20150317_002672	{memo X}Aviso/Fonte de energia não funciona corretamente. {nl} Tente a bússola da mina. #5
QUEST_LV_0100_20150317_002673	{memo X}Aviso/Bússola da mina está apontando para o Distrito 4. {nl}Verifique dispositivo de suprimento de feitiço no Distrito 4. #5
QUEST_LV_0100_20150317_002674	$Filtro Auxiliar Inoperante (2)
QUEST_LV_0100_20150317_002675	{memo X}De olhar para/LOOK_SIT/3/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002676	{memo X}Aviso/O dispositivo está enferrujado e não funciona. {nl}Use a bússola para encontrar uma maneira de remover a ferrugem. #5
QUEST_LV_0100_20150317_002677	$Filtro Auxiliar Inoperante (3)
QUEST_LV_0100_20150317_002678	{memo X}Aviso/Bússola de Mineração ainda aponta para o Distrito 4. {nl}Passeie pelo Distrito 4 para encontrar uma maneira de remover a ferrugem. #5
QUEST_LV_0100_20150317_002679	{memo X}Você está engraxado/SITREAD/2/TRACK_BEFORE/None
QUEST_LV_0100_20150317_002680	{memo X}Aviso/Dispositivo de suprimento de feitiço foi consertado. {nl} Tente ativar o segundo filtro. #5
QUEST_LV_0100_20150317_002681	$Filtro Auxiliar Inoperante (4)
QUEST_LV_0100_20150317_002682	{memo X}Aviso/Filtro secundário está funcionando novamente. #5
QUEST_LV_0100_20150317_002683	$Destruidor do Filtro Principal (1)
QUEST_LV_0100_20150317_002684	{memo X}Aviso/Algumas partes do filtro parecem ter desaparecido. {nl} Encontre as peças usando a bússola da mina. #5
QUEST_LV_0100_20150317_002685	{memo X}Aviso/Bússola de Mineração está apontando para as seis áreas. {nl} 6 Tente procurar peças na área. #5
