QUEST_LV_0100_20150317_000001	Sentinela
QUEST_LV_0100_20150317_002057	A energia maligna está ficando mais forte e os Fiéis estão ficando cansados. É uma situação ruim.
QUEST_LV_0100_20150317_002058	Obrigado.{nl}Eu me pergunto o que teria acontecido se você não estivesse aqui.
QUEST_LV_0100_20150317_002059	Como os Merog Shamans estão realizando seus rituais, você pode ter uma chance de agir.{nl}Você consegue dar conta deles?
QUEST_LV_0100_20150317_002060	Obrigado pela sua ajuda.{nl}Agora, os demônios não poderão agir tão livremente.
QUEST_LV_0100_20150317_002061	Eu não sabia que demônios podiam usar cristais de invocação.{nl}Eles podem nos sobrepujar.
QUEST_LV_0100_20150317_002062	Eu quero pesquisar sobre aquele círculo de invocação de demônio exalando energia maligna e invocar demônios. {nl} Preciso que você o destrua, mas cuidado para não arruinar quaisquer amostrar preciosas.
QUEST_LV_0100_20150317_002063	Devíamos ser capazes de encontrar um jeito de usá-los.{nl}Esses demônios usaram nosso altar, então podemos usar o deles também.
QUEST_LV_0100_20150317_002064	Fiel Onute
QUEST_LV_0100_20150317_002065	Eles estão esperando o Archon ser invocado.{nl}Vão ficar assustados se você destruir os círculos de invocação junto com o Archon.
QUEST_LV_0100_20150317_002066	Obrigado.{nl}Agora, eles não serão mais capazes de nos atacar com tanta facilidade.{nl}
QUEST_LV_0100_20150317_002067	Obrigado.{nl}Os Fiéis estão distribuídos em suas áreas, então encontre-os e ajude-os.
QUEST_LV_0100_20150317_002068	Se você não tem nada para fazer aqui, então seria melhor deixar esse lugar assim que possível.{nl}Não é nada bom ficar aqui se você é uma pessoa que não sabe purificar.
QUEST_LV_0100_20150317_002069	Talvez esta floresta se tornou a origem da energia maligna na Fallen Worry Forest.{nl}Torço para que eu esteja exagerando.
QUEST_LV_0100_20150317_002070	A Deusa Saule não iria querer energia maligna se espalhando para outras florestas. {nl} Portanto, aqui estamos.
QUEST_LV_0100_20150317_002071	Me deixa irado, ver esses demônios sujos andando por aí livremente.
QUEST_LV_0100_20150317_002072	Eu desisti muito tempo atrás, já que não vejo fim na energia maligna.{nl}Eu só vejo isso como sendo meu destino.
QUEST_LV_0100_20150317_002073	Agora, só precisamos descobrir o plano dos Merogs.{nl}Enquanto isso, derrote aqueles Shamans.
QUEST_LV_0100_20150317_002074	A Deusa Saule disse para absolutamente não falar da nossa presença. {nl} Ela disse que confundiria de forma insensata o mundo exterior.
QUEST_LV_0100_20150317_002075	Isso é tudo culpa minha. Não deveria ter subestimado isso.
QUEST_LV_0100_20150317_002076	Isto só irá terminar quando a origem desta energia {nl}for removida de vez da Fallen Worry Forest.{nl}É frustante ver que todos não percebem isso.
QUEST_LV_0100_20150317_002077	Estou de boa com a amostra, então só a quebre para que não seja ativada.{nl}Vou dar uma olhada em mim mesmo.
QUEST_LV_0100_20150317_002078	Eu fico bravo toda vez que entro na Thorn Forest.{nl}Como coisas tão sujas puderam acontecer com a floresta sagrada da Deusa?
QUEST_LV_0100_20150317_002079	Me ajude. Merogs estão me perseguindo.{nl}Quando estão agrupados assim, não consigo enfrentar eles.
QUEST_LV_0100_20150317_002080	Muito bem. {nl} Chegou a hora de destruir as raízes do Bramble.
QUEST_LV_0100_20150317_002081	Fiel Samantha
QUEST_LV_0100_20150317_002082	Toda vez que tento purificar o Thornbush Rest Place, aqueles monstros atacam.{nl}Há alguma maneira de evitá-los?
QUEST_LV_0100_20150317_002083	Monstros estão ficando mais violentos à medida que se aprofundam na floresta de espinhos.{nl}Talvez seja por causa da energia maligna.
QUEST_LV_0100_20150317_002084	Agora, posso relaxar e purificar o Thornbush Rest Place.{nl}Muito obrigada.
QUEST_LV_0100_20150317_002085	Acho que posso contar com você.{nl}Por favor, proteja o altar até que a fonte seja purificada.
QUEST_LV_0100_20150317_002086	Coloque saliva de Merog nessa poção e misture bem. {nl} Isso ajudará você a resistir à energia lamacenta do Bramble.
QUEST_LV_0100_20150317_002087	Bramble está se recuperando mergulhando suas raízes ao redor da Thorn Forest. {nl} Cortar essas raízes vai feri-lo.
QUEST_LV_0100_20150317_002088	Você não deve baixar sua guarda, mesmo que Bramble esteja enfraquecido. {nl}Afinal de contas, é um Demon Lord, não importa quão ferido esteja.
QUEST_LV_0100_20150317_002089	Agora, podemos conduzir um ataque de larga escala contra Bramble. {nl} Vou seguir até o Giliaii Courtyard para ficar de olho nele, venha comigo.
QUEST_LV_0100_20150317_002090	As raízes mais importantes estão nas Sviesa Hill Areas e no Tankinta Vacant Lot. {nl} Corte ambas.
QUEST_LV_0100_20150317_002091	Mesmo depois da energia perversa ser removida, essa floresta permanecerá como está.{nl}Mas algum dia isso também acabará.
QUEST_LV_0100_20150317_002092	Fiel Kazis
QUEST_LV_0100_20150317_002093	Honeypin está escondido em Karadas Path, mas não consigo encontrá-lo. {nl}O trabalho de purificação está atrasado por causa desse monstro.
QUEST_LV_0100_20150317_002094	Você só precisa ativar o altar de purificação.{nl}Faça isso sem alertar Honeypin.
QUEST_LV_0100_20150317_002095	Você se machucou?{nl}Eu ouvi o som das teias de Honeypin, mas estou aliviado em saber que você está bem.
QUEST_LV_0100_20150317_002096	Bramble e a Revelação estão nas profundezas do Giliaii Courtyard. {nl} Deve ser agonizante, já que as raízes para curar as cicatrizes foram todas cortadas.
QUEST_LV_0100_20150317_002097	Não se esqueça de usar o estimulante sempre que respirar a energia maligna. {nl} Que a bênção da Deusa Saule esteja com você.
QUEST_LV_0100_20150317_002098	Não se esqueça de usar o estimulante sempre que respirar a energia maligna. {nl} Que a bênção da Deusa Saule esteja com você.
QUEST_LV_0100_20150317_002099	Se você sentir que está em perigo, corra imediatamente.{nl}O lugar é mais perigoso devido à energia maligna.
QUEST_LV_0100_20150317_002100	Esta é a pior parte da Fallen Worry Forest.{nl}Não só pela concentração da energia maligna, {nl}mas também porque sua segurança está sempre em risco.
QUEST_LV_0100_20150317_002101	Não tenho medo de morrer.{nl}A Deusa Saule me guiará bem.
QUEST_LV_0100_20150317_002102	Achat é o fiel Guardião do Royal Mausoleum.{nl}Mas uma vez corrompido, jamais voltará ao seu estado original.
QUEST_LV_0100_20150317_002103	Túmulo Quebrado do Royal Mausoleum
QUEST_LV_0100_20150317_002104	Guardião Shnayim.{nl}Derrote o intruso que perturba o descanso do Grande Rei Zachariel.
QUEST_LV_0100_20150317_002105	Túmulo do Royal Mausoleum
QUEST_LV_0100_20150317_002106	Os Guardiões causarão perturbações quando a magia que flui no Royal Mausoleum for interrompida.
QUEST_LV_0100_20150317_002107	Guardião do Royal Mausoleum
QUEST_LV_0100_20150317_002108	Uma vez corrompido, o Guardião jamais volta à sua forma original.{nl}Apenas com o sono eterno poderá o Guardião descansar em paz.
QUEST_LV_0100_20150317_002109	Guardião Arruinado do Royal Mausoleum
QUEST_LV_0100_20150317_002110	Qualquer um que perturbe o descanso do Rei encontrará seu fim aqui.
QUEST_LV_0100_20150317_002111	Eu preferia escolher ser destruído pelo Revelador a ser corrompido pelo mal.
QUEST_LV_0100_20150317_002112	O nome do Revelador se foi, e apenas nomes de demônios permanecem.{nl}Você deveria se proteger.
QUEST_LV_0100_20150317_002113	Eu mantenho meus olhos no Bramble depois de receber a ordem da Deusa Saule.{nl}Ele é a fonte de todo os seres malignos nessa floresta.
QUEST_LV_0100_20150317_002114	Foi uma verdadeira honra conhecer você.{nl}Pelo seu futuro, rezarei para a Deusa Saule.
QUEST_LV_0100_20150317_002115	Não perturbe o descanso de Zachariel.
QUEST_LV_0100_20150317_002116	Eu disse que existe um jeito que bloquear esse demônios em Fedimian.{nl}Vou completar a Jewel of Prominence aqui e ajudar a Deusa Gabija.{nl}
QUEST_LV_0100_20150317_002117	Espero que a Deusa permaneça firme até lá.
QUEST_LV_0100_20150317_002118	Muito bem.{nl}Mas isso é apenas uma pedra vazia.{nl}Você pode completá-la concedendo poderes com vários ingredientes.
QUEST_LV_0100_20150317_002119	Vou encher a Jewel of Prominence com Flame Vapor.{nl}Tem um Flame Vapor com magia na Reading Room.
QUEST_LV_0100_20150317_002120	Você terá de procurar com atenção.{nl}O Flame Vapor não é claramente visível.
QUEST_LV_0100_20150317_002121	Isso é suficiente. Muito bem.
QUEST_LV_0100_20150317_002122	Agora, temos de imbuir a Essence of Flame na joia, mas é complicado.{nl}
QUEST_LV_0100_20150317_002123	Primeiro, libere o Flame Vapor da Jewel of Prominence.{nl}Então, o Flame Vapor coletará a Essence of Flame que está flutuando no ar.{nl}Você apenas terá de encher o jarro com isso. Ok?
QUEST_LV_0100_20150317_002124	Não se preocupe. Não explodirei nem vou machucar você.
QUEST_LV_0100_20150317_002125	Ufa... {nl}Quase completamos a Jewel of Prominence!
QUEST_LV_0100_20150317_002126	Coletarei as fontes da chama no último pote.{nl}Você pode obtê-las do monstro que tem o poder do fogo.
QUEST_LV_0100_20150317_002127	Gabija recuperará sua energia se pudermos completar a Jewel of Prominence.
QUEST_LV_0100_20150317_002128	Muito bem!{nl}Agora, só temos de combinar a chama com a joia.
QUEST_LV_0100_20150317_002129	Vamos completar a máquina de fusão.{nl}Só precisamos colocar todos os materiais dentro dela e a joia ficará pronta quando ativarmos o dispositivo.
QUEST_LV_0100_20150317_002130	Vamos conseguir...
QUEST_LV_0100_20150317_002131	Então, essa é a Jewel of Prominence... Consigo sentir sua energia incrível.{nl}Rápido, vamos dar isso para Gabija. Tem escadas para subir lá no lado direito.
QUEST_LV_0100_20150317_002132	Para encontrar a Jewel of Prominence é só usar esse detector.{nl}Quando você usar esse detector perto do local onde a joia está, a joia aparecerá.
QUEST_LV_0100_20150317_002133	O portal que você tentou abrir é o portão das mentiras.{nl}Os habitantes aqui são ilusões do Demon Lord Bramble.
QUEST_LV_0100_20150317_002134	É constrangedor, mas também fui enganado e capturado, o que me fez perder minha força. {nl} Por favor, destrua os círculos mágicos que me aprisionam.
QUEST_LV_0100_20150317_002135	Círculos mágicos de aprisionamento em Drugys Courtyard e Vapsva Vacant Lot. {nl}Por favor, se apresse.
QUEST_LV_0100_20150317_002136	Obrigada por me salvar. {nl}
QUEST_LV_0100_20150317_002137	Sou Saule, a Deusa do Sol. {nl} Tudo está ocorrendo exatamente como Laima previu.
QUEST_LV_0100_20150317_002138	Obrigada. Mas essa não é a única barreira me aprisionando aqui. {nl} Precisamos encontrar o inspetor Clymen que se esconde no espaço entre as dimensões.
QUEST_LV_0100_20150317_002139	Por favor, traga-me as ferramentas de sacrifício do Grand Corridor. {nl} Tentarei usar o poder divino que reside na ferramenta.
QUEST_LV_0100_20150317_002140	Obrigado. {nl} Todo esse poder divino deve ser suficiente.
QUEST_LV_0100_20150317_002141	Vou focar agora em localizar o Clymen.{nl}Adoraria que você pudesse sufocar um pouco esta energia maligna, derrotando os alguns dos demônios.
QUEST_LV_0100_20150317_002142	Só mais um pouco. Por favor, suprima essa energia maligna.
QUEST_LV_0100_20150317_002143	Eu sinto a presença do Clymen na Ishpirki Access Road.{nl}Vá logo atrás dele!{nl}
QUEST_LV_0100_20150317_002144	Essa é a chave. {nl} Por favor, me liberte.
QUEST_LV_0100_20150317_002145	Agradeço em nome de Saule, Deusa do Sol. {nl}
QUEST_LV_0100_20150317_002146	É uma pena, mas a Revelação está nas mãos de Bramble. {nl}O motivo pelo qual me aprisionou em vez de me matar é que ele quer usar minha divindade para interpretar a Revelação. {nl}
QUEST_LV_0100_20150317_002147	Mas Bramble também não está em sua condição normal devido à batalha anterior. {nl} Por favor, impeça Bramble com a ajuda dos meus Fiéis e recupere a Revelação.
QUEST_LV_0100_20150317_002148	Por favor, me mostre a Revelação. {nl} Vou mostrar seu significado.
QUEST_LV_0100_20150317_002149	Se qualquer poder divino ainda estiver contido nas Offering Tools do templo, então certamente poderemos usá-las para encontrar Clymen. {nl}
QUEST_LV_0100_20150317_002150	Lyliana
QUEST_LV_0100_20150317_002151	Eu queria poder ver minha família, que mora em Indigo Tree Plateu. {nl}Eu... eu também queria pedir desculpas ao meu irmão pela discussão que tivemos.
QUEST_LV_0100_20150317_002152	Eu realmente quero saber como minha família está, mas estou com medo que os monstros voltem. {nl} Eu só saí correndo da casa e me arrependo muito.
QUEST_LV_0100_20150317_002153	Me lembro de cantar com meu irmão enquanto molhávamos nossos pés no riacho do Indigo Tree Plateau.
QUEST_LV_0100_20150317_002154	Me sinto mal por causa do meu irmão.
QUEST_LV_0100_20150317_002155	Senhor de Andale Village
QUEST_LV_0100_20150317_002156	Deus está protegendo nossa vila, então temos água e ar limpos. E não há desastres aqui.
QUEST_LV_0100_20150317_002157	Então, finalmente o Revelador está entre nós.{nl}Alguém com saúde em quem podemos confiar. Acho que podemos fazer isso dessa vez.
QUEST_LV_0100_20150317_002158	Você não é o Revelador? {nl} Então, o que o traz à nossa vila? {nl}
QUEST_LV_0100_20150317_002159	Deusa Saule? {nl} Não vemos ela faz muito tempo. {nl}
QUEST_LV_0100_20150317_002160	A razão é que o portal que leva à Deusa Saule não abre. {nl}Eu acho que é porque a Holy Pond foi corrompida.
QUEST_LV_0100_20150317_002161	Os Tanus, em Zvelgian Vacant Lot, carregam Purifying Stones. {nl} Elas serão capazes de purificar a Holy Pond.
QUEST_LV_0100_20150317_002162	Assim como há muitos demônios, o mesmo vale para as Deusas. {nl} As cinco Deusas são apenas as que são muito conhecidas.
QUEST_LV_0100_20150317_002163	Nossa vila serve à Deusa Saule, que cuida do sol. {nl}Costumávamos visitar ela constantemente usando o portal, mas um dia o portal se fechou.
QUEST_LV_0100_20150317_002164	Eu esculpi as corujas por muito tempo.{nl}Em um determinado momento, elas ganharam vida e determinação.{nl}
QUEST_LV_0100_20150317_002165	Quando ganhei consciência, algumas centenas de anos haviam passado.
QUEST_LV_0100_20150317_002166	Entalhadores deviam tomar cuidado para não exagerar suas habilidades. Eles deviam ser humildes.
QUEST_LV_0100_20150317_002167	É um sinal de que você, o Revelador, veio aqui.{nl}Esperamos muito tempo por sua chegada.
QUEST_LV_0100_20150317_002168	Por favor, venha à nossa vila.{nl}Os habitantes vão ficar felizes em ver você.{nl}Com certeza.
QUEST_LV_0100_20150317_002169	O fato de podermos nos encontrar foi possível devido à orientação da Deusa.
QUEST_LV_0100_20150317_002170	Por favor, evite pensar em sofrimento. Todos recebemos uma benção.
QUEST_LV_0100_20150317_002171	Confie na Deusa.{nl}Podemos estar juntos na árvore.
QUEST_LV_0100_20150317_002172	Seremos salvos através da nossa união.{nl}A Deusa nos disse para fazer isso.
QUEST_LV_0100_20150317_002173	Ainda não?{nl}Onde está a garota?
QUEST_LV_0100_20150317_002174	Não posso usar meu poder, já que fui enganado pelo truque do demônio.{nl}Encontre meu poder para guiar você até a Revelação.
QUEST_LV_0100_20150317_002175	Aquele portal é um portão para mentiras.{nl}Laima trouxe você até mim por causa disso.
QUEST_LV_0100_20150317_002176	O Demon Lord Bramble jamais pode ser perdoado.
QUEST_LV_0100_20150317_002177	O Bramble deve estar recuperando seu poder neste exato momento.{nl}Por favor, vá falar com os Fiéis em Gate Route.
QUEST_LV_0100_20150317_002178	Tome cuidado com os truques do Beholder na Gate Route.
QUEST_LV_0100_20150317_002179	Vou ficar aqui e recuperar minha energia perdida.{nl}Não quero criar caos nesse mundo, então, por favor, não revele minha existência a ninguém.
QUEST_LV_0100_20150317_002180	O Mausoléu ao qual deve ir só pode ser alcançado através do portal que eu abri para você.{nl}Que a Deusa te abençoe.
QUEST_LV_0100_20150317_002181	Parece que a chuva não vai parar. Na verdade, raramente para.{nl}Você acha que isso é resultado da energia maligna?
QUEST_LV_0100_20150317_002182	Essas thorny vines continuam crescendo mesmo depois de cortadas.{nl}Mas é melhor que deixá-las.
QUEST_LV_0100_20150317_002183	Mesmo que Bramble desapareça, acho que as coisas ficarão assim por um tempo.{nl}Toda a floresta está coberta de thorny vines. E são enormes.
QUEST_LV_0100_20150317_002184	Você parece querer merecer sua reputação. {nl} As pessoas na nossa vila são covardes, esperando que a Deusa cuide de tudo.
QUEST_LV_0100_20150317_002185	Falando nisso, você viu um jovem da nossa vila? {nl} Eu falei para ele ir checar se o portal está funcionando, mas eu não falei mais com ele desde então.
QUEST_LV_0100_20150317_002186	Obrigado. {nl} O portal está no Nugria Sanctum.
QUEST_LV_0100_20150317_002187	Habitante Ferido
QUEST_LV_0100_20150317_002188	Obrigada por me salvar.
QUEST_LV_0100_20150317_002189	Então, você é o Revelador que o chefe mencionou. {nl} Estou bem, por favor, vá verificar o portal no sacrário.
QUEST_LV_0100_20150317_002190	O portal pode ser aberto do altar em Nugria Sanctum.
QUEST_LV_0100_20150317_002191	Não funciona? {nl} Bem, isso vai ser um problemão. {nl}
QUEST_LV_0100_20150317_002192	Você poderia informar o ancião de Rhombuspaving Dale além de mim?{nl}É próximo daqui, subindo pela esquerda.
QUEST_LV_0100_20150317_002193	Aquele portal é... uma fantasia... Não. Um portal que leva à Deusa Saule. {nl} De qualquer forma, abrir o portal é muito importante.
QUEST_LV_0100_20150317_002194	Meus ferimentos não são tão graves, então não se preocupe. Por favor, verifique o portal no sacrário antes.
QUEST_LV_0100_20150317_002195	Vou poder me mover de novo, se descansar um pouco.{nl}Mas antes, o portal...
QUEST_LV_0100_20150317_002196	Ah, então você é o Revelador!{nl}É uma honra para nós.
QUEST_LV_0100_20150317_002197	Monstros estão tentando nos atacar, mas não podemos interromper o processo de purificação.{nl}Saule nos instruiu a fazer isso.
QUEST_LV_0100_20150317_002198	As raízes mais importandes devem estar em algum lugar na Fallen Worry Forest, {nl}mas acho que já arriscamos muito andando pela floresta.{nl}Poderíamos estancar o crescimento dessa floresta se cortarmos estas raízes.
QUEST_LV_0100_20150317_002199	Queremos viver em paz servindo Saule.
QUEST_LV_0100_20150317_002200	Estátua de Pedra do Guardião do Royal Mausoleum
QUEST_LV_0100_20150317_002201	As regras do Royal Mausoleum estão sendo arruinadas pelas forças do mal.
QUEST_LV_0100_20150317_002202	Estátua de Pedra do Guardião
QUEST_LV_0100_20150317_002203	Nossa missão é proteger o Grande Rei Zachariel em seu descanso.{nl}Derrotaremos qualquer um que perturbe o descanso do Grande Rei Zachariel.
QUEST_LV_0100_20150317_002204	Destruiremos qualquer intruso no Royal Mausoleum.
QUEST_LV_0100_20150317_002205	Nossa missão é proteger o Grande Rei Zachariel em seu descanso.{nl}Derrotaremos qualquer um que perturbe o descanso do Grande Rei Zachariel.
QUEST_LV_0100_20150317_002206	Wheelen! Ah, meus fiéis Guardiões...{nl}Se o escolhido vier aqui, faça seu melhor para lhe dar a arma de arenito.{nl}A lança que quebrará a armadura do mal.
QUEST_LV_0100_20150317_002207	Venucelos são corajosos e leais.{nl}Mas se sua lealdade está com os inimigos, eles não têm nenhum valor.{nl}Os cães que não protegem o Royal Mausoleum perderão a coleira que carrega o nome do rei.
QUEST_LV_0100_20150317_002208	Demonstração de Força! Não soa incrível...? {nl}Criar os guardiões gigantescos foi o que mais satisfez o Grande Rei Zachariel. {nl}Apenas aqueles que derrotam os guardiões podem adquirir os tesouros reais foram escondidos dentro deles.
QUEST_LV_0100_20150317_002209	Estátua de Pedra do Guardião
QUEST_LV_0100_20150317_002210	Ouça cuidadosamente de olhos fechados.{nl}A natureza continua cantando as canções das vidas para nós.
QUEST_LV_0100_20150317_002211	Negociando entre a vida e morte de humanos. {nl} É isso que o Bokor é, se você perguntar.
QUEST_LV_0100_20150317_002212	Você não parece um entregador. Que foi?{nl}
QUEST_LV_0100_20150317_002213	Não há cabeça de uma Long-Branched Tree aqui. Devo pegar para eles?
QUEST_LV_0100_20150317_002214	Klaipeda é uma cidade pequena e silenciosa. {nl} Não tivemos tantas pessoas vindo para essa cidade antes.
QUEST_LV_0100_20150317_002215	A Deusa mencionou seu paradeiro no sonho da Revelação?
QUEST_LV_0100_20150317_002216	Siga para Klaipeda. {nl}Comandante Uska está esperando por você na Central Plaza.{nl}
QUEST_LV_0100_20150317_002217	Ouvi dizer que o Bispo também teve um sonho sobre a Deusa, então talvez tenha algo a ver com isso.
QUEST_LV_0100_20150317_002218	Aquela garota. {nl} Ela simplesmente apareceu na cidade faz algum tempo. {nl}
QUEST_LV_0100_20150317_002219	Digo, ela não falava e suas roupas estavam todas sujas. {nl} Parecia faminta, então levei ela para casa, dei comida e isso aconteceu.
QUEST_LV_0100_20150317_002220	Digo, a garota que estava confinada com a gente antes. {nl} Você acha que ela tem uma família? Ela parecia não poder dar nem mesmo um pio. {nl}
QUEST_LV_0100_20150317_002221	Se fosse um pai, provavelmente estaria correndo por aí como um louco procurando minha filha. {nl} Os pais de hoje são completamente irresponsáveis. {nl}
QUEST_LV_0100_20150317_002222	A garota não falava nada. {nl} Além disso, uma jovem garota crescida andando até essa vila{nl}remota descalça? Não parece estranho?
QUEST_LV_0100_20150317_002223	Podemos voltar para casa...
QUEST_LV_0100_20150317_002224	Quero voltar para casa logo...
QUEST_LV_0100_20150317_002225	Estou curioso sobre essa garota que deve ter quebrado o seo também.{nl}Este não é um selo fácil de se quebrar.{nl}{nl}
QUEST_LV_0100_20150317_002226	Marido de Família Refugiada
QUEST_LV_0100_20150317_002227	Eu fugi com minha esposa para evitar os monstros.{nl}Deusa Zemyna nos protege, mas não sei o quanto mais ela poderá suportar.
QUEST_LV_0100_20150317_002228	Ah, a Comerciante de Acessórios disse que tem um presente para você. {nl} Você se importa de visitar ela?
QUEST_LV_0100_20150317_002229	Você pode encontrar a Comerciante de Acessórios se for direto para a casa à esquerda daqui.
QUEST_LV_0100_20150317_002230	Comerciante de Acessórios
QUEST_LV_0100_20150317_002231	Prazer em te conhecer! Você é o Revelador perseguindo o sonho da Deusa? {nl} Gostaria de te dar esse acessório de presente. {nl}
QUEST_LV_0100_20150317_002232	Se armadura te protege de ataques físicos, acessórios te protegem de ataques mágicos. {nl} Espero que isso seja útil para você.
QUEST_LV_0100_20150317_002233	Você pode encontrar a Comerciante de Acessórios se for direto para a casa à esquerda daqui. {nl}
QUEST_LV_0100_20150317_002234	Ah, estava esperando por você.{nl}Você foi a pessoa escolhida pelos Olhos do Grande Rei Zachariel?
QUEST_LV_0100_20150317_002235	Saudações.
QUEST_LV_0100_20150317_002236	Ah, parece que você tem umas Jukopus Leaves e Kepa Stems. {nl} Pode compartilhar alguns comigo?
QUEST_LV_0100_20150317_002237	Muito obrigado. {nl} Preciso deles para tratar os homens feridos na nossa vila, mas não tenho suficiente.
QUEST_LV_0100_20150317_002238	Sei que você se esforçou muito, mas preciso de mais.
QUEST_LV_0100_20150317_002239	Ainda preciso de mais Jukopus Leaves e Kepa Stems. {nl} Mas não quero só recebê-los de presente. Que tal uma troca pelas poções que tenho?
QUEST_LV_0100_20150317_002240	Seu ato de bondade realmente me enche de energia.
QUEST_LV_0100_20150317_002241	Obrigado! {nl} Espero que isso seja útil para você.
QUEST_LV_0100_20150317_002242	Jukopus e Kepas aparecem ao redor da Miners' Village
QUEST_LV_0100_20150317_002243	Ei, você vai enfrentar esses Vubbes? {nl} Mas seu equipamento é meio deplorável... Se importa se eu ajudar?
QUEST_LV_0100_20150317_002244	Me arranje alguns materiais e ajudarei você a criar algumas novas armaduras. {nl} Os materiais necessários podem ser obtidos com Large Red Kepa, Jukopus e Vubbe Thief.
QUEST_LV_0100_20150317_002245	Large Red Kepa, Red Kepa, Jukopus e Vubbe Thief. {nl} Não tenho certeza se é uma boa, mas você pode confeccionar umas coisas bem úteis com o que os monstros soltam.
QUEST_LV_0100_20150317_002246	Vou dar a receita, então tente confeccionar a armadura com os materiais que dei a você. {nl} Você se sentirá mais confiante. Bem, então, que a Bênção da Deusa esteja convosco!
QUEST_LV_0100_20150317_002247	Estou procurando pelos remédios para curar os feridos.
QUEST_LV_0100_20150317_002248	Ah, você trouxe. {nl} Essa é a placa frontal. {nl} Fique com ela até ter todas as peças prontas para confeccionar uma armadura.
QUEST_LV_0100_20150317_002249	Ah, aqui estamos. Vejamos. {nl} Parece que você trouxe tudo que precisamos. {nl} Você pode criar um Manto com isso. {nl} Isso me lembra os bons e velhos tempos.
QUEST_LV_0100_20150317_002250	Homem Simples
QUEST_LV_0100_20150317_002251	Essa é a placa traseira. {nl} Deixarei você confeccionar quando tivermos todos os outros materiais prontos.
QUEST_LV_0100_20150317_002252	Aqui está. Esse é um protetor peitoral feito de couro. {nl}Foi divertido fazer isso depois de tanto tempo.
QUEST_LV_0100_20150317_002253	Fragmentos de osso foram avistados no poço.
QUEST_LV_0100_20150317_002254	Estou furioso e triste. {nl} Se tivéssemos chegado antes, não teríamos sido completamente dizimados... {nl}
QUEST_LV_0100_20150317_002255	Revelador, tenho um favor a pedir. {nl}Você pode recuperar as lembranças de meus camaradas?
QUEST_LV_0100_20150317_002256	É ruim o suficiente eles terem sido mortos por Vubbes, mas até suas lembranças estão sendo abusadas. Terrível...
QUEST_LV_0100_20150317_002257	Obrigado. {nl} Meus camaradas agora poderão descansar em paz.
QUEST_LV_0100_20150317_002258	Meu Deus. Os Vubbes roubaram todos os nossos suprimentos. {nl} Eles até levaram nossa comida de hoje... Por favor, ajude-nos, precisamos de sua força.
QUEST_LV_0100_20150317_002259	Eles roubaram a comida que era tanto para o exército quanto para os residentes. {nl} O que faremos se não pudermos recuperar nossa comida... {nl}
QUEST_LV_0100_20150317_002260	Obrigado. {nl} Isso deve durar pelo menos pelos próximos dias.
QUEST_LV_0100_20150317_002261	Obrigado pela sua ajuda antes, mas há mais lembranças que precisam ser recuperadas. {nl} Pense nos meus colegas que não podem descansar em paz... {nl}
QUEST_LV_0100_20150317_002262	Então, por favor, nos ajude. {nl} Se você conseguir recuperar o resto das lembranças, vamos oferecer uma recompensa.
QUEST_LV_0100_20150317_002263	Obrigado, mas ainda precisamos de mais... {nl} Desculpe... {nl}
QUEST_LV_0100_20150317_002264	Quase coletamos todas as lembranças... {nl} Por favor, nos ajude até terminar tudo.
QUEST_LV_0100_20150317_002265	Me dói pensar em entregar essas lembranças às famílias dos meus colegas falecidos.
QUEST_LV_0100_20150317_002266	Você tem meus sinceros agradecimentos. {nl} Meus colegas agora podem descansar em paz com as Deusas.
QUEST_LV_0100_20150317_002267	Sobrevivemos ao perigo imediato com sua ajuda antes, mas ainda precisamos de alguma ajuda. {nl} Você poderia nos ajudar novamente?
QUEST_LV_0100_20150317_002268	Estou enraivecido pensando nos Vubbes que vão se deleitar com nossa comida. {nl}Especialmente em tempos difíceis como esses.
QUEST_LV_0100_20150317_002269	Obrigado. {nl} Ainda nos faltam alguns bens, mas pelo menos recuperamos essa parte.
QUEST_LV_0100_20150317_002270	Habitante de Fedimian
QUEST_LV_0100_20150317_002271	Eu ouvi dizer que o velho sábio Maven que construiu a Great Cathedral deixou cinco colares.{nl}Também ouvi que quem coletar esses cinco colares receberá um grande poder.
QUEST_LV_0100_20150317_002272	Ei, se você está planejando continuar sua jornada, não se aproxime da Cidade Amaldiçoada.{nl}Não recebeu nenhuma bênção no Medzio Diena. Você vira pedra se chegar perto demais dessa cidade.
QUEST_LV_0100_20150317_002273	É verdade que estou olhando para o Revelador, mas preciso de alguém com habilidades.{nl}Me desculpe, mas você não parece o Revelador que estou procurando.
QUEST_LV_0100_20150317_002274	Aí está a Great Cathedral que foi construída por Maven, além da Pilgrim's Way.{nl}Ruklys, Lydia Schaffen e Agailla Flurry são todos discípulos dele.
QUEST_LV_0100_20150317_002275	A Great Cathedral foi extremamente danificada no Medzio Diena, então me pergunto se ainda há pessoas indo lá, mas...{nl}Antigamente muita gente ia lá para realizar vários rituais.
QUEST_LV_0100_20150317_002276	Então, decidiram chamar a trilha para a Great Cathedral de Pilgrim's Way.
QUEST_LV_0100_20150317_002277	Saudações. {nl} Apenas coisas difíceis de encontrar aqui.
QUEST_LV_0100_20150317_002278	Pedinte de Klaipeda
QUEST_LV_0100_20150317_002279	Vim de Klaipeda até aqui para rezar. {nl} Para que outro desastre jamais aconteça, e para que meu filho que entrou para o exército possa voltar e me ver.
