UI_20150317_000001		{@st41b}각 클래스 마스터들에게서{nl}특성을 배울 수 있습니다.{/}				
UI_20150317_000002	{@st43}Lista de Atributos {/}
UI_20150317_000997	{@st41b}Selecione o Canal{/}
UI_20150317_000998	{@st43}Entrar{/}
UI_20150317_000999	{@St59}Iniciar o jogo com o personagem selecionado{nl}Tradução v9.7{/}
UI_20150317_001000	{@St43}{s26}Nome do Time{/}
UI_20150317_001001	{@st59}Nome do Time{/}
UI_20150317_001002	{@st41b}Mudar nome do time{/}
UI_20150317_001003	{@st59}Mudar nome do Time{/}
UI_20150317_001004	{@St41}Mascote{/}
UI_20150317_001005	Arrastar Chat
UI_20150317_001006	{@St44}Nome do Diálogo Novo{/}
UI_20150317_001007	{@St42}Mudar{/}
UI_20150317_001008	{@St44}Nome da Janela Nova{/}
UI_20150317_001009	{@St43}{s40}{gr gradation4}Criação de Personagem{/}
UI_20150317_001010	{@St59}Cria Personagem{/}
UI_20150317_001011	{@St59}Cancelar criação{/}
UI_20150317_001012	{@St59}Fechar{/}
UI_20150317_001013	{@St59}Criar um time com esse nome{/}
UI_20150317_001014	{@St43}{s30}{#f0dcaa}Escreva o nome do Time!
UI_20150317_001015	{@St41b}Seu nome de Time é um nome que representa todos os seus personagens.{nl}Este nome será usado universalmente durante o comércio, junção a guild, chat e muito mais.{nl}         O nome do Time pode ser alterado a qualquer momento usando 150 TP.{/}
UI_20150317_001016	Carregando fundo
UI_20150317_001017	Dica
UI_20150317_001018	Dicas de Jogo
UI_20150317_001019	Login
UI_20150317_001020	ID da Conta
UI_20150317_001021	{@st59}Digite seu ID da conta{/}
UI_20150317_001022	Senha
UI_20150317_001023	{@St59}Digite sua senha{/}
UI_20150317_001024	{@St43}Entrar{/}
UI_20150317_001025	{@St59}Conectar ao servidor selecionado{/}
UI_20150317_001026	{@st41b}Replay{/}
UI_20150317_001027	{@st41b}Single Mode{/}
UI_20150317_001028	{@St41b}Sair do Jogo{/}
UI_20150317_001029	Salvar
UI_20150317_001030	{@St59}Se verificada, sua conta será salva{/}
UI_20150317_001031	Lista de Servidores
UI_20150317_001032	{@St59}Selecione o Servidor{/}
UI_20150317_001033	Título de Login
UI_20150317_001034	[Closed Beta version]
UI_20150317_001035	Opções
UI_20150317_001036	Alcance de Visibilidade
UI_20150317_001037	{S20}{#BBBBBB}Alcance de Visibilidade
UI_20150317_001038	Alcance de Visibilidade:
UI_20150317_001039	Personagem:
UI_20150317_001040	Objetos de Fundo:
UI_20150317_001041	Topografia - Grama (%):
UI_20150317_001042	Topografia - Árvore (%):
UI_20150317_001043	Topografia - Objetos (%):
UI_20150317_001044	Sombra
UI_20150317_001045	{S20}{#BBBBBB}Mapeamento de Sombra
UI_20150317_001046	Ativar Mapeamento de Sombra
UI_20150317_001047	Qualidade da Sombra:
UI_20150317_001048	Uso de SSAO
UI_20150317_001049	Método SSAO:
UI_20150317_001050	Resolução SSAO:
UI_20150317_001051	Reflexo da Água
UI_20150317_001052	{s20}{#BBBBBB}Reflexo da Água
UI_20150317_001053	Reflexo do Personagem na Água
UI_20150317_001054	Reflexo do Fundo na Água
UI_20150317_001055	{s20}{#BBBBBB}Ajuste de Brilho
UI_20150317_001056	Ativar Brilho
UI_20150317_001057	{@st41}Ataque{/}
UI_20150317_001058	{@St41}Defesa{/}
UI_20150317_001059	{@st41}Suporte{/}
UI_20150317_001060	{@st41}Dificuldade{/}
UI_20150317_001061	{@st41}Penteado
UI_20150317_001062	{@st41}Rotação
UI_20150317_001063	{@st43}Criar Personagem
UI_20150317_001064	{@st59}Criar Personagem Atual{/}
UI_20150317_001065	{@st41b}Cancelar
UI_20150317_001066	{@st59}Cancelar seleção de char{/}
UI_20150317_001067	Informação do Personagem
UI_20150317_001068	{@st41}Trazer Consigo
UI_20150317_001069	{@st59}Depois de clicar aqui, selecione um personagem para o mascote seguir.{/}
UI_20150317_001070	IU de Criação de Item
UI_20150317_001071	{s24}Nome:
UI_20150317_001072	{s16}FOR:
UI_20150317_001073	{s16} HP:
UI_20150317_001074	{s16} AGI:
UI_20150317_001075	{s16} VIT:
UI_20150317_001076	{s16} Força:
UI_20150317_001077	{s18} Seleção da Classe
UI_20150317_001078	{s18} União do Caminho Certo
UI_20150317_001079	{s18} União da Providência Maligna
UI_20150317_001080	Hong Moo Moon
UI_20150317_001081	Dae Do Cheon
UI_20150317_001082	Espadas Flamejantes
UI_20150317_001083	Adenoma Hwageuk
UI_20150317_001084	Punção Santa
UI_20150317_001085	Yeonhwagyo
UI_20150317_001086	{S16}Gênero e Aparência
UI_20150317_001087	Masculino
UI_20150317_001088	Feminino
UI_20150317_001089	Ajuste de Cabelo
UI_20150317_001090	Ajuste Principal 
UI_20150317_001091	Largura de Ombro
UI_20150317_001092	Tamanho de Mão e Pé
UI_20150317_001093	Tamanho de Tórax
UI_20150317_001094	Tamanho de Cintura
UI_20150317_001095	Tamanho de Quadril
UI_20150317_001096	{S18} Tamanho de Cabeça
UI_20150317_001097	{S14} Ajuste de Altura
UI_20150317_001098	{S14} Largura de Ombro
UI_20150317_001099	{S14} Tamanho de Mão e Pé
UI_20150317_001100	{S14} Tamanho de Tórax
UI_20150317_001101	{S14} Tamanho de Cintura
UI_20150317_001102	{S14} Tamanho Pélvico
UI_20150317_001103	Usar Pré-definido
UI_20150317_001104	Aleatório
UI_20150317_001105	Criar Novo Personagem
UI_20150317_001106	Cancelar Criação de Personagem
UI_20150317_001107	{@St43}{s40}{gr gradation4}Iniciar Jogo{/}
UI_20150317_001108	{@St43}{s40}{gr gradation4}Fechar Visualização{/}
UI_20150317_001109	{@St43}{s40}{gr gradation4}Voltar à Zona{/}
UI_20150317_001110	{@St59}Voltar para a Zona.{/}
UI_20150317_001111	{@St41b}Voltar{/}
UI_20150317_001112	{@St59}Voltar para o Meu Alojamento.{/}
UI_20150317_001113	{@St43}{s24}Nome do Alojamento{/}
UI_20150317_001114	{@St59}Nome do Alojamento{/}
UI_20150317_001115	{@st41b}Decorar{/}
UI_20150317_001116	{@St59}Decorar Alojamento{/}
UI_20150317_001117	{@St41b}Configurar{/}
UI_20150317_001118	{@St59}Configurações do Quartel{/}
UI_20150317_001119	Moldura de Item Personalizado
UI_20150317_001120	Verde
UI_20150317_001121	Densidade
UI_20150317_001122	Conforme HP
UI_20150317_001123	{@st59}Acessórios{/}
UI_20150317_001124	{@st59}Acessórios Auxiliares{/}
UI_20150317_001125	{@St42}Texto{/}
UI_20150317_001126	Nome de conteúdo básico
UI_20150317_001127	Nome de grupo básico
UI_20150317_001128	Nome de item básico
UI_20150317_001129	Sr. Kim
UI_20150317_001130	Peso: %s
UI_20150317_001131	N/D
UI_20150317_001132	Raça %S
UI_20150317_001133	N/A
UI_20150317_001134	N/ Trocável
UI_20150317_001135	N/Aprimorável
UI_20150317_001136	N/A
UI_20150317_001137	Nome do Item
UI_20150317_001138	N/D
UI_20150317_001139	Nv e acima
UI_20150317_001140	Todos podem usar
UI_20150317_001141	Soquetes Máximos : ×%s
UI_20150317_001142	Nome do Item
UI_20150317_001143	Valor de Venda  : %s silver
UI_20150317_001144	Quanto
UI_20150317_001145	{@St42b}Taxa de Exploração Total de Siauliai{/}
UI_20150317_001146	{@St42b}Área da Floresta Ocidental Explorada{/}
UI_20150317_001147	{@St18}Item{/}
UI_20150317_001148	{@St18}Minha Classificação{/}
UI_20150317_001149	Diamante
UI_20150317_001150	Vigor +9.000
UI_20150317_001151	{@St18}Média{/}
UI_20150317_001152	{@St42b}{s18}Mão de Obra{/}
UI_20150317_001153	{@St55_c}Nome do Item
UI_20150317_001154	{@St55_c}Registros de Anotações
UI_20150317_001155	{@St59}Digite um nome. Se não inserir um nome, será usado o nome padrão.{/}
UI_20150317_001156	{@St59}Digite uma anotação{/}
UI_20150317_001157	{@St43}Itens Confeccionados
UI_20150317_001158	{@st42b}%s pontos {/}
UI_20150317_001159	{@st42b}%s{/}
UI_20150317_001160	{@st42b}%s pontos {/}
UI_20150317_001161	{@st42b}%s{/}
UI_20150317_001162	{S16}{ol}por preço
UI_20150317_001163	Preço Total: 1
UI_20150317_001164	{@St41}Ajuda
UI_20150317_001165	{@St41}Descrição da Foto
UI_20150317_001166	{@St41}Registo
UI_20150317_001167	{@St41}Nome
UI_20150317_001168	{@St41}Mensagem
UI_20150317_001169	{@St43}Nome{/}
UI_20150317_001170	{@St41b}Mensagens{/}
UI_20150317_001171	{@St42b}Login{/}
UI_20150317_001172	{@St41}Criar uma nova conversa
UI_20150317_001173	{@St41}Conversa Completa
UI_20150317_001174	Nome da Região
UI_20150317_001175	{@St41}Nomes de Habilidade
UI_20150317_001176	{@St41}Pontos de Atributo
UI_20150317_001177	{@St41}Nome da Classe
UI_20150317_001178	Nome do Personagem
UI_20150317_001179	{@Sti7}Excluir{/}
UI_20150317_001180	Nível do Personagem
UI_20150317_001181	{@St42}Quest Compartilhada{/}
UI_20150317_001182	{@St42}EXP Compartilhada{/}
UI_20150317_001183	Anotação do Personagem
UI_20150317_001184	Média de Nível do Grupo: {#FFFF00}%s{/}
UI_20150317_001185	Procurando: {#FFFF00}%s{/}
UI_20150317_001186	Cleric / Archer
UI_20150317_001187	Quest Sharing : {#FFFF00}%s{/}
UI_20150317_001188	N/A
UI_20150317_001189	EXP Distribution : {#FFFF00}%s{/}
UI_20150317_001190	Equally
UI_20150317_001191	Item Distribution : {#FFFF00}%s{/}
UI_20150317_001192	Randomly
UI_20150317_001193	How do I
UI_20150317_001194	You don't see who it is
UI_20150317_001195	{@st41b}Diário de Aventuras Atualizado
UI_20150317_001196	Objetos de Menu para Quest
UI_20150317_001197	Categorias de Quest
UI_20150317_001198	Lista de Objetos de Quest
UI_20150317_001199	N/D
UI_20150317_001200	Linha usada no mapa de estradas
UI_20150317_001201	Objeto de Espaço_Padrão
UI_20150317_001202	Objeto de Espaço_Espaço de Dinheiro
UI_20150317_001203	Tipo de Detalhes do Personagem 1
UI_20150317_001204	Tipo de Detalhes do Personagem 2
UI_20150317_001205	Tipo de Lista do Inventário 1
UI_20150317_001206	Tipo de Lista do Inventário 2
UI_20150317_001207	Tipo de Espaço do Inventário
UI_20150317_001208	Exibir detalhes do item no Mercado
UI_20150317_001209	Saída de nome do item
UI_20150317_001210	Saída de quantidade restante
UI_20150317_001211	Saída de valor
UI_20150317_001212	Ao adicionar no carrinho
UI_20150317_001213	Saída de valor total
UI_20150317_001214	Para saída de item
UI_20150317_001215	Saída de preço unitário
UI_20150317_001216	Categoria de item
UI_20150317_001217	Novidades
UI_20150317_001218	{@St42b}Reiniciar{/}
UI_20150317_001219	Peltang Stang
UI_20150317_001220	Círculo 99
UI_20150317_001221	Derrotar 8 Vubbes Irados
UI_20150317_001222	Dica de ferramenta
UI_20150317_001223	EXP: sad{br}+1 Cristal de Encantamento (Ataque)
UI_20150317_001224	Espada de Aprendiz
UI_20150317_001225	Durabilidade de Conserto:
UI_20150317_001226	Custo de Conserto: 120 de prata
UI_20150317_001227	Custo de Conserto: %s de prata
UI_20150317_001228	{@st42b}Quantidade de Lances {@sti7}%s{/}
UI_20150317_001229	{@st42b}Preço Atual {img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001230	{@St41}Compra agora! {Img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001231	{@St41b}Receber itens{/}
UI_20150317_001232	{@st42b} Preço do Lance {img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001233	{@Sti7}Costas
UI_20150317_001234	{@St59}Cabeça{/}
UI_20150317_001235	{@St59}Bracelete Esquerdo{/}
UI_20150317_001236	{@St59}Bracelete Direito{/}
UI_20150317_001237	{@St59}Trajes{/}
UI_20150317_001238	{@st59}Anel 2{/}
UI_20150317_001239	Nome do Mascote
UI_20150317_001240	Pacote de comerciante
UI_20150317_001241	Floresta ocidental etc...
UI_20150317_001242	Consome TPs
UI_20150317_001243	Nome da Categoria
UI_20150317_001244	Isso é Ajuda
UI_20150317_001245	{@Sti7}%s Pontos{/}
UI_20150317_001246	{@st41b}%sPontuação
UI_20150317_001247	Concluir Quest 25
UI_20150317_001248	[Sub]Floresta Espinhosa
UI_20150317_001249	{@St42}Item em Uso
UI_20150317_001250	{@St44}Informação de Classificação da Classe %s{/}
UI_20150317_001251	Alerta de Progresso
UI_20150317_001252	Coração de Curtir
UI_20150317_001253	N/D
UI_20150317_001254	Nível %s
UI_20150317_001255	Anotação: {#666666}%s
UI_20150317_001256	Ayase
UI_20150317_001257	Relationship with %s
UI_20150317_001258	{#FFFF33}%s{/} quer ser um amigo{/}
UI_20150317_001259	{@St41b}Aceitar
UI_20150317_001260	{@St41b}Recusar
UI_20150317_001261	{@St53b}Carregando sua lista de amigos.
UI_20150317_001262	Nível %s{/}
UI_20150317_001263	{@st41}Cancelar
UI_20150317_001264	Adicione o buff para vender.
UI_20150317_001265	Preço : %s{/}
UI_20150317_001266	Quantidade
UI_20150317_001267	{@St41}Comprar
UI_20150317_001268	Restante : %s {/}
UI_20150317_001269	{@St41}Item{/}
UI_20150317_001270	{@St41b} Memo
UI_20150317_001271	{@St41b}Criar
UI_20150317_001272	{@St41b}Preço : %s{/}
UI_20150317_001273	{@Sti5}Preço : %s{/}
UI_20150317_001274	{@Sti9} Missão em grupo (%s){/}
UI_20150317_001275	{@st41_yellow} Exploração: %s% {/}
UI_20150317_001276	{@st41_yellow} Pontos: %s {/}
UI_20150317_001277	{@st42b}{b}Conquistas{/}
UI_20150317_001278	{@st59}Participar da Missão em Grupo{/}
UI_20150317_001279	Janelas
UI_20150317_001280	Condição
UI_20150317_001281	Guia
UI_20150317_001282	Imagem do Item
UI_20150317_001283	 - Efeito
UI_20150317_001284	Control Set
UI_20150317_001285	{@St41}Dificuldade : %s
UI_20150317_001286	{@St42}Tempo Restante : %s
UI_20150317_001287	{@St53}Construir Item
UI_20150323_001288	{@st59}Coloque o item aqui{/}
UI_20150323_001289	{@st42}Cancelar
UI_20150323_001290	{@st42}Confirmar
UI_20150323_001291	{@st43}Briquetting{/}
UI_20150323_001292	Potencial Atual
UI_20150323_001293	Material Consumido 
UI_20150323_001294	Quantidade Consumida
UI_20150323_001295	Quantidade Disponível
UI_20150323_001296	{@sti6}Registro da Negociação
UI_20150323_001297	{@st43}Acampamento
UI_20150323_001298	Título de Placa
UI_20150323_001299	{@st43}Construir
UI_20150323_001300	{@stc1}Duração do Acampamento
UI_20150323_001301	{@stc1}Efeito
UI_20150323_001302	{@stc1}Materiais e Preço
UI_20150323_001303	{@st41b}Acampamento
UI_20150323_001304	{@st41b}Registro
UI_20150323_001305	{@st41b}Renovar
UI_20150323_001306	{@st59}Renova o tempo de duração.{/}
UI_20150323_001307	{@st41b}Duração do Acampamento
UI_20150323_001308	{@st41b}Efeito
UI_20150323_001309	{@st42b}Quando renovado, o acampamento permanece por mais 24 horas. Consome %s de prata.
UI_20150323_001310	{@st41b}Depósito Pessoal
UI_20150323_001311	{@stc1}Guardar e pegar itens no depósito custa %s de prata.{/}
UI_20150323_001312	{@st41}{#ffff00}Travar Alvo{/}
UI_20150323_001313	{@st43}Mesa de Refeição
UI_20150323_001314	{@st41b}Tipo de comida
UI_20150323_001315	{@st41b}Mesa
UI_20150323_001316	{@st59}Fechar{/}
UI_20150323_001317	{@st43}Grimório{/}
UI_20150323_001318	{@st59}Fechar{/}
UI_20150323_001319	Minha Habilidade de Invocação
UI_20150323_001320	Carta Principal
UI_20150323_001321	Carta Secundária
UI_20150323_001322	Stat
UI_20150323_001323	CON
UI_20150323_001324	INT
UI_20150323_001325	DEX
UI_20150323_001326	CRT
UI_20150323_001327	{@st43}Configurar Loja{/}
UI_20150323_001328	{@st41b}Configurações
UI_20150323_001329	Preço Unitário
UI_20150323_001330	{@st41b}Lista de Materiais
UI_20150323_001331	{@st43}Lapidação de Gema{/}
UI_20150323_001332	{@st59}Fechar IU{/}
UI_20150323_001333	{@st41b}Consertar{/}
UI_20150323_001334	{@st41b}Registro{/}
UI_20150323_001335	Preço a receber
UI_20150323_001336	{@st59}Colocar gema{/}
UI_20150323_001337	Material Consumido
UI_20150323_001338	Restante
UI_20150323_001339	{@st42}Fechar
UI_20150323_001340	{@st43}Manutenção de Armas{/}
UI_20150323_001341	{@st43}Manutenção de Equipamento{/}
UI_20150323_001342	{@st41b}Preço a receber
UI_20150323_001343	{@st41b}Materiais
UI_20150323_001344	{@st43}Consertar{/}
UI_20150323_001345	{@st41b}Consertar{/}
UI_20150323_001346	Nível de Habilidade
UI_20150323_001347	{@st41}No de jogadores para entrar
UI_20150323_001348	{@st43}Masmorra de atualização de item
UI_20150323_001349	{@st41}Materiais Necessários
UI_20150323_001350	{@st59}Materiais Necessários{/}
UI_20150323_001351	Nível Recomendado: %s
UI_20150323_001352	{@st43}Modo de Seleção de IU{/}
UI_20150323_001353	{@st43}Loja de Compra
UI_20150323_001354	Nome da Loja
UI_20150323_001355	{@st41b}Abrir Loja
UI_20150323_001356	{@st59}Iniciar Loja de Compra{/}
UI_20150323_001357	{@st59}Cancelar{/}
UI_20150323_001358	{@st59}Fechar{/}
UI_00000000_0000TK
UI_20150323_001359	Solicitar Compra
UI_20150323_001360	{@st59}Fechar Loja de Compra
UI_20150323_001361	{@st59}Loja de Compra{nl} - Negocie seus itens por prata
UI_20150323_001362	{@st43}Itens que o comprador deseja{/}
UI_20150323_001363	{@st43}Itens para vender
UI_20150323_001364	{@st43}Lucro Total 
UI_20150323_001365	{@st41}Vender
UI_20150323_001366	{@st41}Materiais de Alquimia
UI_20150323_001367	{@st41}Resultado de Alquimia {@stx1}(requer %s){/}
UI_20150323_001368	{@st59}Invocar Mascote{/}
UI_20150323_001369	{@st41b}Personagem{/}
UI_20150323_001370	{@st59}Grimoire{/}
UI_20150323_001371	{@st41b}Aplicar Florescência{/}
UI_20150323_001372	{@st41b}Aplicar Vinheta{/}
UI_20150323_001373	{@st41b}Aplicar FXAA{/}
UI_20150323_001374	{@st41b}Aplicar Brilho{/}
UI_20150323_001375	{@st41b}Aplicar Intensidade {/}
UI_20150323_001376	{@st41b}Aplicar Suavidade{/}
UI_20150323_001377	{@st43}Depósito Pessoal{/}
UI_20150323_001378	{@st59}Fechar Depósito Pessoal{/}
UI_20150323_001379	{@sti6}Guardar e pegar itens no depósito custa %s de prata...{/}
UI_20150323_001380	{@st59}Alt+Z para mudar de arma{/}
UI_20150323_001381	{@st59}Salvar Configurações do Alojamento{/}
UI_20150323_001382	Mudar Alojamento
UI_20150323_001383	{@st59}Fechar Mudar Alojamento
UI_20150323_001384	{@st59}Mudar Alojamento{nl} - Mude o mapa e amplie a quantidade de personagens disponíveis mudando o seu Alojamento. 
UI_20150323_001385	{@st41}Cancelar Visualização
UI_20150323_001386	{@st46}Meus TPs: %s{/}
UI_20150323_001387	{@st41b}Mudar Alojamento{/}
UI_20150323_001388	{@st59}Decorar Alojamento{/}
UI_20150323_001389	{@st41b}Configurações de Alojamento{/}
UI_20150323_001390	{@st59}Mudar Configurações de Alojamento{/}
UI_20150323_001391	{@st45ty}Saudação de Personagem{/}
UI_20150323_001392	{@st45ty}Loja de Compra
UI_20150323_001393	{@st41b}Mudar
UI_20150323_001394	{@st59}Mudar Saudação de Personagem{/}
UI_20150323_001395	{@st59}Ajustar Loja de Compra{/}
UI_20150323_001396	Quantidade: %s{/}
UI_20150323_001397	Procurar itens para comprar
UI_20150323_001398	Quantidade
UI_20150323_001399	Preço Unitário
UI_20150323_001400	{@sti5}×%s{/}
UI_20150323_001401	{@st41}Comer
UI_20150323_001402	{@st41}Criar
UI_20150323_001403	{@st41}Quantidade
UI_20150323_001404	{@st41}Material Consumível
UI_20150401_001405	{@st59}Fechar Briquetagem{/}
UI_20150401_001406	{@st41}Remover Acampamento
UI_20150401_001407	{@st43}[Círculo %s]{/}
UI_20150401_001408	{@st43}Habilidade{/}
UI_20150401_001409	{@st43}Dica de Classe{/}
UI_20150401_001410	Dica de Classe
UI_20150401_001411	{@st42}{#ffff00}Travar Alvo {/}
UI_20150401_001412	{@st41}Remover Mesa
UI_20150401_001413	{@st43}Extração{/}
UI_20150401_001414	Quickslot do Controle
UI_20150401_001415	{@st42}{#ffff00}Modo Teclado{/}
UI_20150401_001416	{@st43}Abrir Caixa de Oferenda
UI_20150401_001417	{@st41b}Abrir
UI_20150401_001418	{@st41b}Caixa de Oferenda
UI_20150401_001419	{@st41}Nome da Caixa de Oferenda
UI_20150401_001420	Pagamento
UI_20150401_001421	Estimativa de Lucro
UI_20150401_001422	Fundos
UI_20150401_001423	{@st45tw}Detalhes de Item da Caixa de Oferenda
UI_20150401_001424	{@st41}Vender Tudo
UI_20150401_001425	{@st43}Caixa de Oferenda
UI_20150401_001426	Oferecer
UI_20150401_001427	Fechar Negociação
UI_20150401_001428	Saldo Estimado
UI_20150401_001429	{@st45tw}Caixa de Oferenda
UI_20150401_001430	{@st41}Sem Conteúdo
UI_20150401_001431	{@st43}Lista do usuário da zona atual{/}
UI_20150401_001432	{@st59}Fechar lista de IU de GM{/}
UI_20150401_001433	{@st41}Descrição do Grupo:
UI_20150401_001434	{s20}Quantidade de Veneno: {s28}{b}{#ff6600}%s
UI_20150401_001435	Materiais para Veneno
UI_20150401_001436	{@st41b}Selecionar Tudo{/}
UI_20150401_001437	{@st59}Clique novamente para desmarcar tudo{/}
UI_20150401_001438	{@st41b}Confeccionar{/}
UI_20150401_001439	{@st59}Misturar, misturar, remexer e misturar{/}
UI_20150401_001440	{@st41b}Conquistas{/}
UI_20150401_001441	Cor do Cabelo
UI_20150401_001442	Títulos disponíveis
UI_20150401_001443	{@st41b}Modo de UI do Controle{/}
UI_20150401_001444	{@st41}{#ffffcc}Nome
UI_20150401_001445	{@st41}{#ffffcc}Preço
UI_20150401_001446	{@st41}{#ffffcc}Condição
UI_20150401_001447	{@st41b}Cancelar Visualização
UI_20150401_001448	{@st41}{#ffff00}Minhas TPs: %s{/}
UI_20150401_001449	Equipado
UI_20150401_001450	Descrição: {#FFFF00}%s{/}
UI_20150401_001451	Nível Médio: {#FFFF00}%s{/}
UI_20150401_001452	Condição
UI_20150401_001453	Título %s
UI_20150401_001454	Recompensa %s
UI_20150401_001455	{@st42}Quantidade
UI_20150406_001456	{@st43}Acampamento
UI_20150406_001457	{@st42}Construção
UI_20150406_001458	{@st42}Cancelar
UI_20150406_001459	{@stc1}Duração do Acampamento
UI_20150406_001460	{@st41b}Acampamento
UI_20150406_001461	{@st41b}Duração do Acampamento
UI_20150406_001462	{@st42b}Quando renovado, o acampamento permanece por mais 24 horas. {nl}Consome %s de prata.
UI_20150406_001463	{@st41}Remover Acampamento
UI_20150406_001464	{@st42}Remover Mesa
UI_20150406_001465	{@st59b}Grimoire{nl}{@st59s} - Coloque um cartão no deck para iniciar a invocação{/}
UI_20150406_001466	{@st41}Minha Habilidade de Invocação
UI_20150406_001467	{@st41}Atributo
UI_20150406_001468	{@st41b}Nome da Caixa de Oferenda
UI_20150406_001469	{@st41b}Detalhes da Caixa de Oferenda
UI_20150406_001470	{@st59}Fechar Loja de Compra
UI_20150406_001471	{@st59b}Loja de Compra{nl}{@st59s} - Negocie seus itens por prata
UI_20150406_001472	{@st41b}Item Necessário do Outro Jogador{/}
UI_20150406_001473	{@st41b}Itens Disponíveis{/}
UI_20150406_001474	{@st41b}Total de Vendas
UI_20150406_001475	{@st41b}Vender
UI_20150406_001476	{@st59}Venda o(s) item(ns) que adquiriu.{/}
UI_20150406_001477	{@st59}Fechar Depósito Pessoal{/}
UI_20150406_001478	{@st41b} %s Guardar e pegar itens do Depósito consome prata.{/}
UI_20150406_001479	{@st41b}Quantidade
UI_20150414_001480	{@st42b}A duração do acampamento pode ser aumentada.{nl} Custo: %s de prata.
UI_20150414_001481	{@st41b}Tipo {@sti7}%s{/}
UI_20150414_001482	{@st41b}Dificuldade de Controle {@sti7}%s{/}
UI_20150414_001483	{@st59b} Item {/}
UI_20150414_001484	{@st59b} Monstro {/}
UI_20150414_001485	{@st59b} Mover mapa {/}
UI_20150414_001486	{@st59b} Comando de Combate {/}
UI_20150414_001487	{s26}{b}
UI_20150414_001488	{s26}{b}Nível
UI_20150414_001489	{@st44}{s26}Nível
UI_20150414_001490	{@st59b}{s26}ea
UI_20150414_001491	{@st41b}Cozinhar
UI_20150414_001492	{@st41b}Comida
UI_20150414_001493	{@st42}Remover Mesa de Refeição
UI_20150414_001494	{@st41b}Registros{/}
UI_20150414_001495	{@st41}Descrição do Grupo
UI_20150414_001496	{@st41b}Entrar{/}
UI_20150414_001497	Nível de Lapidação %s
UI_20150428_001498	{@st43}Loja de Compra{/}
UI_20150428_001499	{@st41b}Fechar
UI_20150428_001500	{@st41b}Informação de Falha
UI_20150428_001501	{@st59}Avise-nos sobre falhas e problemas{/}
UI_20150428_001502	Ao informar uma falha, o andamento do seu jogo até esse momento será enviado ao nosso servidor.{nl}O arquivo de repetição será bastante útil na solução da falha. Você deseja enviar?
UI_20150428_001503	{@st41b}Descrição da falha:{/}
UI_20150428_001504	{@st41b}Você não é obrigado a enviar uma descrição, mas isso vai nos ajudar bastante na análise da falha.
UI_20150428_001505	{@st41b}Enviar
UI_20150428_001506	{@st42}{s14}{#ffff00}Travar-Alvo{/}
UI_20150428_001507	{@st59}Trave seu alvo independente da distância ou direção
UI_20150428_001508	Grupo encontrado!
UI_20150428_001509	Quickslot de Descanso do Controle
UI_20150428_001510	{@st41b}Modo Descanso
UI_20150428_001511	Tutorial do Controle
UI_20150428_001512	{@st59}Fechar Tutorial do Controle (M){/}
UI_20150428_001513	Tutorial do Teclado
UI_20150428_001514	{@st44}Logout{/}
UI_20150428_001515	{@st41b}Deixar Auxiliar (Requer %s TP){/}
UI_20150428_001516	Custo de soquete adicional: {#ff9933}%s{/}{nl}Custo de remoção de joia: {#ff9933}%s{/}
UI_20150428_001517	{@st41b}Remover Joia
UI_20150428_001518	{@st42}{s14}{#ffff00}Modo IU{/}
UI_20150428_001519	{@st59}Usar teclado ou controle para controlar a IU
UI_20150428_001520	Usar Procurar Grupo 
UI_20150428_001521	Quando um personagem compatível com os critérios do seu grupo for encontrado {nl}será exibida a mensagem [Compatível com Grupo!].
UI_20150428_001522	{@st41}Estilo de Jogo{/}
UI_20150428_001523	Quest
UI_20150428_001524	Caça
UI_20150428_001525	Eventos
UI_20150428_001526	{@st41}Diferença de Nível{/}
UI_20150428_001527	Sem associação
UI_20150428_001528	{@st41}Tipo de Classe Desejada{/}
UI_20150428_001529	{@st41b}Deixar Grupo
UI_20150428_001530	{@st59}Procurar pela descrição do grupo{/}
UI_20150428_001531	{s18}{ol}{gr gradation1}Regras do Auxiliar{/}
UI_20150428_001532	{@st59}Continuar confecção{/}
UI_20150428_001533	{@st45ty}Cor do Cabelo
UI_20150428_001534	{@st45ty}Título Disponível
UI_20150428_001535	{@st41_yellow}Habilidade do Ajudante
UI_20150428_001536	{@st41b}Mostrar outros nomes de personagem{/}
UI_20150428_001537	{@st43}Modo IU{/}
UI_20150428_001538	{@st41b}Automático{/}
UI_20150428_001539	{@st41b}Controle{/}
UI_20150428_001540	{@st41b}Teclado{/}
UI_20150428_001541	Controle
UI_20150428_001542	{@st59}Info. do Controle{/}
UI_20150428_001543	Teclado
UI_20150428_001544	{@st59}Info. do Teclado{/}
UI_20150428_001545	{@st43}Gráficos{/}
UI_20150428_001546	{@st43}Desempenho{/}
UI_20150428_001547	{@st41b}Especificações Mínimas{/}
UI_20150428_001548	{@st41b}Ajuste Automático{/}
UI_20150428_001549	{@st41b}Não usar{/}
UI_20150428_001550	Perguntas Frequentes do Jogo
UI_20150428_001551	Jogadores: (%s/%s)
UI_20150428_001552	No mínimo Nv 100: (%s/%s)
UI_20150511_001553	{@st41}Link de Convite de Grupo
