QUEST_LV_0200_20150317_000001	$Soldado de Philipas
QUEST_LV_0200_20150317_000986	$Acho que ele está planejando queimar a floresta inteira. {nl}E ele não nos dá ouvidos. Você pode detê-lo?
QUEST_LV_0200_20150317_000987	$Ele espalhou barris de óleo perto da Cervejaria Mikolas. Você deve se livrar deles primeiro. {nl}E quanto ao Sr. Dorjen... Por favor, ajude-o.
QUEST_LV_0200_20150317_000988	Cervejeiro Dorjen
QUEST_LV_0200_20150317_000989	$O que o Revelador pode querer de mim? {nl}
QUEST_LV_0200_20150317_000990	$Hmm? Não são as minhas rolhas? {nl}Você arruinou o meu plano? {nl}
QUEST_LV_0200_20150317_000991	$Nem ouse pensar em me deter.{nl}Vou explodir tudo, mesmo que isso acabe com minha cervejaria! {nl}Não se pode nem confiar nos Reveladores...
QUEST_LV_0200_20150317_000992	{memo X}Os monstros arruinaram o Apiário e a Cervejaria. {nl}Então, Joseph foi a Klaipeda procurar um Revelador para nos ajudar. {nl}{NP}Pensei que o problema estaria resolvido, mas adivinhe só o que houve. {nl}Eles começaram a desaparecer um por um. Eles desistiram. Aqueles covardes.
QUEST_LV_0200_20150317_000993	$Me acalmar? Eu pareço conseguir me acalmar?! {nl}Ok. Talvez eu me acalme se você buscar meu hidromel clássico no Armazém do Vinho de Mel. {nl}Se você conseguir pegá-lo.
QUEST_LV_0200_20150317_000994	$Aposto que você não consegue. {nl}Saiba que, se você falhar, vou queimar a minha oficina.
QUEST_LV_0200_20150317_000995	$Mas como? Você realmente conseguiu? {nl}Pensei que você desistiria por causa dos monstros... Você é mesmo impressionante.
QUEST_LV_0200_20150317_000996	$Certo. Você venceu. Não vou mais queimar a minha oficina. {nl}Mas continuo irritado. Tantos anos de trabalho... por causa desses monstros...{nl}
QUEST_LV_0200_20150317_000997	$Agradeço muito. {nl}Vou me sentir bem melhor se você fizer isso.
QUEST_LV_0200_20150317_000998	$Não vou mais pensar em incendiar a floresta. {nl}Sei que uma pessoa com suas habilidades pode salvar a nossa vila.
QUEST_LV_0200_20150317_000999	$Isso é o bastante. Uau, Joseph encontrou um grande talento.{nl}Mesmo que tenhamos perdido o apiário e a cervejaria. {nl}
QUEST_LV_0200_20150317_001000	{memo X}Acho que posso confiar em você, ao contrário dos outros Reveladores. {nl}Você pode encontrar Maras na Floresta dos Três Riachos?
QUEST_LV_0200_20150317_001001	Kirina
QUEST_LV_0200_20150317_001002	$Eu segui Darren até aqui porque me preocupei, mas o que posso fazer agora? {nl}Há tantos monstros que não sei nem se consigo voltar.
QUEST_LV_0200_20150317_001003	$Os monstros aqui parecem possuídos por alguma coisa. É assustador. {nl}Pensando bem, todos pareciam estar sujos com o nosso mel...
QUEST_LV_0200_20150317_001004	$Obrigada. Como posso voltar daqui?{nl}Não é irônico que as nossas próprias abelhas tenham se tornado monstros?
QUEST_LV_0200_20150317_001005	Cleopas
QUEST_LV_0200_20150317_001006	{memo X}Eu não aguento mais. Você conhece Mikolas? {nl}Ah, imagino que não. Eu adoro esse cara. {nl}
QUEST_LV_0200_20150317_001007	{memo X}Ele começou a ficar irritado comigo há algum tempo e agora nem olha na minha cara.{nl}Eu não faço ideia do motivo. Eu queria saber para ao menos pedir desculpas ou algo assim.
QUEST_LV_0200_20150317_001008	{memo X}Ah, é um ótimo conselho. {nl}Ele não ficaria irritado com alguém que acabou de conhecer, não é?
QUEST_LV_0200_20150317_001009	{memo X}Por que acha que ele está bravo? {nl}Você consegue imaginar?
QUEST_LV_0200_20150317_001010	Mikolas
QUEST_LV_0200_20150317_001011	{memo X}Ah, Cleopas... Que vergonha pedir ajuda a outra pessoa. {nl}Eu emprestei a minha máquina de cerveja, ele vendeu para alguém e agora se faz de desentendido?
QUEST_LV_0200_20150317_001012	{memo X}Como ele pode ter feito isso comigo que fui tão bom para ele? {nl}Ele até mentiu. Disse que colocou na frente da minha oficina, mas eu não a recebi.
QUEST_LV_0200_20150317_001013	{memo X}Mikolas não está pronto ainda?
QUEST_LV_0200_20150317_001014	{memo X}Como ele pode ter feito isso comigo?{nl}Mikolas...
QUEST_LV_0200_20150317_001015	{memo X}O quê? Isso não faz sentido.{nl}Eu realmente deixei no trabalho do meu irmão.{nl}
QUEST_LV_0200_20150317_001016	{memo X}Ah, provavelmente... quem fez isso foi a Elite Chupaluka.{nl}Eu a vi lambendo a máquina de cerveja. {nl}Posso perguntar mais uma vez? O que você acha?
QUEST_LV_0200_20150317_001017	{memo X}Muito obrigado!{nl}Eu vi uma Elite Chupaluka na Área de Repouso Dvikcoji.{nl}Caso encontre a máquina de cerveja, avise o Mikolas.
QUEST_LV_0200_20150317_001018	{memo X}Espero que a Elite Chupaluka tenha pegado.{nl}Senão... Não quero ver a cara de decepção dele.
QUEST_LV_0200_20150317_001019	{memo X}Ah, não é a minha máquina de cerveja?{nl}Onde você a encontrou?
QUEST_LV_0200_20150317_001020	{memo X}Minha nossa. Devo muito a você.{nl}E Cleopas... Nem consigo erguer a cabeça.{nl}
QUEST_LV_0200_20150317_001021	{memo X}Preciso de um favor.{nl}Encontre um pouco de Geleia Real e entregue para Cleopas.{nl}Ele gosta muito.
QUEST_LV_0200_20150317_001022	{memo X}Nós?{nl}Somos melhores amigos e crescemos na mesma vila.{nl}
QUEST_LV_0200_20150317_001023	{memo X}Aliás, por que quer saber?
QUEST_LV_0200_20150317_001024	{memo X}Haha, muito obrigado.{nl}Você deve encontrar a Geleia Real com os monstros por aqui.
QUEST_LV_0200_20150317_001025	{memo X}Se não fosse você, jamais teríamos nos aproximado de novo.
QUEST_LV_0200_20150317_001026	{memo X}Hã? Isso não é Geleia Real?{nl}Mikolas... Que maravilha. Consegui acabar com um mal-entendido graças a você.{nl}Que Austeja lhe abençoe.
QUEST_LV_0200_20150317_001027	Maras
QUEST_LV_0200_20150317_001028	{memo X}Era você quem Joseph estava procurando? {nl}Não me importa. {nl}Se você não me ajudar, será igual àqueles Reveladores que fugiram.{nl}
QUEST_LV_0200_20150317_001029	$Afinal, eu depositei toda a minha fé nos sacerdotes, mas não consigo mais fazer isso.{nl}Portanto, quero contratar alguém habilidoso como você. {nl}Vou lhe compensar bem.
QUEST_LV_0200_20150317_001030	$Não sei o que os sacerdotes estão fazendo, pois todo mundo sabe que os monstros estão atrás do mel.
QUEST_LV_0200_20150317_001031	$Fiz uma solicitação a Klaipeda, mas eles não estão respondendo por causa da falta de pessoal.{nl}E não é fácil contratar mercenários nessa região.{nl}
QUEST_LV_0200_20150317_001032	$Assim, os únicos com quem posso contar são os Reveladores.{nl}Você está procurando uma Deusa? Nós costumávamos ter uma Deusa na vila.
QUEST_LV_0200_20150317_001033	$Procure colmeias intactas.{nl}Com sorte, você pode conseguir algumas colmeias em boas condições.
QUEST_LV_0200_20150317_001034	$Ah, essa é bem grande.{nl}Bom trabalho.
QUEST_LV_0200_20150317_001035	$Agora vá até a Fazenda Vulvini.{nl}Se pudermos provar que os monstros estão atrás do mel, os sacerdotes podem esquecer um pouco seus altares.{nl}
QUEST_LV_0200_20150317_001036	$Há vários altares por aqui.{nl}Você já sabe sobre eles, não é? Todos foram criados para louvar a Deusa Austeja.
QUEST_LV_0200_20150317_001037	{memo X}Os discípulos só estão se concentrando nos altares, então eles nem ligam se nós morrermos de fome.{nl}Eles acham que tudo será resolvido se rezarem bastante.{nl}Por isso, decidimos fazer alguma coisa.
QUEST_LV_0200_20150317_001038	$Com uma colmeia tão grande, você consegue atrair os monstros.
QUEST_LV_0200_20150317_001039	$Como foi? Como eles reagiram?
QUEST_LV_0200_20150317_001040	$Nenhuma resposta?{nl}Droga... Então eles não queriam somente o mel.{nl}
QUEST_LV_0200_20150317_001041	$Os monstros estão se aglomerando no Altar Bichiu. Imaginei que estivessem juntando mel ali.{nl}Mas se não é isso que eles querem, talvez estejam lá por outra razão.
QUEST_LV_0200_20150317_001042	$O Altar Bichiu fica no final da estrada. {nl}Se encontrar alguma coisa suspeita, me fale.
QUEST_LV_0200_20150317_001043	$Você voltou mais cedo do que eu esperava.{nl}Como foi? O que você viu?
QUEST_LV_0200_20150317_001044	{memo X}Então, os monstros estavam em busca desse fragmento?{nl}É a primeira vez que vejo isso... É melhor verificar o Altar Gaudeji lá em cima.
QUEST_LV_0200_20150317_001045	{memo X}Se alguma coisa suspeita acontecer de novo, fale com Lamar perto da Torre de Vigia de Madeira.{nl}Eu realmente... não sei.
QUEST_LV_0200_20150317_001046	Lamar
QUEST_LV_0200_20150317_001047	$Maras pediu para me mostrar isso?{nl}Este é o objeto que o sacerdote deixou claro para não tocarmos. Já estava quebrado assim?
QUEST_LV_0200_20150317_001048	$Eu devo falar com Maras sobre isso.{nl}Alguma coisa não está certa... Para que isso serve?
QUEST_LV_0200_20150317_001049	Riesz
QUEST_LV_0200_20150317_001050	$Os monstros destruíram todos os campos, então eu estava tentando começar do zero.{nl}De repente, um Melpino apareceu. Eu larguei tudo e saí correndo.{nl}Minhas ferramentas agrícolas... Eu não sei o que fazer agora.
QUEST_LV_0200_20150317_001051	$Agradeço muito. Eu perdi tudo no Local Ensolarado Shirsie.{nl}O Melpino é enorme e assustador. Se não der conta, é melhor desistir.
QUEST_LV_0200_20150317_001052	$Ah, sim, são essas.{nl}Tudo daria certo se os aldeões conseguissem cuidar dos monstros.
QUEST_LV_0200_20150317_001053	Valda
QUEST_LV_0200_20150317_001054	$Maras pediu para juntarmos o máximo possível de fragmentos de colmeia, mas não faz o menor sentido.{nl}Significa que devemos derrotar os monstros, mas não somos capazes!
QUEST_LV_0200_20150317_001055	$Eu imploro.{nl}Pense que está salvando uma pessoa e pegue essas colmeias para mim.
QUEST_LV_0200_20150317_001056	$Sério? Que emoção.{nl}Ah, as colmeias estão no Apiário Saldus.{nl}
QUEST_LV_0200_20150317_001057	$Não posso fazer isso agora, mesmo que todo o estoque de mel do ano seja perdido.{nl}Talvez seja melhor nos preocuparmos só com ferramentas agrícolas, como Riesz.
QUEST_LV_0200_20150317_001058	$Uau, é tão perfumado! {nl}Agradeço muito. {nl}Ah, não conte isso para Maras, tá bom?
QUEST_LV_0200_20150317_001059	$Não deveríamos parar de cultivar mesmo com a bagunça dos monstros.{nl}Mas os monstros ainda são assustadores. Pode me ajudar? Não é tão difícil.
QUEST_LV_0200_20150317_001060	$Sério? Obrigado!{nl}Plante essas sementes na Fazenda Radanza. Conto com você!
QUEST_LV_0200_20150317_001061	$Depois de plantar as sementes, elas crescerão sozinhas.{nl}Claro, você precisa cuidar delas às vezes para evitar monstros.
QUEST_LV_0200_20150317_001062	$Que alívio.{nl}O resto vai dar certo quando Maras e Lamar se livrarem dos monstros.
QUEST_LV_0200_20150317_001063	Sacerdotisa Raeli
QUEST_LV_0200_20150317_001064	{memo X}A Deusa Austeja está lacrando dois locais que são fontes de energia perversa.{nl}Porém, graças aos ataques contínuos dos demônios, o lacre está enfraquecendo.{nl}
QUEST_LV_0200_20150317_001065	{memo X}Por isso, atraímos os demônios até as pedras demoníacas...{nl}O comportamento precipitado dos aldeões causou o problema.
QUEST_LV_0200_20150317_001066	$Você não pode dizer que não tem nada a ver com isso.
QUEST_LV_0200_20150317_001067	$Não sei se o Medzio Diena foi a causa, mas, há algum tempo,{nl}a energia maligna começou a se aprofundar no subsolo.{nl}A energia se acumulou tanto que poderia explodir a qualquer momento.{nl}
QUEST_LV_0200_20150317_001068	$A Deusa Austeja está se esforçando para lacrar essa energia com seu poder.{nl}Se não fizesse isso, a floresta poderia ter se tornado uma floresta espinhosa.{nl}
QUEST_LV_0200_20150317_001069	$Uma terra onde os únicos seres vivos são monstros... um lugar devastado.{nl}
QUEST_LV_0200_20150317_001070	$Vou explicar a situação brevemente, mas sinto que monstros estão vindo para cá.{nl}Nós preparamos uma pedra guardiã nos arredores da vila para momentos assim.
QUEST_LV_0200_20150317_001071	$Suas palavras são um alívio.{nl}Se não pudermos detê-los, toda a Floresta Siauliai pode ser destruída. Conto com você.{nl}
QUEST_LV_0200_20150317_001072	$Vou explicar tudo detalhadamente quando você voltar.{nl}Livre-se dos monstros.
QUEST_LV_0200_20150317_001073	{memo X}Agora estou mais aliviada.{nl}Demorei um pouco para me apresentar. Sou a Sacerdotisa Raeli a serviço da Deusa Austeja.
QUEST_LV_0200_20150317_001074	$A purificação de antes?{nl}Ao contrário dos outros Reveladores que sucumbiram à energia maligna, eu purifiquei você em nome da Deusa.
QUEST_LV_0200_20150317_001075	$As Deusas já abençoaram os aldeões, mas eles não sabem disso.{nl}As Deusas não querem caos.
QUEST_LV_0200_20150317_001076	$É bom saber que você se envolveu.{nl}
QUEST_LV_0200_20150317_001077	$Precisamos purificar esses demônios para obter algo.{nl}Pegue os galhos das árvores de abelhas perto da vila. Estão abençoados com o poder da Deusa Austeja.
QUEST_LV_0200_20150317_001078	$É melhor fazermos isso rápido antes que os monstros voltem.
QUEST_LV_0200_20150317_001079	$Você os trouxe. Que bom.{nl}
QUEST_LV_0200_20150317_001080	$Eu falei sobre duas fontes de energia maligna, lembra?{nl}Farei um orbe para cada uma que restaurará o lacre dessa área.
QUEST_LV_0200_20150317_001081	$Primeiro, pegue cinzas de demônios para fazer o orbe.{nl}Quando os demônios forem perfurados com os Galhos de Árvore-Abelha,{nl}serão dominados pelo poder divino e se transformarão em cinzas.{nl}
QUEST_LV_0200_20150317_001082	$Obviamente, os poderes da Deusa só afetam os demônios indiretamente. {nl}Você deverá reduzir o HP do demônio antes de usar um galho nele.
QUEST_LV_0200_20150317_001083	$Muito bem. {nl}É desconfortável usar os demônios como sacrifício, mas... estamos chegando à última etapa.
QUEST_LV_0200_20150317_001084	$Pegue este orbe. Eu fiz com pressa. Ainda não está completo. {nl}Você deve preenchê-lo com magia em um local repleto da energia sagrada da Deusa.
QUEST_LV_0200_20150317_001085	$O Penhasco Palama é o local mais próximo para isso. Vá até lá. {nl}Os demônios chegarão em breve. Por favor, rápido.
QUEST_LV_0200_20150317_001086	$Isso é o bastante. {nl}Prepare-se antes de restaurar o lacre. A batalha pode ser dura.
QUEST_LV_0200_20150317_001087	$A torre do lacre enfraquecido é perto da Estrada Stulr. {nl}Os demônios estão quietos demais ultimamente, isso está me incomodando.
QUEST_LV_0200_20150317_001088	$Por favor, rápido. Posso sentir que o lacre está fraco. {nl}Que a bênção da Deusa lhe acompanhe...
QUEST_LV_0200_20150317_001089	$Imagino que você seja o Revelador que purificou a torre do lacre.
QUEST_LV_0200_20150317_001090	$Estou suprimindo a energia maligna aqui.
QUEST_LV_0200_20150317_001091	$Restaure a torre do lacre na Floresta da Luz Primaveril.
QUEST_LV_0200_20150317_001092	Depois de a energia maligna surgir, as plantas sofreram mutações e cresceram de modo anormal. {nl}Parece perigoso, então eu observei de longe. Mas exalava uma energia sinistra. {nl}Tenho medo que as plantas mutantes possam machucar os aldeões.
QUEST_LV_0200_20150317_001093	Isso ajudaria muito. {nl}Mas você não sabe como pode ser perigoso. Tome cuidado.
QUEST_LV_0200_20150317_001094	Será que forças malignas as deixaram tão grotescas?
QUEST_LV_0200_20150317_001095	{memo X}Ah... os monstros estavam escondidos. {nl}Mas que bom que você os derrotou.
QUEST_LV_0200_20150317_001096	{memo X}Druva Sovina
QUEST_LV_0200_20150317_001097	$Vou lhe contar um segredo que nem mesmo os aldeões sabem. {nl}Eu fui até Fedimian e comprei este amuleto caro. {nl}Dizem que ele afasta os monstros. {nl}
QUEST_LV_0200_20150317_001098	$Então... {nl}Preciso da sua ajuda para colocar um espantalho com este amuleto. Hehe.
QUEST_LV_0200_20150317_001099	$Sabia que você entenderia. {nl}Se quiser montar um espantalho, precisa obter os ingredientes antes. {nl}Colha um pouco de Madeira de Carvalho ao redor da vila.
QUEST_LV_0200_20150317_001100	$Posso ganhar muito dinheiro se as coisas derem certo. Hehe...
QUEST_LV_0200_20150317_001101	{memo X}É bastante. {nl}Já está bom.
QUEST_LV_0200_20150317_001102	$Por favor, coloque este espantalho com o amuleto anexado na minha fazenda. {nl}Quero ver a diversão aqui sozinho.
QUEST_LV_0200_20150317_001103	$A fazenda está localizada à esquerda da Encruzilhada Arkllui. {nl}É um pouco longe, mas é assim que fico fora da vista dos aldeões.
QUEST_LV_0200_20150317_001104	$Apicultor Arruinado Logen
QUEST_LV_0200_20150317_001105	$Não sobrou nada... Eu perdi tudo... {nl}Eu cuidei das colmeias por anos... e os monstros destruíram tudo. {nl}O sacerdote falou para seguir em frente, mas...
QUEST_LV_0200_20150317_001106	$Você está tentando me animar? {nl}Nada seria melhor do que ensinar uma lição a esses monstros.
QUEST_LV_0200_20150317_001107	$Sei que o sacerdote está certo, mas eu ainda posso reclamar, né?
QUEST_LV_0200_20150317_001108	$Isso me deixou melhor. {nl}Queria que eles sumissem para sempre.
QUEST_LV_0200_20150317_001109	$Sacerdote Dazine
QUEST_LV_0200_20150317_001110	$Revelador. Presumo que ouviu a história da Deusa Austeja. {nl}Que vários Reveladores foram possuídos pela energia maligna que aflige a vila enquanto tentavam restaurar o lacre. {nl}
QUEST_LV_0200_20150317_001111	$Não há como salvá-los. {nl}Podemos purificá-los se encontrarmos o símbolo da Deusa Austeja.
QUEST_LV_0200_20150317_001112	$Recupere o símbolo da Deusa e use-o para restaurar o Altar de Austeja. {nl}Purificar os Reveladores é o próximo passo.
QUEST_LV_0200_20150317_001113	$Seja para restaurar o lacre enfraquecido ou curar os Reveladores possuídos, {nl}precisamos desse símbolo.
QUEST_LV_0200_20150317_001114	{memo X}O estrago no campo agitado é pior do que no lacre. {nl}As forças malignas estão mais poderosas.
QUEST_LV_0200_20150317_001115	$Felizmente, a Deusa abençoou os aldeões com sua proteção divina antes de concentrar seus esforços no lacre... {nl}Os Reveladores de antes não tinham como saber disso.{nl}Seus destinos estavam determinados.
QUEST_LV_0200_20150317_001116	$É isso, Revelador. {nl}Isso salvará os Reveladores possuídos.
QUEST_LV_0200_20150317_001117	$Os Reveladores possuídos virão para cá em breve. {nl}Purifique-os antes que alguém se machuque.
QUEST_LV_0200_20150317_001118	$Por sorte, o estrago foi mínimo. {nl}Se conseguirmos restaurar o lacre, isso jamais se repetirá.
QUEST_LV_0200_20150317_001119	$Restaure as torres do lacre enfraquecido usando o símbolo da Deusa Austeja.{nl}Há o Lacre Rankis e o Lacre Ranka.
QUEST_LV_0200_20150317_001120	$Os demônios descobriram a fonte de energia maligna e atacaram sem piedade para destruir o lacre. {nl}Se o lacre estiver bem resistente dessa vez, eles vão recuar depois de um tempo.
QUEST_LV_0200_20150317_001121	$Mas não sabemos o que vai acontecer depois.{nl}Só precisamos crer que a Deusa Austeja cuidará de tudo se alguma coisa acontecer.
QUEST_LV_0200_20150317_001122	{memo X}Mas uma coisa me preocupa... {nl}O símbolo foi destruído uma vez, então pode não ser totalmente restaurado. {nl}Claro que tudo vai depender... da Deusa...{nl}
QUEST_LV_0200_20150317_001123	Comerciante Dulke
QUEST_LV_0200_20150317_001124	$Oh, não. O que eu faço? {nl}Perdi todas as minhas mercadorias enquanto fugia dos monstros. {nl}Mas tenho medo de perder a cabeça como os outros Reveladores se voltar agora.
QUEST_LV_0200_20150317_001125	$À primeira vista, não é possível saber se são humanos ou monstros. {nl}Eles têm um olhar vazio e sem alma. Quando são chamados, desaparecem fazendo um barulho esquisito.
QUEST_LV_0200_20150317_001126	$E são mais do que um ou dois. {nl}Mas acho que as pessoas da nossa vila ainda estão normais.{nl}Será que a Deusa nos protegeu com sua bênção?
QUEST_LV_0200_20150317_001127	$Por favor, me ajude.{nl}Acabei de começar meus negócios com tudo o que tenho e estou com medo de ficar sem nada.
QUEST_LV_0200_20150317_001128	$Oh, eu nem sei como agradecer... Sim, são as minhas coisas. {nl}E eu estranhei que você estivesse bem, ao contrário dos outros Reveladores. Você é realmente especial.
QUEST_LV_0200_20150317_001129	Aldeão Emil
QUEST_LV_0200_20150317_001130	$Eu costumava ir e vir à cidade, mas os sacerdotes mandaram ficar aqui, pois o lacre é perigoso.{nl}Eu nem ligo para o lacre. Tenho medo dos demônios.
QUEST_LV_0200_20150317_001131	$Preciso ter como me sustentar. {nl}Os outros aldeões daqui passam o dia todo admirando os sacerdotes e a Deusa.
QUEST_LV_0200_20150317_001132	$Vi que os outros Reveladores ficaram esquisitos, mas você parece bem.{nl}Você encontrou a Deusa ou algo assim? {nl}Bom, você fez um ótimo trabalho. Queria ser forte como você.
QUEST_LV_0200_20150317_001133	Farmacêutica Tiana
QUEST_LV_0200_20150317_001134	$O Sacerdote Dazine pediu remédios para curar os futuros Reveladores possuídos. {nl}Mas acabou a Grama da Luz Primaveril... e tenho medo dos demônios.
QUEST_LV_0200_20150317_001135	$Você é um doce. {nl}Oh, Grama da Luz Primaveril não é fácil de encontrar. {nl}Só aparece quando reage a essa geleia de mel.
QUEST_LV_0200_20150317_001136	$Obrigada por ajudar tanto. {nl}Sei que isso é mais do que suficiente para o sacerdote.
QUEST_LV_0200_20150317_001137	Candelabro da Igreja
QUEST_LV_0200_20150317_001138	{memo X}O Candelabro da Igreja está apagado.
QUEST_LV_0200_20150317_001139	$Quando aquela árvore começou a destruir a capital, a roda da fortuna se voltou para a destruição. {nl}Laima diz que só um humano pode ser o escolhido para encerrar esse ciclo.
QUEST_LV_0200_20150317_001140	{memo X}Sinto uma força demoníaca muito poderosa fluindo na frente.
QUEST_LV_0200_20150317_001141	Você não pode entrar agora porque as portas estão lacradas. {nl}Passe pela Galeria Tikintie e entre na sala. Você encontrará o candelabro de barreira. {nl}A porta lacrada abrirá ao assoprar a vela.
QUEST_LV_0200_20150317_001142	{memo X}O portal para a sala oculta do bispo abriu. {nl}Você pode entrar por ele.
QUEST_LV_0200_20150317_001143	$Há uma ordem da igreja para levar todas as relíquias a um lugar seguro. {nl}Mas veja como as coisas ficaram horríveis.
QUEST_LV_0200_20150317_001144	{memo X}Como podem fazer isso com coisas sagradas que carregam as palavras dos grandes bispos?{nl}É tão ofensivo vê-las espalhadas em meio a esses monstros blasfemos.
QUEST_LV_0200_20150317_001145	{memo X}Felizmente, não parecem danificadas. {nl}Se eu fosse mais forte, teria purificado esses monstros em nome da Deusa.
QUEST_LV_0200_20150317_001146	$Algumas relíquias se escondem quando sentem uma força maligna. {nl}Quando isso acontece, não há como encontrá-la de maneira alguma.
QUEST_LV_0200_20150317_001147	{memo X}Por isso, trouxe as miçangas que podem detectar o sagrado,{nl}mas veja os olhos desses monstros. {nl}Podem nos matar assim que encontrarmos as coisas sagradas.
QUEST_LV_0200_20150317_001148	Sim, bom trabalho. {nl}Encontramos o que era importante, então podemos pedir outras coisas para as irmãs.
QUEST_LV_0200_20150317_001149	{memo X}Os sacerdotes da Catedral foram enviados para anular a maldição de Naktis na Estrada do Peregrino. {nl}Eu estou procurando documentos importantes, de preferência relacionados a Naktis.
QUEST_LV_0200_20150317_001150	{memo X}Se não se importar, pode me ajudar a encontrar documentos relacionados a Naktis?
QUEST_LV_0200_20150317_001151	{memo X}Várias instalações e documentos da Catedral foram perdidos no Medzio Diena. Além disso, os demônios estão destruindo as instalações e documentos ainda mais.
QUEST_LV_0200_20150317_001152	{memo X}E os documentos?
QUEST_LV_0200_20150317_001153	{memo X}Obrigado por encontrar tantos.
QUEST_LV_0200_20150317_001154	{memo X}Se encontrar algum documento pela Catedral, quero que o traga para mim.
QUEST_LV_0200_20150317_001155	{memo X}Que truque esses demônios usaram? Não acho que recuperar os documentos será fácil enquanto os demônios estiverem aqui.
QUEST_LV_0200_20150317_001156	{memo X}Os demônios roubaram todos os documentos que eu reuni.
QUEST_LV_0200_20150317_001157	{memo X}Os demônios estão tão obcecados pelas coisas que estou achando bem estranho. {nl}Na última vez, eles encararam a parede por um tempo e começaram a destruí-la.
QUEST_LV_0200_20150317_001158	{memo X}O mais engraçado é que pegaram fragmentos dela e levaram para algum lugar.
QUEST_LV_0200_20150317_001159	{memo X}Você encontrou tudo. Obrigado.
QUEST_LV_0200_20150317_001160	{memo X}Aconteceu algo urgente. Os subordinados de Naktis começaram a atacar o dispositivo de Maven. Os demônios encontrarão as coisas que Maven escondeu e as levarão para Naktis.
QUEST_LV_0200_20150317_001161	{memo X}Precisamos pegá-las de volta antes que cheguem às mãos de Naktis.
QUEST_LV_0200_20150317_001162	{memo X}Os demônios roubaram as coisas que ganhei do meu amigo.
QUEST_LV_0200_20150317_001163	{memo X}Não sei por que, mas os demônios estão parecendo obcecados pelas coisas.
QUEST_LV_0200_20150317_001164	{memo X}Ainda restam dois dispositivos de Maven. {nl}Mas ocorreu um problema.
QUEST_LV_0200_20150317_001165	{memo X}Não sei como liberar um dispositivo.
QUEST_LV_0200_20150317_001166	{memo X}Os subordinados de Naktis estão perto do dispositivo, então tenha cuidado.
QUEST_LV_0200_20150317_001167	{memo X}Você conseguiu colher os dados? Ótimo, entregue-os para mim.
QUEST_LV_0200_20150317_001168	{memo X}Os dados dizem que você precisa de pele, couro ou roupas que os monstros usaram. {nl}Derrote os subordinados de Naktis e pegue seu couro e roupas.
QUEST_LV_0200_20150317_001169	{memo X}Você deve ter extrema cautela com os subordinados de Naktis.
QUEST_LV_0200_20150317_001170	{memo X}Você pegou todos os materiais.
QUEST_LV_0200_20150317_001171	{memo X}Use o pote no final do Nártex Laukti e faça o remédio.
QUEST_LV_0200_20150317_001172	{memo X}Há um pote no final do Nártex Laukti que você pode usar para fazer.
QUEST_LV_0200_20150317_001173	{memo X}Vá até o primeiro dispositivo de Maven e pegue a chave. {nl}Depois, vá até o segundo dispositivo.
QUEST_LV_0200_20150317_001174	{memo X}Sou um sacerdote enviado para anular a maldição que se espalha pela Estrada do Peregrino. {nl}Quero testar em um peregrino amaldiçoado na Rota da Penitência. Pode me ajudar?
QUEST_LV_0200_20150317_001175	{memo X}Ele não vai tomar o remédio tão facilmente. {nl}Aplique-o na carne para que ele coma.
QUEST_LV_0200_20150317_001176	{memo X}Não importa o que é, desde que seja comestível.
QUEST_LV_0200_20150317_001177	{memo X}Isso deve ser o bastante.
QUEST_LV_0200_20150317_001178	{memo X}Derrote os monstros da área e obtenha carne.
QUEST_LV_0200_20150317_001179	{memo X}Vou lhe dar o remédio. {nl}Aplique-o na carne.
QUEST_LV_0200_20150317_001180	{memo X}Aplique o remédio na carne.
QUEST_LV_0200_20150317_001181	{memo X}Dê a carne para o peregrino.
QUEST_LV_0200_20150317_001182	{memo X}Dê a carne para o peregrino e observe a reação dele.
QUEST_LV_0200_20150317_001183	{memo X}O peregrino comeu a carne com o remédio?
QUEST_LV_0200_20150317_001184	{memo X}Obrigado por sua ajuda.
QUEST_LV_0200_20150317_001185	{memo X}Continuo com fome, não importa o quanto eu coma...{nl}Ei... Por favor, traga mais comida.
QUEST_LV_0200_20150317_001186	{memo X}Me dê comida, rápido.
QUEST_LV_0200_20150317_001187	{memo X}Sou parte dos sacerdotes enviados para anular a maldição de Naktis. {nl}Precisamos estudar e obter dados para anular a maldição de Naktis. {nl}Mas devo encontrar o bispo que deveria proteger a Catedral depois do Medzio Diena. {nl}
QUEST_LV_0200_20150317_001188	{memo X}Você pode me ajudar a encontrá-lo?
QUEST_LV_0200_20150317_001189	{memo X}Essa não... O bispo retornou como um cadáver... {nl}Obrigado por sua ajuda.
QUEST_LV_0200_20150317_001190	{memo X}Preciso enterrar o bispo, mas há monstros demais por aqui.
QUEST_LV_0200_20150317_001191	{memo X}Eu não devia ter deixado ele na Catedral...
QUEST_LV_0200_20150317_001192	{memo X}Você me ajudou de novo. Muito obrigado.
QUEST_LV_0200_20150317_001193	{memo X}Estou preocupado com o paradeiro do bispo.
QUEST_LV_0200_20150317_001194	{memo X}Use os monstros de Naktis... {nl}Mas como podemos usá-los? {nl}Aha! Podemos nos transformar nos monstros de Naktis no Sacrário e fazer os outros monstros destruí-lo.
QUEST_LV_0200_20150317_001195	{memo X}Há materiais no Sacrário com instruções para um remédio que transforma você em um monstro. {nl}Encontre os materiais.
