QUEST_LV_0200_20150317_000001	Soldado de Philipas
QUEST_LV_0200_20150317_001089	Imagino que voc?seja o Revelador que purificou a torre do lacre.
QUEST_LV_0200_20150317_001090	Estou suprimindo a energia maligna aqui.
QUEST_LV_0200_20150317_001091	Restaure a torre do lacre na Floresta da Luz Primaveril.
QUEST_LV_0200_20150317_001092	Depois de a energia maligna surgir, as plantas sofreram mutaes e cresceram de modo anormal. {nl}Parece perigoso, ent? eu observei de longe. Mas exalava uma energia sinistra. {nl}Tenho medo que as plantas mutantes possam machucar os alde?s.
QUEST_LV_0200_20150317_001093	Isso ajudaria muito. {nl}Mas voc?n? sabe como pode ser perigoso. Tome cuidado.
QUEST_LV_0200_20150317_001094	Ser?que for?s malignas as deixaram t? grotescas?
QUEST_LV_0200_20150317_001095	Ah... os monstros estavam escondidos. {nl}Mas que bom que voc?os derrotou.
QUEST_LV_0200_20150317_001096	Druva Sovina
QUEST_LV_0200_20150317_001097	Vou lhe contar um segredo que nem mesmo os alde?s sabem. {nl}Eu fui at?Fedimian e comprei este amuleto caro. {nl}Dizem que ele afasta os monstros. {nl}
QUEST_LV_0200_20150317_001098	Ent?... {nl}Preciso da sua ajuda para colocar um espantalho com este amuleto. Hehe.
QUEST_LV_0200_20150317_001099	Sabia que voc?entenderia. {nl}Se quiser montar um espantalho, precisa obter os ingredientes antes. {nl}Colha um pouco de Madeira de Carvalho ao redor da vila.
QUEST_LV_0200_20150317_001100	Posso ganhar muito dinheiro se as coisas derem certo. Hehe...
QUEST_LV_0200_20150317_001101	?bastante. {nl}J?est?bom.
QUEST_LV_0200_20150317_001102	Por favor, coloque este espantalho com o amuleto anexado na minha fazenda. {nl}Quero ver a divers? aqui sozinho.
QUEST_LV_0200_20150317_001103	A fazenda est?localizada ?esquerda da Encruzilhada Arkllui. {nl}?um pouco longe, mas ?assim que fico fora da vista dos alde?s.
QUEST_LV_0200_20150317_001104	Apicultor Arruinado Logen
QUEST_LV_0200_20150317_001105	N? sobrou nada... Eu perdi tudo... {nl}Eu cuidei das colmeias por anos... e os monstros destru?am tudo. {nl}O sacerdote falou para seguir em frente, mas...
QUEST_LV_0200_20150317_001106	Voc?est?tentando me animar? {nl}Nada seria melhor do que ensinar uma lio a esses monstros.
QUEST_LV_0200_20150317_001107	Sei que o sacerdote est?certo, mas eu ainda posso reclamar, n?
QUEST_LV_0200_20150317_001108	Isso me deixou melhor. {nl}Queria que eles sumissem para sempre.
QUEST_LV_0200_20150317_001109	Sacerdote Dazine
QUEST_LV_0200_20150317_001110	Revelador. Presumo que ouviu a hist?ia da Deusa Austeja. {nl}Que v?ios Reveladores foram possu?os pela energia maligna que aflige a vila enquanto tentavam restaurar o lacre. {nl}
QUEST_LV_0200_20150317_001111	N? h?como salv?los. {nl}Podemos purific?los se encontrarmos o s?bolo da Deusa Austeja.
QUEST_LV_0200_20150317_001112	Recupere o s?bolo da Deusa e use-o para restaurar o Altar de Austeja. {nl}Purificar os Reveladores ?o pr?imo passo.
QUEST_LV_0200_20150317_001113	Seja para restaurar o lacre enfraquecido ou curar os Reveladores possu?os, {nl}precisamos desse s?bolo.
QUEST_LV_0200_20150317_001114	O estrago no campo agitado ?pior do que no lacre. {nl}As for?s malignas est? mais poderosas.
QUEST_LV_0200_20150317_001115	Felizmente, a Deusa aben?ou os alde?s com sua proteo divina antes de concentrar seus esfor?s no lacre... {nl}Os Reveladores de antes n? tinham como saber disso.{nl}Seus destinos estavam determinados.
QUEST_LV_0200_20150317_001116	?isso, Revelador. {nl}Isso salvar?os Reveladores possu?os.
QUEST_LV_0200_20150317_001117	Os Reveladores possu?os vir? para c?em breve. {nl}Purifique-os antes que algu? se machuque.
QUEST_LV_0200_20150317_001118	Por sorte, o estrago foi m?imo. {nl}Se conseguirmos restaurar o lacre, isso jamais se repetir?
QUEST_LV_0200_20150317_001119	Restaure as torres do lacre enfraquecido usando o s?bolo da Deusa Austeja.{nl}H?o Lacre Rankis e o Lacre Ranka.
QUEST_LV_0200_20150317_001120	Os dem?ios descobriram a fonte de energia maligna e atacaram sem piedade para destruir o lacre. {nl}Se o lacre estiver bem resistente dessa vez, eles v? recuar depois de um tempo.
QUEST_LV_0200_20150317_001121	Mas n? sabemos o que vai acontecer depois.{nl}S?precisamos crer que a Deusa Austeja cuidar?de tudo se alguma coisa acontecer.
QUEST_LV_0200_20150317_001122	Mas uma coisa me preocupa... {nl}O s?bolo foi destru?o uma vez, ent? pode n? ser totalmente restaurado. {nl}Claro que tudo vai depender... da Deusa...{nl}
QUEST_LV_0200_20150317_001123	Comerciante Dulke
QUEST_LV_0200_20150317_001124	Oh, n?. O que eu fa?? {nl}Perdi todas as minhas mercadorias enquanto fugia dos monstros. {nl}Mas tenho medo de perder a cabe? como os outros Reveladores se voltar agora.
QUEST_LV_0200_20150317_001125	?primeira vista, n? ?poss?el saber se s? humanos ou monstros. {nl}Eles t? um olhar vazio e sem alma. Quando s? chamados, desaparecem fazendo um barulho esquisito.
QUEST_LV_0200_20150317_001126	E s? mais do que um ou dois. {nl}Mas acho que as pessoas da nossa vila ainda est? normais.{nl}Ser?que a Deusa nos protegeu com sua b?o?
QUEST_LV_0200_20150317_001127	Por favor, me ajude.{nl}Acabei de come?r meus neg?ios com tudo o que tenho e estou com medo de ficar sem nada.
QUEST_LV_0200_20150317_001128	Oh, eu nem sei como agradecer... Sim, s? as minhas coisas. {nl}E eu estranhei que voc?estivesse bem, ao contr?io dos outros Reveladores. Voc??realmente especial.
QUEST_LV_0200_20150317_001129	Alde? Emil
QUEST_LV_0200_20150317_001130	Eu costumava ir e vir ?cidade, mas os sacerdotes mandaram ficar aqui, pois o lacre ?perigoso.{nl}Eu nem ligo para o lacre. Tenho medo dos dem?ios.
QUEST_LV_0200_20150317_001131	Preciso ter como me sustentar. {nl}Os outros alde?s daqui passam o dia todo admirando os sacerdotes e a Deusa.
QUEST_LV_0200_20150317_001132	Vi que os outros Reveladores ficaram esquisitos, mas voc?parece bem.{nl}Voc?encontrou a Deusa ou algo assim? {nl}Bom, voc?fez um ?imo trabalho. Queria ser forte como voc?
QUEST_LV_0200_20150317_001133	Farmac?tica Tiana
QUEST_LV_0200_20150317_001134	O Sacerdote Dazine pediu rem?ios para curar os futuros Reveladores possu?os. {nl}Mas acabou a Grama da Luz Primaveril... e tenho medo dos dem?ios.
QUEST_LV_0200_20150317_001135	Voc??um doce. {nl}Oh, Grama da Luz Primaveril n? ?f?il de encontrar. {nl}S?aparece quando reage a essa geleia de mel.
QUEST_LV_0200_20150317_001136	Obrigada por ajudar tanto. {nl}Sei que isso ?mais do que suficiente para o sacerdote.
QUEST_LV_0200_20150317_001137	Candelabro da Igreja
QUEST_LV_0200_20150317_001138	O Candelabro da Igreja est?apagado.
QUEST_LV_0200_20150317_001139	Quando aquela ?vore come?u a destruir a capital, a roda da fortuna se voltou para a destruio. {nl}Laima diz que s?um humano pode ser o escolhido para encerrar esse ciclo.
QUEST_LV_0200_20150317_001140	Sinto uma for? demon?ca muito poderosa fluindo na frente.
QUEST_LV_0200_20150317_001141	Voc?n? pode entrar agora porque as portas est? lacradas. {nl}Passe pela Galeria Tikintie e entre na sala. Voc?encontrar?o candelabro de barreira. {nl}A porta lacrada abrir?ao assoprar a vela.
QUEST_LV_0200_20150317_001142	O portal para a sala oculta do bispo abriu. {nl}Voc?pode entrar por ele.
QUEST_LV_0200_20150317_001143	H?uma ordem da igreja para levar todas as rel?uias a um lugar seguro. {nl}Mas veja como as coisas ficaram horr?eis.
QUEST_LV_0200_20150317_001144	Como podem fazer isso com coisas sagradas que carregam as palavras dos grandes bispos?{nl}?t? ofensivo v?las espalhadas em meio a esses monstros blasfemos.
QUEST_LV_0200_20150317_001145	Felizmente, n? parecem danificadas. {nl}Se eu fosse mais forte, teria purificado esses monstros em nome da Deusa.
QUEST_LV_0200_20150317_001146	Algumas rel?uias se escondem quando sentem uma for? maligna. {nl}Quando isso acontece, n? h?como encontr?la de maneira alguma.
QUEST_LV_0200_20150317_001147	Por isso, trouxe as mi?ngas que podem detectar o sagrado,{nl}mas veja os olhos desses monstros. {nl}Podem nos matar assim que encontrarmos as coisas sagradas.
QUEST_LV_0200_20150317_001148	Sim, bom trabalho. {nl}Encontramos o que era importante, ent? podemos pedir outras coisas para as irm?.
QUEST_LV_0200_20150317_001149	Os sacerdotes da Catedral foram enviados para anular a maldio de Naktis na Estrada do Peregrino. {nl}Eu estou procurando documentos importantes, de prefer?cia relacionados a Naktis.
QUEST_LV_0200_20150317_001150	Se n? se importar, pode me ajudar a encontrar documentos relacionados a Naktis?
QUEST_LV_0200_20150317_001151	V?ias instalaes e documentos da Catedral foram perdidos no Medzio Diena. Al? disso, os dem?ios est? destruindo as instalaes e documentos ainda mais.
QUEST_LV_0200_20150317_001152	E os documentos?
QUEST_LV_0200_20150317_001153	Obrigado por encontrar tantos.
QUEST_LV_0200_20150317_001154	Se encontrar algum documento pela Catedral, quero que o traga para mim.
QUEST_LV_0200_20150317_001155	Que truque esses dem?ios usaram? N? acho que recuperar os documentos ser?f?il enquanto os dem?ios estiverem aqui.
QUEST_LV_0200_20150317_001156	Os dem?ios roubaram todos os documentos que eu reuni.
QUEST_LV_0200_20150317_001157	Os dem?ios est? t? obcecados pelas coisas que estou achando bem estranho. {nl}Na ?tima vez, eles encararam a parede por um tempo e come?ram a destru?la.
QUEST_LV_0200_20150317_001158	O mais engra?do ?que pegaram fragmentos dela e levaram para algum lugar.
QUEST_LV_0200_20150317_001159	Voc?encontrou tudo. Obrigado.
QUEST_LV_0200_20150317_001160	Aconteceu algo urgente. Os subordinados de Naktis come?ram a atacar o dispositivo de Maven. Os dem?ios encontrar? as coisas que Maven escondeu e as levar? para Naktis.
QUEST_LV_0200_20150317_001161	Precisamos peg?las de volta antes que cheguem ? m?s de Naktis.
QUEST_LV_0200_20150317_001162	Os dem?ios roubaram as coisas que ganhei do meu amigo.
QUEST_LV_0200_20150317_001163	N? sei por que, mas os dem?ios est? parecendo obcecados pelas coisas.
QUEST_LV_0200_20150317_001164	Ainda restam dois dispositivos de Maven. {nl}Mas ocorreu um problema.
QUEST_LV_0200_20150317_001165	N? sei como liberar um dispositivo.
QUEST_LV_0200_20150317_001166	Os subordinados de Naktis est? perto do dispositivo, ent? tenha cuidado.
QUEST_LV_0200_20150317_001167	Voc?conseguiu colher os dados? ?imo, entregue-os para mim.
QUEST_LV_0200_20150317_001168	Os dados dizem que voc?precisa de pele, couro ou roupas que os monstros usaram. {nl}Derrote os subordinados de Naktis e pegue seu couro e roupas.
QUEST_LV_0200_20150317_001169	Voc?deve ter extrema cautela com os subordinados de Naktis.
QUEST_LV_0200_20150317_001170	Voc?pegou todos os materiais.
QUEST_LV_0200_20150317_001171	Use o pote no final do N?tex Laukti e fa? o rem?io.
QUEST_LV_0200_20150317_001172	H?um pote no final do N?tex Laukti que voc?pode usar para fazer.
QUEST_LV_0200_20150317_001173	V?at?o primeiro dispositivo de Maven e pegue a chave. {nl}Depois, v?at?o segundo dispositivo.
QUEST_LV_0200_20150317_001174	Sou um sacerdote enviado para anular a maldio que se espalha pela Estrada do Peregrino. {nl}Quero testar em um peregrino amaldi?ado na Rota da Penit?cia. Pode me ajudar?
QUEST_LV_0200_20150317_001175	Ele n? vai tomar o rem?io t? facilmente. {nl}Aplique-o na carne para que ele coma.
QUEST_LV_0200_20150317_001176	N? importa o que ? desde que seja comest?el.
QUEST_LV_0200_20150317_001177	Isso deve ser o bastante.
QUEST_LV_0200_20150317_001178	Derrote os monstros da ?ea e obtenha carne.
QUEST_LV_0200_20150317_001179	Vou lhe dar o rem?io. {nl}Aplique-o na carne.
QUEST_LV_0200_20150317_001180	Aplique o rem?io na carne.
QUEST_LV_0200_20150317_001181	D?a carne para o peregrino.
QUEST_LV_0200_20150317_001182	D?a carne para o peregrino e observe a reao dele.
QUEST_LV_0200_20150317_001183	O peregrino comeu a carne com o rem?io?
QUEST_LV_0200_20150317_001184	Obrigado por sua ajuda.
QUEST_LV_0200_20150317_001185	Continuo com fome, n? importa o quanto eu coma...{nl}Ei... Por favor, traga mais comida.
QUEST_LV_0200_20150317_001186	Me d?comida, r?ido.
QUEST_LV_0200_20150317_001187	Sou parte dos sacerdotes enviados para anular a maldio de Naktis. {nl}Precisamos estudar e obter dados para anular a maldio de Naktis. {nl}Mas devo encontrar o bispo que deveria proteger a Catedral depois do Medzio Diena. {nl}
QUEST_LV_0200_20150317_001188	Voc?pode me ajudar a encontr?lo?
QUEST_LV_0200_20150317_001189	Essa n?... O bispo retornou como um cad?er... {nl}Obrigado por sua ajuda.
QUEST_LV_0200_20150317_001190	Preciso enterrar o bispo, mas h?monstros demais por aqui.
QUEST_LV_0200_20150317_001191	Eu n? devia ter deixado ele na Catedral...
QUEST_LV_0200_20150317_001192	Voc?me ajudou de novo. Muito obrigado.
QUEST_LV_0200_20150317_001193	Estou preocupado com o paradeiro do bispo.
QUEST_LV_0200_20150317_001194	Use os monstros de Naktis... {nl}Mas como podemos us?los? {nl}Aha! Podemos nos transformar nos monstros de Naktis no Sacr?io e fazer os outros monstros destru?lo.
QUEST_LV_0200_20150317_001195	H?materiais no Sacr?io com instrues para um rem?io que transforma voc?em um monstro. {nl}Encontre os materiais.
QUEST_LV_0200_20150317_001196	Essa ?a hora de dizer para os monstros de Naktis onde o dispositivo de Maven est?localizado.
QUEST_LV_0200_20150317_001197	Eu ca?enquanto levava os materiais e eles ca?am embaixo do dispositivo. {nl}Ele fica se movendo para cima e para baixo, ?dif?il peg?los.
QUEST_LV_0200_20150317_001198	Essa foi por pouco.
QUEST_LV_0200_20150317_001199	Sei que os monstros de Naktis pegaram. {nl}?melhor encontrarmos a chave logo.
QUEST_LV_0200_20150317_001200	Livro que Maven Deixou
QUEST_LV_0200_20150317_001201	Prove que ?o verdadeiro Revelador com o Sacerdote da Evid?cia. 
QUEST_LV_0200_20150317_001202	A revelao est?na sala de tr?. Coloque a escritura para invocar minha alma no altar. Ent?, a revelao ser?interpretada.
QUEST_LV_0200_20150317_001203	?horr?el. {nl}Nossa igreja, para aquele monstro blasfemo...
QUEST_LV_0200_20150317_001204	Dois Tipos de Ordens
QUEST_LV_0200_20150317_001205	Vou ajudar a patrulhar
QUEST_LV_0200_20150317_001206	Pertences Preciosos do Soldado (1)
QUEST_LV_0200_20150317_001207	Vou encontrar
QUEST_LV_0200_20150317_001208	Pertences Preciosos do Soldado (2)
QUEST_LV_0200_20150317_001209	Vou coletar os galhos secos
QUEST_LV_0200_20150317_001210	Eu n? quero mais tocar nisso
QUEST_LV_0200_20150317_001211	Pertences Preciosos do Soldado (3)
QUEST_LV_0200_20150317_001212	Deixe comigo
QUEST_LV_0200_20150317_001213	Preparando lenha/#SITGROPESET2/3.5/TRACK_BEFORE
QUEST_LV_0200_20150317_001214	Ataque do Duende Vermelho Gigante
QUEST_LV_0200_20150317_001215	Verificando.../MAKING/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001216	Aviso/O Duende Vermelho Gigante est?furioso!#5
QUEST_LV_0200_20150317_001217	Proteger Rota da Passagem do Grande Rei (1)
QUEST_LV_0200_20150317_001218	Ignorar
QUEST_LV_0200_20150317_001219	Proteger a ea (1)
QUEST_LV_0200_20150317_001220	Proteger Rota da Passagem do Grande Rei (2)
QUEST_LV_0200_20150317_001221	Eu vou me inscrever
QUEST_LV_0200_20150317_001222	N? tenho tempo para isso
QUEST_LV_0200_20150317_001223	Ajuda da Escultura de Coruja
QUEST_LV_0200_20150317_001224	Eu me livro deles para voc?
QUEST_LV_0200_20150317_001225	Proteger Rota da Passagem do Grande Rei (3)
QUEST_LV_0200_20150317_001226	Vou encontrar
QUEST_LV_0200_20150317_001227	Parece perigoso
QUEST_LV_0200_20150317_001228	Saindo em uma Jornada
QUEST_LV_0200_20150317_001229	Procure Batedores sendo Atacados
QUEST_LV_0200_20150317_001230	Eu vou para o P?tano Drieza
QUEST_LV_0200_20150317_001231	Vamos sair daqui juntos
QUEST_LV_0200_20150317_001232	Aviso/Derrote a vore de Ferro! / 5
QUEST_LV_0200_20150317_001233	Dono do T?ulo
QUEST_LV_0200_20150317_001234	O que ?isso?
QUEST_LV_0200_20150317_001235	Comandante Vacenin (1)
QUEST_LV_0200_20150317_001236	Eu posso ajudar
QUEST_LV_0200_20150317_001237	Sobre a Floresta Kateen
QUEST_LV_0200_20150317_001238	Coletar Musgo
QUEST_LV_0200_20150317_001239	Eu vou coletar o musgo
QUEST_LV_0200_20150317_001240	Colha Erva Desbotada
QUEST_LV_0200_20150317_001241	Eu vou colher as Ervas Desbotadas para voc?investigar
QUEST_LV_0200_20150317_001242	Colete Casca de vore
QUEST_LV_0200_20150317_001243	Vamos cuidar disso juntos
QUEST_LV_0200_20150317_001244	Segredo da Casca de vore (4)
QUEST_LV_0200_20150317_001245	Vou me livrar do Esp?ito da Floresta
QUEST_LV_0200_20150317_001246	Floresta do Medo
QUEST_LV_0200_20150317_001247	Vou entregar este Fragmento de Asa
QUEST_LV_0200_20150317_001248	Fragmento de Asa (1)
QUEST_LV_0200_20150317_001249	Entregando/MAKING/3/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001250	Fragmento de Asa (2)
QUEST_LV_0200_20150317_001251	Sugerir entregar a asa
QUEST_LV_0200_20150317_001252	Fogueira da Rota de Patrulha
QUEST_LV_0200_20150317_001253	N? h?tempo para isso
QUEST_LV_0200_20150317_001254	Fogueira da Rota de Patrulha (2)
QUEST_LV_0200_20150317_001255	Instalando/FIRE/1.5/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001256	Aviso/A Fogueira est?acesa.#3
QUEST_LV_0200_20150317_001257	Fogueira da Rota de Patrulha (3)
QUEST_LV_0200_20150317_001258	Fogueira da Rota de Patrulha (4)
QUEST_LV_0200_20150317_001259	Comandante Vacenin (2)
QUEST_LV_0200_20150317_001260	Voltar ao Acampamento
QUEST_LV_0200_20150317_001261	Vou descansar um pouco
QUEST_LV_0200_20150317_001262	Servi? F?ebre (1)
QUEST_LV_0200_20150317_001263	Vou coletar os restos
QUEST_LV_0200_20150317_001264	N? h?tempo para isso
QUEST_LV_0200_20150317_001265	Sobre a Escultura de Coruja
QUEST_LV_0200_20150317_001266	Conclus? do Poder da Alma (1)
QUEST_LV_0200_20150317_001267	Vou trazer a Pedra de Alma
QUEST_LV_0200_20150317_001268	Conclus? do Poder da Alma (2)
QUEST_LV_0200_20150317_001269	Vou purificar a alma
QUEST_LV_0200_20150317_001270	Abrindo/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001271	Espantando Larvas de Medusa
QUEST_LV_0200_20150317_001272	Vou coletar Larvas de Medusa
QUEST_LV_0200_20150317_001273	Alma para tr?
QUEST_LV_0200_20150317_001274	Vou derrotar os monstros para voc?
QUEST_LV_0200_20150317_001275	Alma que fugiu
QUEST_LV_0200_20150317_001276	Vou encontrar a bagagem do comerciante
QUEST_LV_0200_20150317_001277	Alma Esquecida
QUEST_LV_0200_20150317_001278	Vou encontrar o pergaminho
QUEST_LV_0200_20150317_001279	Tra? do Peregrino
QUEST_LV_0200_20150317_001280	Vou escrever as escrituras de Stele
QUEST_LV_0200_20150317_001281	Mar de Fogo
QUEST_LV_0200_20150317_001282	Vou me livrar da Sequoia Incendi?ia
QUEST_LV_0200_20150317_001283	Suporte ? Tropas da Retaguarda
QUEST_LV_0200_20150317_001284	Vou reduzir os monstros da ?ea
QUEST_LV_0200_20150317_001285	Desculpe, mas n? posso ajudar
QUEST_LV_0200_20150317_001286	Sobre a Estrada da Floresta
QUEST_LV_0200_20150317_001287	Servi? F?ebre (2)
QUEST_LV_0200_20150317_001288	Vou recuperar os pertences deles
QUEST_LV_0200_20150317_001289	?o m?imo que posso ajudar
QUEST_LV_0200_20150317_001290	Servi? F?ebre (3)
QUEST_LV_0200_20150317_001291	Onde encontro a Fragr?cia de Borboleta?
QUEST_LV_0200_20150317_001292	Orao para as Almas
QUEST_LV_0200_20150317_001293	Tecel?Entronada Perigosa (1)
QUEST_LV_0200_20150317_001294	S?ignore
QUEST_LV_0200_20150317_001295	Por que os monstros est? destruindo Esculturas de Coruja?
QUEST_LV_0200_20150317_001296	Tecel?Entronada Perigosa (2)
QUEST_LV_0200_20150317_001297	Vou pegar as Ra?es de Sakmoli
QUEST_LV_0200_20150317_001298	Almas Reprimidas
QUEST_LV_0200_20150317_001299	Vou verificar a Costa Nelasve
QUEST_LV_0200_20150317_001300	Vai dar tudo certo
QUEST_LV_0200_20150317_001301	Salvao Errada (1)
QUEST_LV_0200_20150317_001302	Vou convencer as almas e envi?las para c?
QUEST_LV_0200_20150317_001303	Sobre as almas perdidas
QUEST_LV_0200_20150317_001304	Aviso/!/Conven? as almas errantes na Costa Nelasve e guie-as de volta para a coruja!{nl}Voc?deve conversar e convencer a alma quando encontr?la!#5
QUEST_LV_0200_20150317_001305	Salvao Errada (1)
QUEST_LV_0200_20150317_001306	Vou para a Colina Amolallul
QUEST_LV_0200_20150317_001307	Ataque do Golem Cinza
QUEST_LV_0200_20150317_001308	Aviso/!/Derrote o Golem que apareceu de repente!#8
QUEST_LV_0200_20150317_001309	Aviso/!/Voc?conseguiu derrotar o Golem Cinza!#8
QUEST_LV_0200_20150317_001310	?tima Miss? (1)
QUEST_LV_0200_20150317_001311	Que pena. Vamos ajud?lo.
QUEST_LV_0200_20150317_001312	?assustador, n? quero.
QUEST_LV_0200_20150317_001313	Sobre a Alma
QUEST_LV_0200_20150317_001314	?tima Miss? (2)
QUEST_LV_0200_20150317_001315	Vou coletar a Pele de Velhos Kepas
QUEST_LV_0200_20150317_001316	Estou ocupado, s?posso ajudar at?aqui.
QUEST_LV_0200_20150317_001317	?tima Miss? (3)
QUEST_LV_0200_20150317_001318	Vou tentar derrotar o monstro
QUEST_LV_0200_20150317_001319	N? me sinto bem com isso. N? vou.
QUEST_LV_0200_20150317_001320	?tima Miss? (4)
QUEST_LV_0200_20150317_001321	Colete Folhas de Ellom
QUEST_LV_0200_20150317_001322	?tima Miss? (5)
QUEST_LV_0200_20150317_001323	Vou concluir a miss?
QUEST_LV_0200_20150317_001324	Parece perigoso. Desisto.
QUEST_LV_0200_20150317_001325	Instalando isca/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001326	ea Remota da Floresta Kateen
QUEST_LV_0200_20150317_001327	Acalme-se. Eu n? sou um Natimorto.
QUEST_LV_0200_20150317_001328	Tropa Desaparecida (1)
QUEST_LV_0200_20150317_001329	Vou encontrar o batedor
QUEST_LV_0200_20150317_001330	Desculpe, mas n? posso
QUEST_LV_0200_20150317_001331	Tropa Desaparecida (2)
QUEST_LV_0200_20150317_001332	Vou matar os monstros primeiro
QUEST_LV_0200_20150317_001333	Preciso de tempo para me preparar
QUEST_LV_0200_20150317_001334	Onde est? as Tropas de Suprimentos (1)
QUEST_LV_0200_20150317_001335	Vou encontrar as tropas de suprimentos
QUEST_LV_0200_20150317_001336	Onde est? as Tropas de Suprimentos (2)
QUEST_LV_0200_20150317_001337	Vou ajudar a buscar os suprimentos
QUEST_LV_0200_20150317_001338	Vou esperar at?todos os suprimentos serem recuperados
QUEST_LV_0200_20150317_001339	Onde est? as Tropas de Suprimentos (3)
QUEST_LV_0200_20150317_001340	Miss? sobre Miss?
QUEST_LV_0200_20150317_001341	Vou ajudar a coletar os ganchos
QUEST_LV_0200_20150317_001342	Vamos esperar at?tudo ser coletado
QUEST_LV_0200_20150317_001343	Lideran? de Philipas
QUEST_LV_0200_20150317_001344	Vou cooperar
QUEST_LV_0200_20150317_001345	Isso n? ?justo
QUEST_LV_0200_20150317_001346	Tropa Sozinha
QUEST_LV_0200_20150317_001347	Encontrar o relat?io
QUEST_LV_0200_20150317_001348	?melhor voltar r?ido
QUEST_LV_0200_20150317_001349	O ?timo Juntos
QUEST_LV_0200_20150317_001350	Eu vou coletar as recordaes
QUEST_LV_0200_20150317_001351	O Desastre da Plan?ie da Grande Raiz (1)
QUEST_LV_0200_20150317_001352	Vamos at?a Estrada Izdaginakas
QUEST_LV_0200_20150317_001353	Preciso de tempo para me preparar
QUEST_LV_0200_20150317_001354	O Desastre da Plan?ie da Grande Raiz (2)
QUEST_LV_0200_20150317_001355	Vou me juntar ?batalha
QUEST_LV_0200_20150317_001356	Preciso de tempo para me preparar
QUEST_LV_0200_20150317_001357	Derrote o Griba Azul Grande
QUEST_LV_0200_20150317_001358	Tocando/FIRE/2/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001359	Aviso/!/Um Bando de Gribas Azuis Grandes apareceu!#5
QUEST_LV_0200_20150317_001360	Interrupo do monstro bloqueando a estrada
QUEST_LV_0200_20150317_001361	Aviso/!/Derrote o monstro bloqueando a estrada!#8
QUEST_LV_0200_20150317_001362	Aviso/!/Derrotou o monstro bloqueando a estrada!#8
QUEST_LV_0200_20150317_001363	Rancor de um guerreiro sem nome
QUEST_LV_0200_20150317_001364	Tentando colar/MAKING/2/TRACK_BEFORE/SSN_HATE_AROUND
QUEST_LV_0200_20150317_001365	Aviso/!/Derrote esse lobisomem {nl}que parece ter levado o dono da recordao ?morte!#5
QUEST_LV_0200_20150317_001366	Oferecendo condol?cias/MAKING/2/TRACK_AFTER/None
QUEST_LV_0200_20150317_001367	Aviso/As recordaes se foram junto com o colar!
QUEST_LV_0200_20150317_001368	Tecel?Entronada Perigosa (3)
QUEST_LV_0200_20150317_001369	Vou me livrar da Tecel?Entronada
QUEST_LV_0200_20150317_001370	Preciso de tempo para me preparar
QUEST_LV_0200_20150317_001371	Colocando isca/SITGROPE/3/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001372	N? Entrar
QUEST_LV_0200_20150317_001373	Solicitando Suporte
QUEST_LV_0200_20150317_001374	Vou proteger voc?
QUEST_LV_0200_20150317_001375	Continuar se escondendo
QUEST_LV_0200_20150317_001376	Bem-vindo, Visitante Indesejado
QUEST_LV_0200_20150317_001377	Estrada Gloriosa
QUEST_LV_0200_20150317_001378	Previs? da Geada de Pedra (1)
QUEST_LV_0200_20150317_001379	Vou verificar.
QUEST_LV_0200_20150317_001380	Vou esperar.
QUEST_LV_0200_20150317_001381	Previs? da Geada de Pedra (2)
QUEST_LV_0200_20150317_001382	Vou dar um jeito
QUEST_LV_0200_20150317_001383	?demais para mim
QUEST_LV_0200_20150317_001384	Previs? da Geada de Pedra (3)
QUEST_LV_0200_20150317_001385	Farei isso quando for seguro
QUEST_LV_0200_20150317_001386	Verificando/MAKING/1/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001387	Limpar oficina
QUEST_LV_0200_20150317_001388	Lucro legal
QUEST_LV_0200_20150317_001389	Vou pegar.
QUEST_LV_0200_20150317_001390	Extors? Hostil
QUEST_LV_0200_20150317_001391	Vou roubar.
QUEST_LV_0200_20150317_001392	Flor de L?rimas
QUEST_LV_0200_20150317_001393	Vou encontrar.
QUEST_LV_0200_20150317_001394	Seus Caminhos
QUEST_LV_0200_20150317_001395	Vou encontrar.
QUEST_LV_0200_20150317_001396	Mentira Branca (1)
QUEST_LV_0200_20150317_001397	Vou coletar.
QUEST_LV_0200_20150317_001398	Mentira Branca (2)
QUEST_LV_0200_20150317_001399	Ainda n? ?o momento
QUEST_LV_0200_20150317_001400	Mentira Branca (3)
QUEST_LV_0200_20150317_001401	Boa sorte
QUEST_LV_0200_20150317_001402	Ainda n? ?o momento
QUEST_LV_0200_20150317_001403	Explicando/TALK/2/TRACK_BEFORE/None
QUEST_LV_0200_20150317_001404	Limpando
QUEST_LV_0200_20150317_001405	Registros Desnecess?ios
QUEST_LV_0200_20150317_001406	Vou lhe dar cobertura.
QUEST_LV_0200_20150317_001407	?tima coleo
